biswidth,bjd,ccf_mask,err_rv,fwhm,rv
-18.3389163610226,2455090.7147344,G2,2.37848481611654,7806.51049799813,9741.226364706019
40.4160963689506,2455429.8720968,K5,2.48521397503293,6892.0968228434895,9763.10562272895
26.015078758272,2455433.7690406,K5,2.7479334080142,6904.2909910627395,9775.262536932321
56.1454378965376,2456197.68975497,K5,3.60430329207183,6868.18702903361,9779.62790168489
23.3184155703938,2456460.92878319,K5,2.66514937683641,6829.76407394146,9782.20501153391
40.6092659200787,2456483.94869623,K5,4.60010288013769,6885.89225681225,9770.411881126289
49.9606306390046,2456556.77699238,K5,6.46323410543606,6845.5783738195805,9785.150646457829
32.7426025735065,2456570.65624383,K5,2.20115766998188,6841.47936631698,9769.66722531509
37.4332041033867,2456628.52940271,K5,2.4795733840268,6842.99625466883,9778.77909394496
36.086172451399904,2456632.5333661,K5,3.66967546535154,6894.1100538972205,9770.3733570035
