#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#RIK, _2MASS, EWLi, e_EWLi, EWHa, e_EWHa, SpT, AV, D, _2M, Simbad, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@float, string, float, float, float, float, string, float, float, string, string, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
RIK,_2MASS,EWLi,e_EWLi,EWHa,e_EWHa,SpT,AV,D,_2M,Simbad,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d_,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
63,b'J16022357-2259332',0.490000009536743,0.0900000035762787,-13.9099998474121,1.23000001907349,b'M6.0',1,0,b'2M',b'Simbad',240.598208333333,-22.9925833333333,9735159,240.598213,-22.99258,-7.79008,-26.999,13.987,STAR,2mass,0.0195748946527893,20180610,,,,16022357-2259332,,J160223.55-225933.5,6243129036578264704,,,tmgaia,2.05054,2.05052,hsoy,NaN,NaN,,350.174912,21.892449,243.109955,-2.256176,18.962,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.974,0.022,11.327,0.045,11.033,0.022,AAA-222-121-0c0-0-0,5.3,10.826,0.023,10.577,0.021,10.47,0.088,8.875,NaN,15.3245,0.00184456,0.017,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.167548,NaN,0,NaN,,,NaN
152,b'J16160080-2214192',0.509999990463257,0.0399999991059303,-9.47000026702881,0.330000013113022,b'M5.5',0.100000001490116,0,b'2M',b'Simbad',244.003375,-22.2386944444444,49587712,244.003369,-22.238696,-10.4559,-27.7391,13.974,STAR,2mass,0.0207627449824842,20180610,,,339-077582,16160080-2214192,,J161600.80-221419.5,6242720945964617088,,,tmgaia,2.0669,2.06686,hsoy,NaN,NaN,,353.0816,20.135524,246.060738,-0.933996,18.862,0.162,21.209,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.876,0.026,11.264,0.024,10.978,0.024,AAA-222-111-000-0-0,26.1,10.782,0.022,10.548,0.02,10.455,0.101,8.259,NaN,15.3548,0.00187737,0.017,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.215219,NaN,0,NaN,,,NaN
119,b'J16123604-2723031',0.389999985694885,0.0299999993294477,1.05999994277954,0.0299999993294477,b'K4.0',1.20000004768372,0,b'2M',b'Simbad',243.150208333333,-27.3842222222222,68329003,243.150202,-27.384224,-11.0557,-10.3463,9.491,STAR,2mass,0.021232597340459,20180610,,6801-00502-1,314-084746,16123604-2723031,,J161236.04-272303.1,6042467889628356992,14538218,,tmgaia,3.87703,0.816935,tgas,1.02903,0.877832,tgas,348.57037,17.166986,246.212101,-6.135218,13.3,0.447,11.257,0.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.188,0.021,7.437,0.036,7.226,0.027,AAA-111-111-000-0-0,13.4,7.058,0.04,7.188,0.021,7.046,0.017,7.053,0.097,10.422,0.000345996,0.017,gaiaj,splin,4115,163,NaN,NaN,NaN,NaN,0.667382,0.0634146,0.6441076,0.0744741,NaN,NaN,GIANT,NaN,NaN,971.7926,447.37,0.53797,NaN,0,NaN,,,NaN
73,b'J16034695-2245246',0.419999986886978,0.0399999991059303,-3.85999989509583,0.310000002384186,b'M1.5',0,0,b'2M',b'Simbad',240.945625,-22.7568611111111,9799329,240.94563,-22.756857,-11.4823,-23.8127,11.652,STAR,2mass,0.0222386966917002,20180610,,,337-077804,16034695-2245246,,J160346.93-224524.9,6243160166498342144,11467238,,tmgaia,2.2408,2.24079,hsoy,NaN,NaN,,350.597965,21.830253,243.378313,-1.962733,15.56,0.077,13.96,0.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.09,0.022,9.352,0.025,9.101,0.023,AAA-222-111-00s-0-0,19.6,9.031,0.022,8.937,0.021,8.81,0.029,8.595,0.43,12.7412,0.000490427,0.017,gaiaj,,3413,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.179839,NaN,0,NaN,,,NaN
20,b'J15562491-2541202',0.270000010728836,0.0199999995529652,-5.67000007629395,0.0399999991059303,b'M3.0',0.300000011920929,0,b'2M',b'Simbad',239.103833333333,-25.6889722222222,77534376,239.103827,-25.688975,-16.7319,-16.1716,12.981,STAR,2mass,0.0228507531642221,20180610,,,322-080808,15562491-2541202,,J155624.90-254120.5,6235663455703033088,13649246,,tmgaia,2.10176,2.1713,hsoy,NaN,NaN,,347.104572,20.916281,242.314238,-5.170523,16.978,0.131,15.36,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.373,0.023,10.693,0.023,10.441,0.023,AAA-222-111-000-0-0,8.5,10.322,0.023,10.176,0.02,9.933,0.068,8.355,NaN,14.0972,0.000950918,0.017,gaiaj,,3397,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.0967963,NaN,0,NaN,,,NaN
46,b'J16000704-2340487',0.610000014305115,0.0399999991059303,-20.5400009155273,0.159999996423721,b'M5.5',0.600000023841858,0,b'2M',b'Simbad',240.029375,-23.6801944444444,12665643,240.029374,-23.680201,NaN,NaN,13.667,STAR,2mass,0.0238291724293134,20180610,,,,16000704-2340487,,J160007.03-234048.9,,,,2mass,NaN,NaN,,NaN,NaN,,349.253389,21.774652,242.733113,-3.033294,18.747,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.556,0.024,10.947,0.022,10.606,0.019,AAA-222-111-000-0-0,24,10.453,0.024,10.208,0.02,10.097,0.071,8.734,NaN,NaN,NaN,0.175,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.159768,NaN,0,NaN,,,NaN
56,b'J16011398-2516281',0.479999989271164,0.0399999991059303,-5.88000011444092,0.150000005960464,b'M4.0',0,1,b'2M',b'Simbad',240.308291666667,-25.2745,66925320,240.308285,-25.274503,-13.247,-21.3863,13.095,STAR,2mass,0.0242412961851398,20180610,,,324-080824,16011398-2516281,,J160113.98-251628.4,6235879475377963264,13654651,,tmgaia,2.10222,2.0904,hsoy,NaN,NaN,,348.248808,20.46008,243.299329,-4.545592,17.645,0.355,16.399,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.357,0.024,10.697,0.022,10.419,0.023,AAA-222-111-000-0-0,19.9,10.245,0.023,9.974,0.021,8.794,0.031,6.805,0.076,14.2847,0.00104664,0.017,gaiaj,,3186,159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.135326,NaN,0,NaN,,,NaN
71,b'J16033829-1854076',0.550000011920929,0.0199999995529652,-4.36999988555908,0.0399999991059303,b'M1.0',0.800000011920929,0,b'2M',b'Simbad',240.909583333333,-18.9021388888889,9848330,240.909578,-18.902134,-9.60916,-18.9387,12.184,STAR,2mass,0.0252925463753707,20180610,,,356-077209,16033829-1854076,1237674654228939142,J160338.29-185407.8,6247526224093164544,8824368,,tmgaia,2.14586,2.14569,hsoy,NaN,NaN,,353.59371,24.528098,242.599919,1.81276,16.195,0.04,14.719,0.114,18.2214,0.0178479,15.4044,0.00358142,13.7895,0.00326461,13.1873,0.000845383,12.1375,0.00383214,10.602,0.022,9.853,0.024,9.544,0.026,AAA-222-111-000-0-0,14.1,9.468,0.023,9.369,0.019,9.282,0.037,8.719,NaN,13.2856,0.00063655,0.017,gaiaj,,3335,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.308804,NaN,0,NaN,,,NaN
118,b'J16123531-2034339',0.46000000834465,0.0299999993294477,-2.29999995231628,0.0700000002980232,b'M0.5',0.800000011920929,0,b'2M',b'Simbad',243.147166666667,-20.5761111111111,49278335,243.147158,-20.576112,-12.6534,-45.1159,11.807,STAR,2mass,0.0293843947777836,20180610,,,348-081196,16123531-2034339,,J161235.30-203434.4,6245372693133176064,11483894,,tmgaia,2.14374,2.14373,hsoy,NaN,NaN,,353.819277,21.845865,244.981863,0.561217,15.628,0.076,14.186,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.299,0.026,9.529,0.023,9.303,0.019,AAA-222-111-000-0-0,8.7,9.173,0.023,9.104,0.02,9.005,0.03,8.234,NaN,12.8639,0.000519904,0.018,gaiaj,,3406,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.340216,NaN,0,NaN,,,NaN
230,b'J16261964-2137207',0.430000007152557,0.0199999995529652,-1.07000005245209,0.0299999993294477,b'M1.5',0.800000011920929,0,b'2M',b'Simbad',246.581833333333,-21.6224444444444,204000681,246.581837,-21.622437,-11.6194,-29.8471,11.998,STAR,2mass,0.0294757702087769,20180610,,,342-080386,16261964-2137207,,J162619.62-213721.1,6051983784810155520,,,tmgaia,2.35982,2.35982,hsoy,NaN,NaN,,355.253784,18.755111,248.316928,0.071332,16.351,0.165,14.14,0.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.431,0.024,9.676,0.026,9.423,0.023,AAA-222-111-000-0-0,12.7,9.27,0.022,9.195,0.019,9.225,0.054,8.519,NaN,13.0909,0.000579528,0.017,gaiaj,,3452,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.425841,NaN,0,NaN,,,NaN
