#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#HIP, Memb, Simbad, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP_, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@float, float, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
HIP,Memb,Simbad,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP_,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
55188,78,b'Simbad',169.49224,-64.0426,169.49224,-64.0426,467773371,169.492229,-64.042603,-28.6074,-0.661528,7.718,STAR,2mass,0.0204223866808151,20180610,55188,8967-00217-1,130-049513,11175813-6402333,,J111758.09-640233.3,5240643984193422848,30504523,,tmgaia,0.0452908,0.0424529,tgas,7.38016,0.245342,tgas,292.920657,-3.002765,213.459438,-58.945628,8.029,0.025,7.86,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.528,0.02,7.484,0.027,7.503,0.024,AAA-111-111-000-0-0,11.2,7.364,0.027,7.426,0.02,6.929,0.017,4.635,0.024,7.839,0.000345996,0.018,gaiaj,tplx,8078,220,4.2901,0.306735,NaN,NaN,1.66109,0.194481,1.9609,0.388511,0.427835,0.150273,DWARF,10.58514,2.478623,135.4984,NaN,NaN,NaN,577,0.05103254,,,0.0003727356
66075,56,b'Simbad',203.17703,-55.82755,203.17703,-55.82755,457178653,203.17704,-55.827551,-41.9711,-23.5064,7.746,STAR,2mass,0.0205386461414717,20180610,66075,8666-00700-1,171-096934,13324248-5549391,,J133242.43-554939.4,6063724885381115136,28585755,,tmgaia,0.0457472,0.0473836,tgas,11.2716,0.352366,tgas,308.744032,6.577773,225.850966,-42.155501,8.52,0.027,8.13,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.35,0.029,7.171,0.036,7.147,0.029,AAA-111-111-000-0-0,11.6,7.106,0.033,7.122,0.021,7.079,0.018,6.265,0.048,8.03245,0.000345996,0.02,gaiaj,tplx,6739.43,59.5875,NaN,NaN,NaN,NaN,1.45736,0.150403,1.4574,0.339395,0.470845,0.145777,DWARF,3.94749,0.8147807,88.71855,3.6425,NaN,NaN,425,0.04052252,,,0.0003667725
82560,75,b'Simbad',253.13287,-42.99179,253.13287,-42.99179,246664608,253.132877,-42.991787,-9.94354,-24.7729,6.866,STAR,2mass,0.0213635172880881,20180610,82560,7876-01089-1,236-113667,16523189-4259304,,J165231.87-425930.6,5964856318761110144,21427898,,tmgaia,0.041079,0.0309883,tgas,6.70118,0.295693,tgas,342.369571,0.67985,256.920056,-20.315368,7.174,0.025,7.04,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.655,0.018,6.599,0.027,6.576,0.023,AAA-111-111-00s-0-0,14.5,6.51,0.072,6.53,0.021,6.759,0.029,7.284,NaN,7.00392,0.000345996,0.017,gaiaj,tplx,7865,217,3.79841,0.33014,NaN,NaN,2.86178,0.367367,1.87608,0.38938,0.0800465,0.0308268,DWARF,28.23333,7.248631,149.2274,9.38029,NaN,NaN,1241,0.01574507,,,0.0001434837
75304,90,b'Simbad',230.78896,-36.85849,230.78896,-36.85849,148643421,230.788964,-36.858495,-17.3,-22.3,4.744,STAR,2mass,0.0213717108182301,20180610,75304,7325-01692-1,266-082680,15230935-3651305,,J152309.33-365131.0,,,,2mass,0.8,0.7,tycho2,NaN,NaN,,333.8367,16.747911,237.933654,-17.682431,NaN,NaN,4.54,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.037,4.967,0.076,4.943,0.018,EEA-111-111-000-0-0,24.8,5.134,0.132,4.937,0.097,5.115,0.014,5.082,0.032,NaN,NaN,0.043,vjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,155,0.001855807,,,1
70998,89,b'Simbad',217.80992,-40.65593,217.80992,-40.65593,241883618,217.809914,-40.655934,-20.4853,-22.0572,7.34,STAR,2mass,0.0218146367089478,20180610,70998,7810-01431-1,247-066259,14311438-4039213,,J143114.35-403921.5,6103487692593448960,20949334,,tmgaia,0.040628,0.0283536,tgas,6.4597,0.380025,tgas,322.637914,18.365895,228.850339,-24.378111,7.575,0.01,7.48,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.142,0.026,7.09,0.042,7.045,0.027,AAA-111-111-000-0-0,8.4,7.011,0.033,7.019,0.02,7.043,0.016,6.954,0.074,7.4669,0.000345996,0.019,gaiaj,tplx,7877,218,3.95756,0.357668,NaN,NaN,2.38572,0.347832,1.88094,0.389579,0.138521,0.0605882,DWARF,19.74136,5.756481,154.8059,11.603,0.138883,NaN,102,0.03452063,,,0.001746213
78702,90,b'Simbad',241.001,-19.76748,241.001,-19.76748,9851424,241.001005,-19.767484,-10.1414,-21.6201,7.611,STAR,2mass,0.0222328648075267,20180610,78702,6208-01489-1,352-076484,16040024-1946029,,J160400.23-194603.0,6247220594220206976,8824905,,tmgaia,0.0579933,0.0367286,tgas,6.09965,0.310616,tgas,352.96976,23.870541,242.851806,0.980375,7.91,0.029,7.79,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.379,0.021,7.34,0.033,7.237,0.017,AAA-111-111-000-0-0,61.7,7.187,0.038,7.191,0.021,7.212,0.018,7.1,0.128,7.76696,0.000345996,0.018,gaiaj,tplx,8565,228,4.06254,0.331227,NaN,NaN,2.25285,0.307288,2.1359,0.401251,0.186803,0.0764396,DWARF,24.60757,6.712929,163.9439,11.6067,0.258611,NaN,109,0.001109078,,,NaN
67703,70,b'Simbad',208.02025,-52.81153,208.02025,-52.81153,241660076,208.020254,-52.811524,-39,-27,5.389,STAR,2mass,0.0232877266725448,20180610,67703,8664-00669-1,186-097617,13520486-5248414,,J135204.79-524841.6,,,,2mass,8,8,sblink,8.99,1.11,hip,312.140922,8.972509,227.25901,-38.167494,5.162,0.022,5.26,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.46,0.019,5.509,0.023,5.515,0.023,AAA-111-111-000-0-0,17.5,5.365,0.102,5.343,0.029,5.599,0.015,5.5,0.034,NaN,NaN,0.03,vjk,,11508,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,111.2347,13.7342,NaN,NaN,265,0.1715883,,,1
58720,59,b'Simbad',180.65705,-69.19229,180.65705,-69.19229,297549461,180.657032,-69.192291,-39,-7.3,5.958,STAR,2mass,0.0232988869609621,20180610,58720,9227-02681-1,105-048705,12023768-6911322,,J120237.62-691132.2,,32050915,,2mass,1,0.9,tycho2,10.57,0.54,hip,298.595897,-6.732468,226.595984,-58.872781,5.799,0.022,5.89,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.01,0.021,6.08,0.029,6.085,0.024,AAA-111-111-000-0-0,14.8,6.117,0.067,6.074,0.022,5.921,0.015,4.564,0.024,NaN,NaN,0.031,vjk,,11508,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,94.60738,4.8333,NaN,NaN,391,0.01507558,,,1
57710,81,b'Simbad',177.52994,-49.54321,177.52994,-49.54321,94554742,177.52995,-49.54321,-26.1569,-5.20856,8.064,STAR,2mass,0.0233594783158047,20180610,57710,8224-00551-1,203-059645,11500718-4932355,,J115007.15-493235.6,5370885431469026560,,,tmgaia,0.0355748,0.0415499,tgas,7.37794,0.336878,tgas,292.826784,12.121655,203.137272,-45.172439,8.37,0.025,8.2,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.879,0.027,7.867,0.065,7.746,0.026,AAA-111-111-000-0-0,10.2,7.708,0.029,7.756,0.02,7.75,0.017,7.68,0.105,8.18044,0.000345996,0.019,gaiaj,tplx,9082,236,4.47722,0.319756,NaN,NaN,1.44928,0.191536,2.29664,0.413264,0.75446,0.299127,DWARF,12.87435,3.402933,135.5392,8.28701,NaN,NaN,160,0.01445629,,,0.0003528853
81477,53,b'Simbad',249.62893,-39.15233,249.62893,-39.15233,83824229,249.628938,-39.152332,-12.5801,-21.2067,6.935,STAR,2mass,0.023465440697056,20180610,81477,7854-01164-1,255-095589,16383094-3909083,,J163830.93-390908.5,6017520314391472128,,,tmgaia,0.0398693,0.0291597,tgas,5.82322,0.44058,tgas,343.573183,5.181586,253.616145,-16.864634,6.918,0.025,6.93,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.883,0.021,6.927,0.029,6.926,0.026,AAA-111-111-000-0-0,11.4,6.903,0.054,6.981,0.02,7.039,0.019,6.768,0.089,6.94066,0.000345996,0.018,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,171.7263,15.7187,NaN,NaN,650,0.01612607,,,NaN
