#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Seq, pmRA, pmDE, Bmag, Vmag, Jmag, Hmag, Ksmag, rmag, plx, Dist, RV, Vpar, Vper, Mass, M, Simbad, RAJ2000, DEJ2000, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA_, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
Seq,pmRA,pmDE,Bmag,Vmag,Jmag,Hmag,Ksmag,rmag,plx,Dist,RV,Vpar,Vper,Mass,M,Simbad,RAJ2000,DEJ2000,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA_,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx_,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag_,e_Bmag,Vmag_,e_Vmag,umag,e_umag,gmag,e_gmag,rmag_,e_rmag,imag,e_imag,zmag,e_zmag,Jmag_,e_Jmag,Hmag_,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass_,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
152,155.779998779297,-2.76999998092651,11.2910003662109,10.1009998321533,7.91200017929077,7.34000015258789,7.26399993896484,9.63099956512451,28.2900009155273,12.5699996948242,37.1300010681152,26.1100006103516,0.340000003576279,0.75,b'M',b'Simbad',62.455624,9.305498,62.455624,9.305498,345480097,62.455625,9.305494,154.748,-5.44728,8.84616,STAR,2mass,0.014831761274035,20180610,19441,0666-00035-1,497-006204,04094935+0918197,,J040949.45+091819.7,3300315439330018304,38353345,,tmgaia,0.149001,0.11837,tgas,28.0758,0.251709,tgas,182.834102,-29.705451,62.242494,-11.519038,11.22,0.053,10.1,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.912,0.019,7.34,0.023,7.264,0.02,AAA-111-111-000-0-0,42.9,7.15,0.047,7.228,0.021,7.185,0.017,7.04,0.106,9.53296,0.000345996,0.0169101,gaiaj,tplx,4553,175,4.57397,0.327578,NaN,NaN,0.724778,0.110517,0.717722,0.0858334,1.88513,0.862356,DWARF,0.203374,0.06202252,NaN,NaN,0.276728,NaN,32,0.0003958184,,,0.005955514
95,148.389999389648,-24.8700008392334,9.88799953460693,8.98299980163574,7.41300010681152,7.03800010681152,6.90999984741211,NaN,24.6900005340576,8.38000011444092,35.0099983215332,28.8799991607666,0.490000009536743,0.920000016689301,b'M',b'Simbad',58.777091,16.998477,58.777091,16.998477,242946125,58.777088,16.99848,147.591,-24.4904,8.137,STAR,2mass,0.0149436007406596,20180610,18327,1253-00868-1,535-007461,03550647+1659545,,J035506.59+165954.3,43538289638888064,42912891,,tmgaia,0.122325,0.0684008,tgas,24.6359,0.230249,tgas,173.567949,-27.309896,60.229158,-3.272141,9.883,0.0633719,8.987,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.413,0.02,7.038,0.027,6.91,0.021,AAA-111-111-000-0-0,30.1,6.886,0.068,6.92,0.02,6.92,0.017,6.909,0.088,8.67387,0.000345996,0.017,gaiaj,tplx,5106.06,32.5391,NaN,NaN,0.15,0.1,1.21798,0.103476,1.07366,0.128996,0.594219,0.151449,DWARF,0.9084869,0.1543647,40.59117,0.623094,0.472911,NaN,19,0.00180074,,,NaN
211,115.290000915527,-31.0699996948242,8.22900009155273,7.52099990844727,6.27899980545044,6.03200006484985,5.94999980926514,NaN,22.0300006866455,2.50999999046326,37.4099998474121,25.7000007629395,0.180000007152557,1.21000003814697,b'M',b'Simbad',64.507661,18.256805,64.507661,18.256805,17150156,64.507666,18.256804,113.157,-31.2975,6.873,STAR,2mass,0.0174688843579441,20180610,20056,1268-00327-1,542-008747,04180182+1815245,,J041801.92+181524.1,47620260916592384,42931621,,tmgaia,0.0562561,0.0331305,tgas,21.2855,0.471318,tgas,176.610082,-22.431601,65.838337,-3.069723,8.209,0.0901166,7.528,0.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.279,0.018,6.032,0.016,5.95,0.017,AAA-111-111-000-0-0,10.7,5.927,0.127,5.864,0.045,5.959,0.016,5.922,0.062,7.3131,0.000345996,0.017,gaiaj,tplx,5722,76,NaN,NaN,NaN,NaN,2.06362,0.197174,1.47565,0.346207,0.167917,0.0481322,DWARF,4.112875,0.785951,46.98034,1.23313,0.516418,NaN,38,0.0008729383,,,NaN
660,44.8499984741211,6.82000017166138,11.3999996185303,10.4569997787476,8.82199954986572,8.41499996185303,8.24499988555908,10.1800003051758,13.9700002670288,29.5400009155273,42.7200012207031,15.3299999237061,1.36000001430511,0.889999985694885,b'M',b'Simbad',77.981142,5.716073,77.981142,5.716073,262300858,77.981147,5.716072,45.722,6.91466,9.584,STAR,2mass,0.0182687147880061,20180610,,0111-01438-1,479-009994,05115547+0542578,,J051155.50+054257.8,3240642984786774528,38133146,,tmgaia,2.12281,1.70943,tgas,14.5601,0.270132,tgas,195.726874,-19.094937,77.472944,-17.202087,11.394,0.121,10.457,0.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.822,0.041,8.415,0.031,8.245,0.034,AAA-111-111-000-0-0,22,8.205,0.024,8.279,0.019,8.2,0.024,7.912,0.239,10.1484,0.000345996,0.023,gaiaj,tplx,5221,183,4.58593,0.27604,NaN,NaN,0.795872,0.098477,0.889593,0.108796,1.76466,0.65505,DWARF,0.4240294,0.1049343,68.68107,1.90426,0.109322,NaN,45,0.01534027,,,0.003569987
379,105.410003662109,-28.8799991607666,10.0509996414185,9.06900024414063,7.61899995803833,7.21099996566772,7.13899993896484,NaN,21.9599990844727,0.860000014305115,38.7799987792969,23.5900001525879,-0.0599999986588955,0.930000007152557,b'M',b'Simbad',67.49053,16.672839,67.49053,16.672839,245800048,67.490535,16.672841,106.802,-28.2739,8.28906,STAR,2mass,0.0186860867266917,20180610,20978,1265-00883-1,534-008909,04295771+1640222,,J042957.80+164021.9,3312951748510907648,42940685,,tmgaia,0.116977,0.069166,tgas,22.3719,0.254026,tgas,179.885648,-21.26471,68.395634,-5.094138,9.89,0.004,9.08,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.619,0.024,7.211,0.027,7.139,0.024,AAA-111-111-000-0-0,56.5,7.047,0.042,7.108,0.022,7.084,0.018,7.105,0.134,8.7859,0.000345996,0.0181577,gaiaj,tplx,5220.52,21.9805,NaN,NaN,0.08,0.1,0.858025,0.0756604,0.897842,0.110617,1.42135,0.376002,DWARF,0.4926627,0.08688571,NaN,NaN,0.408213,NaN,45,0.0002998477,,,NaN
424,78.4700012207031,-108.930000305176,12.1350002288818,11.0620002746582,8.74899959564209,8.14200019836426,7.99200010299683,10.539999961853,18.3099994659424,29.8899993896484,29.2800006866455,34.6800003051758,-2.44000005722046,0.800000011920929,b'M',b'Simbad',68.328763,49.861307,68.328763,49.861307,273209059,68.328771,49.861306,77.5995,-110.036,9.721,STAR,2mass,0.0189114450206603,20180610,,3350-00250-1,700-031996,04331890+4951407,,J043318.98+495139.5,258821051450444544,54274083,,tmgaia,1.7097,1.17647,tgas,21.8413,0.234227,tgas,155.019449,1.339711,74.419595,27.587571,12.555,0.182,11.018,0.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.749,0.041,8.142,0.057,7.992,0.021,AAA-111-111-000-0-0,4.9,7.93,0.024,7.99,0.018,7.908,0.019,7.784,0.178,10.4344,0.000345996,0.022,gaiaj,tplx,4434,174,4.61046,0.346852,NaN,NaN,0.683524,0.11131,0.694286,0.0828199,2.17409,1.06213,DWARF,0.162699,0.05299018,45.78488,0.797849,NaN,NaN,198,0.03728204,,,0.0004410014
317,111.220001220703,-35.7700004577637,9.91800022125244,9.05500030517578,7.31400012969971,6.90100002288818,6.76700019836426,NaN,22.6200008392334,2.40000009536743,38.2200012207031,24.4799995422363,-0.569999992847443,1.01999998092651,b'M',b'Simbad',66.448161,18.017272,66.448161,18.017272,17409930,66.448157,18.017277,102.64,-32.13,7.671,STAR,2mass,0.0226168547815887,20180610,20679,1269-00829-1,541-009163,04254754+1801022,,J042547.62+180101.8,3314440281096457088,42937443,,tmmgaia,2,2,sblink,20.79,1.83,hip,178.093579,-21.182195,67.620439,-3.610901,NaN,NaN,8.085,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.314,0.02,6.901,0.015,6.767,0.021,AAA-111-111-000-0-0,64.2,6.785,0.082,6.771,0.022,6.78,0.016,6.743,0.12,7.9261,0.0003,0.017,gaiaj,hplx,4965,80,NaN,NaN,NaN,NaN,3.29635,0.559853,1.11037,0.141902,0.0310004,0.0157954,DWARF,5.948923,2.020734,48.10005,4.23391,0.483495,NaN,40,0.0001095228,,,NaN
375,95.6399993896484,-64.2200012207031,NaN,NaN,11.5640001296997,10.9409999847412,10.6479997634888,15.539999961853,20.8199996948242,8.28999996185303,37.0999984741211,26.1399993896484,-2.16000008583069,0.259999990463257,b'M',b'Simbad',67.400999,26.573193,67.400999,26.573193,268148948,67.401,26.5732,90.91,-69.88,13.167,STAR,2mass,0.0254048524051214,20180610,,,583-012335,04293623+2634238,1237660761609273913,J042936.31+263422.9,,46686222,,2mass,2,2,sblink,NaN,NaN,,171.867522,-14.938019,69.827589,4.702725,NaN,NaN,16.4,0.2,19.4399,0.0251393,16.9664,0.00454743,15.4794,0.00351411,14.2907,0.00350747,13.0447,0.00353395,11.564,0.021,10.941,0.022,10.648,0.02,AAA-222-111-000-0-0,30,10.488,0.022,10.306,0.021,10.126,0.088,8.467,NaN,NaN,NaN,0.04,cdwrf,cdwrf,3255,64,4.98967,0.413068,NaN,NaN,0.264,0.046,0.248,0.055,13.4784,7.04555,DWARF,0.007048659,0.002456351,88.32542,NaN,NaN,NaN,67,0.05919579,,,NaN
266,99.25,-38.2799987792969,9.62800025939941,8.8459997177124,7.5310001373291,7.19700002670288,7.12099981307983,NaN,19.7399997711182,5.94999980926514,37.5099983215332,25.5499992370605,-0.109999999403954,1.00999999046326,b'M',b'Simbad',65.843041,21.379097,65.843041,21.379097,17336696,65.843034,21.379093,99.3744,-37.9354,8.137,STAR,2mass,0.0275320045199372,20180610,20480,1276-00639-1,557-009424,04232231+2122448,,J042322.40+212244.4,145325544220443904,45847992,,tmgaia,0.111101,0.0670245,tgas,20.116,0.250767,tgas,174.971916,-19.433915,67.599398,-0.201236,9.614,0.005,8.854,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.531,0.019,7.197,0.017,7.121,0.016,AAA-111-111-000-0-0,22.1,7.026,0.043,7.099,0.021,7.092,0.017,7.06,0.12,8.58633,0.000345996,0.017,gaiaj,tplx,5498,25,4.49,0.028,0.1,0.1,1.07639,0.0918127,1.07333,0.128915,0.860646,0.220231,DWARF,0.9537904,0.1627107,49.71167,0.966269,0.475958,NaN,48,0.02997834,,,NaN
110,107.139999389648,11.4899997711182,NaN,NaN,11.5539999008179,10.9809999465942,10.6840000152588,15.3050003051758,18.3400001525879,13.789999961853,35.8800010681152,27.7999992370605,1.64999997615814,0.300000011920929,b'M',b'Simbad',59.812393,6.227896,59.812393,6.227896,311130329,59.8124,6.2279,102.52,1.83,13.183,STAR,2mass,0.0288950936275088,20180610,,,482-005883,03591498+0613404,,J035915.04+061340.4,3273807931971633664,38903526,,tmgaia,2,2,sblink,NaN,NaN,,183.734917,-33.673049,58.988222,-14.02063,17.638,-0.164,16.08,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.554,0.023,10.981,0.025,10.684,0.025,AAA-222-111-000-0-0,53.8,10.528,0.023,10.373,0.02,10.283,0.074,8.403,NaN,14.3261,0.00106927,0.04,cdwrf,cdwrf,3284,63,4.97358,0.406834,NaN,NaN,0.278,0.048,0.265,0.057,12.3342,6.38895,DWARF,0.008098356,0.002796555,95.46283,NaN,0.275169,NaN,25,0.002529441,,,0.001624319
