#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Seq, pmRA, pmDE, Bmag, Vmag, Jmag, Hmag, Ksmag, rmag, plx, Dist, RV, Vpar, Vper, Mass, M, Simbad, RAJ2000, DEJ2000, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA_, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
Seq,pmRA,pmDE,Bmag,Vmag,Jmag,Hmag,Ksmag,rmag,plx,Dist,RV,Vpar,Vper,Mass,M,Simbad,RAJ2000,DEJ2000,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA_,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx_,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag_,e_Bmag,Vmag_,e_Vmag,umag,e_umag,gmag,e_gmag,rmag_,e_rmag,imag,e_imag,zmag,e_zmag,Jmag_,e_Jmag,Hmag_,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass_,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
538,99.5199966430664,-49.4900016784668,10.9340000152588,9.76900005340576,7.96600008010864,7.43599987030029,7.33699989318848,9.4370002746582,23.9699993133545,6.55000019073486,39.7099990844727,21.9799995422363,-0.239999994635582,0.819999992847443,b'M',b'Simbad',71.787224,20.882316,71.787224,20.882316,238413980,71.787235,20.882333,98.422,-50.0353,8.786,STAR,2mass,0.0715147198898453,20180610,,1279-02259-1,555-011109,04470892+2052564,1237673411897655674,J044709.01+205255.8,3412605297699792512,45854673,,tmgaia,1.67146,1.14028,tgas,23.667,0.233162,tgas,179.063039,-15.463946,73.015352,-1.489504,10.947,0.073,9.766,0.008,14.7319,0.00656398,10.6524,0.000434773,9.49838,0.000239859,9.2015,0.000291318,10.1953,0.00196267,7.966,0.027,7.436,0.023,7.337,0.021,AAA-111-111-000-0-0,19.3,7.251,0.034,7.341,0.021,7.303,0.018,7.555,0.163,9.39229,0.000345996,0.019,gaiaj,,4650,170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,42.25291,0.412206,NaN,NaN,65,0.0006890977,,,NaN
501,111.01000213623,-43.7200012207031,NaN,NaN,12.6269998550415,12.0469999313354,11.7019996643066,17.8479995727539,25.0100002288818,7.15000009536743,39.3600006103516,22.6100006103516,0.46000000834465,0.129999995231628,b'M',b'Simbad',70.258085,19.909414,70.258085,19.909414,118768350,70.2581,19.9094,120,-44,14.862,STAR,2mass,0.0715402743976977,20180610,,,,04410193+1954340,1237673411896934730,J044102.02+195433.4,,,,2mass,8,8,sblink,NaN,NaN,,178.942029,-17.192324,71.467396,-2.268748,NaN,NaN,18.9,0.2,21.8805,0.148365,19.1994,0.0104891,17.5746,0.0056373,15.5095,0.00445805,14.3357,0.00443761,12.627,0.019,12.047,0.019,11.702,0.018,AAA-222-111-000-0-0,20.2,11.476,0.022,11.274,0.023,11.302,0.192,8.702,0.433,NaN,NaN,0.067,cdwrf,cdwrf,2866,65,5.17776,0.35943,NaN,NaN,0.135,0.021,0.1,0.018,40.6442,18.9673,DWARF,0.001107814,0.0003446534,NaN,NaN,0.456355,NaN,68,0.02136008,,,NaN
173,88.120002746582,13.1800003051758,10.3100004196167,9.45199966430664,7.93400001525879,7.51999998092651,7.42500019073486,9.18299961090088,16.5699996948242,17.8700008392334,37.6100006103516,25.4200000762939,1.96000003814697,1.02999997138977,b'M',b'Simbad',63.610157,5.180571,63.610157,5.180571,396945337,63.610177,5.18057,89.3911,16.4797,8.644,STAR,2mass,0.0717961977418047,20180610,,0080-01019-1,476-006593,04142644+0510500,,J041426.50+051050.1,3284709349242833792,38126743,,tmgaia,0.885849,0.562178,tgas,17.957,0.285733,tgas,187.44277,-31.306674,62.612422,-15.784839,10.392,0.091,9.543,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.934,0.021,7.52,0.026,7.425,0.02,AAA-111-111-000-0-0,61.9,7.379,0.033,7.463,0.02,7.431,0.018,7.443,0.136,9.17022,0.000345996,0.017,gaiaj,tplx,5464,186,4.48946,0.266365,NaN,NaN,0.921597,0.107673,0.955233,0.122145,1.22035,0.427733,DWARF,0.6820553,0.1593732,55.68854,1.28483,0.331076,NaN,16,0.0003890023,,,0.004636368
641,63.5,-32.439998626709,9.55200004577637,8.81799983978271,7.51399993896484,7.21600008010864,7.12799978256226,NaN,18.6200008392334,10.8199996948242,41.5999984741211,18.1499996185303,-0.400000005960464,1.02999997138977,b'M',b'Simbad',76.574952,17.816413,76.574952,17.816413,293510802,76.574938,17.816428,64.5064,-31.1831,8.123,STAR,2mass,0.0722382105415037,20180610,23750,1286-02135-1,540-012370,05061798+1748591,,J050618.03+174858.7,3407121827053483776,42988049,,tmgaia,0.0939036,0.0538085,tgas,18.7972,0.283072,tgas,184.376126,-13.63261,77.179794,-5.027382,9.455,NaN,8.82,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.514,0.018,7.216,0.046,7.128,0.017,AAA-111-111-000-0-0,20.2,7.045,0.03,7.096,0.018,7.11,0.019,6.987,0.099,8.57411,0.000345996,0.017,gaiaj,tplx,6308,196,4.58892,0.280264,NaN,NaN,0.936477,0.102859,1.24018,0.215849,1.51006,0.497576,DWARF,1.250995,0.2748089,53.19935,1.16736,NaN,NaN,87,0.08937153,,,NaN
405,91.3399963378906,-20.1399993896484,8.32299995422363,7.7649998664856,6.73299980163574,6.57200002670288,6.45499992370605,NaN,19.3400001525879,5.92999982833862,39.1800003051758,22.9200000762939,-0.620000004768372,1.22000002861023,b'M',b'Simbad',67.872278,13.903468,67.872278,13.903468,245826993,67.872289,13.903485,89.9478,-17.3586,7.232,STAR,2mass,0.072270726242086,20180610,21112,0681-00829-1,520-008214,04312933+1354125,,J043129.40+135412.3,3307815001984777088,42346965,,tmgaia,0.0567542,0.0339812,tgas,18.5638,0.324715,tgas,182.474911,-22.693101,68.33812,-7.88728,8.311,0.026,7.78,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.733,0.02,6.572,0.051,6.455,0.021,AAA-111-111-000-0-0,43.4,6.432,0.082,6.395,0.029,6.48,0.018,6.472,0.084,7.59973,0.000345996,0.017,gaiaj,tplx,6105.12,29.5713,NaN,NaN,0.09,0.1,1.95823,0.178681,1.85702,0.38873,0.247301,0.0676958,DWARF,4.799532,0.875878,53.86828,1.28284,0.596556,NaN,36,0.0002070175,,,0.002284391
162,135.809997558594,-44.4700012207031,NaN,NaN,11.7320003509521,11.1490001678467,10.8850002288818,15.9020004272461,25.0499992370605,7.69000005722046,36.4500007629395,27.0400009155273,-0.119999997317791,0.180000007152557,b'M',b'Simbad',63.014002,20.83132,63.014002,20.83132,16002353,63.014,20.8313,134.13,-35.74,13.483,STAR,2mass,0.0723137892036792,20180610,,,555-009211,04120334+2049527,,J041203.46+204952.3,51995909172833536,45843923,,tmgaia,2,2,sblink,NaN,NaN,,173.526074,-21.765057,64.905297,-0.287769,NaN,NaN,16.47,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.732,0.022,11.149,0.022,10.885,0.018,AAA-222-111-000-0-0,39.9,10.668,0.023,10.479,0.021,10.275,0.075,8.891,NaN,14.7248,0.00131952,0.04,cdwrf,cdwrf,3149,65,5.04482,0.435431,NaN,NaN,0.218,0.04,0.192,0.045,18.5324,10.2013,DWARF,0.004210157,0.001545012,NaN,NaN,0.606575,NaN,30,0.0003531124,,,NaN
402,106.160003662109,-8.94999980926514,NaN,NaN,10.5349998474121,9.94400024414063,9.67599964141846,14.4930000305176,22.2999992370605,5.03000020980835,39.3300018310547,22.6499996185303,0.230000004172325,0.389999985694885,b'M',b'Simbad',67.815702,10.70428,67.815702,10.70428,373053974,67.8157,10.7043,108.77,-10.53,12.157,STAR,2mass,0.0723467452607618,20180610,,,504-007650,04311576+1042154,,J043115.83+104215.1,,41026787,,2mass,2,2,sblink,NaN,NaN,,185.219477,-24.673445,67.789325,-11.040832,16.662,0.042,15.043,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.535,0.029,9.944,0.033,9.676,0.024,AAA-222-111-000-0-0,58.2,9.422,0.024,9.246,0.021,9.148,0.034,8.425,0.403,NaN,NaN,0.063,cdwrf,cdwrf,3236,66,5.0001,0.426708,NaN,NaN,0.255,0.046,0.237,0.054,14.2931,7.73511,DWARF,0.006424053,0.002317698,53.27177,NaN,0.372192,NaN,25,0.0004003485,,,0.003234977
578,95.3399963378906,-21.2099990844727,NaN,NaN,8.79599952697754,8.14500045776367,7.96700000762939,11.1120004653931,23.2399997711182,5.55000019073486,40.7999992370605,19.8799991607666,1.24000000953674,0.670000016689301,b'M',b'Simbad',72.760119,14.971309,72.760119,14.971309,436655312,72.7601,14.9713,99,-24,9.98,STAR,2mass,0.0735940655115754,20180610,,,525-009613,04510241+1458167,,J045102.49+145816.5,,42351416,,2mass,8,8,sblink,NaN,NaN,,184.589254,-18.263229,73.216082,-7.469144,13.073,0.043,11.676,0.053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.796,0.027,8.145,0.026,7.967,0.02,AAA-111-111-000-0-0,20.1,7.867,0.026,7.871,0.019,7.775,0.02,7.964,0.223,NaN,NaN,0.04,cdwrf,cdwrf,3937,65,4.69271,0.329205,NaN,NaN,0.603,0.085,0.653,0.111,2.97825,1.25946,DWARF,0.07870295,0.02218823,50.57674,NaN,0.55757,NaN,53,0.08408659,,,0.003888752
57,185.580001831055,32,NaN,NaN,10.0600004196167,9.45199966430664,9.19699954986572,13.2760000228882,26.6599998474121,20.2700004577637,30.6700000762939,33.4599990844727,-1.24000000953674,0.409999996423721,b'M',b'Simbad',51.262885,-3.138986,51.262885,-3.138986,279182740,51.2629,-3.139,193.56,35.22,11.492,STAR,2mass,0.073806615159775,20180610,,,435-004439,03250307-0308204,,J032503.22-030820.0,3260884036075138432,741953,,tmgaia,2,2,sblink,NaN,NaN,,186.519836,-46.167491,47.954104,-21.103308,15.42,0.053,13.886,0.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.06,0.023,9.452,0.022,9.197,0.02,AAA-222-111-000-0-0,48.8,9.079,0.023,8.948,0.02,8.811,0.028,8.21,NaN,12.5662,0.000451404,0.072,cdwrf,cdwrf,3471,64,4.87941,0.377632,NaN,NaN,0.372,0.06,0.382,0.075,7.42052,3.59058,DWARF,0.01809669,0.005837641,64.72022,NaN,0.0441762,NaN,13,0.003035633,,,0.003114898
398,113.540000915527,-17.8199996948242,NaN,NaN,9.94499969482422,9.37399959564209,9.08500003814697,13.4280004501343,23.8600006103516,5.59000015258789,39.2299995422363,22.8299999237061,-0.319999992847443,0.469999998807907,b'M',b'Simbad',67.738881,12.303791,67.738881,12.303791,245821931,67.7389,12.3038,119.43,-20.94,11.47,STAR,2mass,0.0742688952440728,20180610,,,512-007465,04305731+1218136,,J043057.41+121813.4,3307342349423681024,41423858,,tmgaia,2,2,sblink,NaN,NaN,,183.769046,-23.770945,67.962257,-9.44863,15.66,0.016,13.99,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.945,0.021,9.374,0.022,9.085,0.02,AAA-222-111-000-0-0,50.6,8.976,0.022,8.846,0.018,8.715,0.028,8.112,0.315,12.6375,0.0004669,0.066,cdwrf,cdwrf,3364,70,4.8465,0.381751,NaN,NaN,0.434,0.072,0.482,0.091,5.89628,2.93455,DWARF,0.02173192,0.007210591,51.00216,NaN,0.574053,NaN,31,0.0124199,,,0.002240876
426,109.879997253418,-30.4500007629395,NaN,NaN,9.68299961090088,9.06900024414063,8.82199954986572,12.6940002441406,23.8999996185303,5.3899998664856,39.4199981689453,22.5,-2.27999997138977,0.509999990463257,b'M',b'Simbad',68.362521,13.045497,68.362521,13.045497,245858485,68.3625,13.0455,107.95,-25.43,11.088,STAR,2mass,0.0744365028968356,20180610,,,516-008187,04332699+1302438,,J043327.08+130243.5,3307489031146701696,41424959,,tmgaia,2,2,sblink,NaN,NaN,,183.527768,-22.837583,68.684563,-8.807009,14.819,0.051,13.328,0.028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.683,0.021,9.069,0.022,8.822,0.019,AAA-222-111-000-0-0,28.6,8.71,0.023,8.645,0.022,8.498,0.029,8.256,0.386,12.0754,0.000358412,0.093,cdwrf,cdwrf,3542,63,4.87379,0.311036,NaN,NaN,0.4,0.053,0.436,0.071,6.8125,2.70797,DWARF,0.02268866,0.006012496,60.7925,NaN,0.66143,NaN,37,0.009169319,,,0.003327798
144,123.860000610352,-25.5599994659424,10.9340000152588,9.92399978637695,8.10499954223633,7.59899997711182,7.51100015640259,9.56400012969971,22.2199993133545,4.17999982833862,36.5,26.9799995422363,-0.0599999986588955,0.819999992847443,b'M',b'Simbad',61.929999,16.518788,61.929999,16.518788,348664634,61.929978,16.518783,122.332,-24.947,8.914,STAR,2mass,0.074681396589761,20180610,19263,1250-00414-1,533-007997,04074319+1631076,,J040743.28+163107.3,45567507066546048,42923955,,tmgaia,0.168849,0.11762,tgas,21.9391,0.244646,tgas,176.254936,-25.425892,63.100627,-4.337655,10.873,0.061,9.94,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.105,0.024,7.599,0.042,7.511,0.026,AAA-111-111-000-0-0,22.4,7.477,0.032,7.542,0.019,7.489,0.02,7.412,0.142,9.51243,0.000345996,0.018,gaiaj,tplx,4853.82,32.8292,NaN,NaN,NaN,NaN,0.719784,0.0647584,0.755311,0.0895967,2.02544,0.546682,DWARF,0.2590799,0.04661843,45.58072,0.804254,0.508598,NaN,28,0.00115978,,,NaN
529,90.0599975585938,-34.0499992370605,NaN,NaN,11.4670000076294,10.8669996261597,10.6180000305176,15.6190004348755,21.5200004577637,3.55999994277954,40.1300010681152,21.2000007629395,-0.230000004172325,0.25,b'M',b'Simbad',71.613086,17.626616,71.613086,17.626616,436589427,71.6131,17.6266,95.97,-38.71,13.187,STAR,2mass,0.0749999930679546,20180610,,,539-010256,04462712+1737359,,J044627.21+173735.4,,42959024,,2mass,2,2,sblink,NaN,NaN,,181.656942,-17.571868,72.444078,-4.699098,18.172,0.162,16.74,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.467,0.022,10.867,0.022,10.618,0.018,AAA-222-111-000-0-0,22.5,10.406,0.023,10.227,0.02,10.006,0.069,8.245,NaN,NaN,NaN,0.055,cdwrf,cdwrf,3184,67,5.02594,0.429436,NaN,NaN,0.233,0.042,0.21,0.049,16.6017,8.97772,DWARF,0.005026883,0.001812267,76.62315,NaN,0.729151,NaN,44,0.00916845,,,NaN
61,132.520004272461,-58.3400001525879,7.80399990081787,7.28800010681152,6.35400009155273,6.14699983596802,6.10900020599365,NaN,19.7000007629395,19.5499992370605,29.1000003814697,34.8400001525879,0.469999998807907,1.32000005245209,b'M',b'Simbad',53.166322,35.659294,53.166322,35.659294,90665203,53.166309,35.659276,130.46,-60.89,6.815,STAR,2mass,0.0751327723484833,20180610,16517,2354-01758-1,629-012172,03323989+3539335,,J033240.03+353932.7,,49815717,,2mass,2,2,sblink,20.45,0.96,hip,156.191646,-16.595795,59.549101,16.032458,7.789,0.025,7.29,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.354,0.018,6.147,0.018,6.109,0.021,AAA-111-111-000-0-0,25.1,6.147,0.111,6.035,0.044,6.13,0.016,6.024,0.049,NaN,NaN,0.029,vjk,hplx,6281,25,4.28,0.028,0.24,0.1,1.52946,0.161181,1.4312,0.328302,0.400024,0.126469,DWARF,3.280093,0.6913403,48.89976,2.29554,0.264924,NaN,65,0.0005177339,,,0.003644948
246,104.449996948242,-19.6599998474121,7.01800012588501,6.58400011062622,5.78399991989136,5.66599988937378,5.59499979019165,NaN,20.5,3.40000009536743,38.1599998474121,24.5799999237061,-0.119999997317791,1.47000002861023,b'M',b'Simbad',65.394979,14.409788,65.394979,14.409788,435920541,65.394998,14.409778,104.23,-19.1325,6.185,STAR,2mass,0.0753977567560651,20180610,20357,0680-00994-1,523-008222,04213478+1424352,,J042134.89+142434.9,3311024785663873920,40740184,,tmgaia,0.0412234,0.0294184,tgas,20.4476,0.354148,tgas,180.41288,-24.258123,66.027708,-7.005302,7,0.024,6.59572,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.784,0.023,5.666,0.033,5.595,0.018,AAA-111-111-000-0-0,35.5,5.721,0.089,5.437,0.046,5.613,0.016,5.522,0.042,6.47667,0.000345996,0.018,gaiaj,tplx,6671.27,30.4065,4.35,0.2,0.05,0.06,2.15177,0.19297,1.89466,0.390039,0.190171,0.0511633,DWARF,8.262671,1.481987,48.90549,1.11009,0.707425,NaN,35,0.002088167,,,0.002314365
606,68.4599990844727,-22.0599994659424,NaN,NaN,11.9200000762939,11.3400001525879,11.081000328064,15.8690004348755,18.3099994659424,10.6000003814697,41.4000015258789,18.6100006103516,-0.829999983310699,0.239999994635582,b'M',b'Simbad',74.364817,13.945213,74.364817,13.945213,432610714,74.3648,13.9452,71.44,-16.17,13.611,STAR,2mass,0.0756184645182016,20180610,,,,04572755+1356427,1237673474179596911,J045727.60+135642.5,,40742232,,2mass,2,2,sblink,NaN,NaN,,186.41363,-17.589162,74.657513,-8.665224,18.063,-0.252,16.9,0.2,19.5914,0.0283944,17.292,0.00531089,15.835,0.00451237,14.2702,0.00461641,13.4287,0.00503007,11.92,0.023,11.34,0.028,11.081,0.021,AAA-222-111-000-0-0,25,10.888,0.023,10.719,0.02,10.435,0.103,8.836,NaN,NaN,NaN,0.04,cdwrf,cdwrf,3163,69,5.03679,0.445876,NaN,NaN,0.224,0.042,0.199,0.048,17.7055,9.95936,DWARF,0.004524676,0.001696754,NaN,NaN,0.416335,NaN,69,0.04864318,,,0.001493987
83,129.759994506836,-23.0699996948242,10.2580003738403,9.49400043487549,7.77600002288818,7.40100002288818,7.24900007247925,9.11499977111816,21.1200008392334,7.5,34.4300003051758,29.5799999237061,0.0599999986588955,0.920000016689301,b'M',b'Simbad',57.604035,17.246507,57.604035,17.246507,456863710,57.604022,17.246524,127.102,-22.284,8.55165,STAR,2mass,0.075783589975797,20180610,17962,1252-00212-1,537-007237,03502496+1714474,,J035025.05+171447.1,43789768566924416,42909286,,tmgaia,0.0885151,0.0403439,tgas,21.0262,0.515443,tgas,172.482529,-27.937182,59.183687,-2.79425,10.163,0.089,9.46,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.776,0.023,7.401,0.059,7.249,0.023,AAA-111-111-000-0-0,40.2,7.123,0.039,7.172,0.02,7.114,0.018,6.95,0.112,9.12591,0.000345996,0.0178444,gaiaj,tplx,6111,193,4.66139,0.271751,NaN,NaN,0.830002,0.096444,1.15113,0.162148,2.0132,0.701785,DWARF,0.8655698,0.2011538,NaN,NaN,0.414799,NaN,28,0.0001045272,,,NaN
365,101.730003356934,-43.2700004577637,NaN,NaN,9.57100009918213,8.94699954986572,8.6899995803833,12.6599998474121,21.6399993896484,1.60000002384186,38.4500007629395,24.1200008392334,-2.07999992370605,0.579999983310699,b'M',b'Simbad',67.254221,18.673707,67.254221,18.673707,17560029,67.2542,18.6737,112.32,-40.55,11.019,STAR,2mass,0.0759242717611942,20180610,,,544-009385,04290099+1840254,1237673327081619471,J042901.09+184025.0,3314581980657485696,42939850,,tmgaia,2,2,sblink,NaN,NaN,,178.075915,-20.174251,68.48036,-3.082424,14.751,0.053,13.31,0.05,16.6172,0.0086155,15.7803,0.0173604,12.792,0.00195424,11.6998,0.000711106,12.7002,0.0110823,9.571,0.021,8.947,0.022,8.69,0.019,AAA-222-111-000-0-0,35.4,8.589,0.023,8.519,0.025,8.402,0.031,7.628,0.292,12.08,0.000359188,0.04,cdwrf,cdwrf,3515,64,4.85688,0.371734,NaN,NaN,0.396,0.063,0.411,0.079,6.61845,3.15881,DWARF,0.02156683,0.006862175,57.17043,NaN,1.00874,NaN,39,0.02923127,,,NaN
670,68.6900024414063,29.6000003814697,NaN,NaN,11.5950002670288,10.9729995727539,10.6870002746582,15.6789999008179,22.8400001525879,16.5400009155273,42.6599998474121,15.5100002288818,0.589999973773956,0.230000004172325,b'M',b'Simbad',79.106379,-0.521602,79.106379,-0.521602,249040177,79.1064,-0.5216,73.19,22.31,13.312,STAR,2mass,0.0759389645295211,20180610,,,448-009394,05162552-0031177,,J051625.58-003117.5,3215491862459721728,1205372,,tmgaia,2,2,sblink,NaN,NaN,,202.073635,-21.261171,78.106775,-23.512259,17.809,NaN,16.3,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.595,0.026,10.973,0.024,10.687,0.023,AAA-222-111-000-0-0,39.2,10.531,0.023,10.326,0.021,10.216,0.059,8.933,NaN,14.5242,0.00118581,0.04,cdwrf,cdwrf,3209,64,5.01552,0.418956,NaN,NaN,0.243,0.043,0.223,0.05,15.5413,8.25029,DWARF,0.00564139,0.001996541,85.42345,NaN,0.137185,NaN,56,0.01318936,,,0.001949227
471,92.370002746582,8.72000026702881,12.9060001373291,11.4729995727539,8.96000003814697,8.3120002746582,8.14900016784668,10.9379997253418,20.4699993133545,10.4700002670288,39.9799995422363,21.4899997711182,0.0599999986588955,0.699999988079071,b'M',b'Simbad',69.492673,4.669777,69.492673,4.669777,269115609,69.492653,4.66977,96.0731,8.32868,10.017,STAR,2mass,0.0760570856842131,20180610,,0091-01330-1,474-007021,04375823+0440111,,J043758.30+044011.2,3282171745125201792,36431654,,tmgaia,1.08985,0.817243,tgas,20.8608,0.335207,tgas,191.758894,-26.791384,68.554187,-17.255757,12.858,0.31,11.457,0.047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.96,0.029,8.312,0.046,8.149,0.029,AAA-111-111-000-0-0,47.6,8.074,0.023,8.13,0.02,8.05,0.023,8.153,0.3,10.7882,0.000345996,0.019,gaiaj,tplx,4362,174,4.6016,0.367458,NaN,NaN,0.684335,0.119029,0.681879,0.0807202,2.12765,1.11021,GIANT,0.1527478,0.053136,47.93686,0.758105,0.272049,NaN,30,0.007168569,,,0.003414338
181,112.830001831055,-18.6100006103516,11.8900003433228,10.6809997558594,8.44499969482422,7.82800006866455,7.68800020217896,10.21399974823,21.25,4.07000017166138,37.5499992370605,25.5,-0.800000011920929,0.800000011920929,b'M',b'Simbad',63.716384,13.054954,63.716384,13.054954,434233518,63.716387,13.054933,116.45,-20.7828,9.41054,STAR,2mass,0.0763285565170209,20180610,19808,0675-00186-1,516-007486,04145191+1303178,,J041452.01+130317.5,3310500078099136768,41417508,,tmgaia,0.155125,0.119768,tgas,21.7799,0.614533,tgas,180.425659,-26.378091,64.171932,-8.05876,11.863,0.017,10.69,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.445,0.029,7.828,0.017,7.688,0.017,AAA-111-111-000-0-0,82.8,7.588,0.032,7.65,0.019,7.603,0.02,7.626,0.16,10.1191,0.000345996,0.0191178,gaiaj,tplx,4305,173,NaN,NaN,NaN,NaN,0.799176,0.146248,0.672842,0.0789415,1.94726,0.578031,GIANT,0.1523748,0.03015423,NaN,NaN,0.57288,NaN,0,NaN,,,NaN
685,43.0200004577637,24.5,NaN,NaN,11.6450004577637,11.0839996337891,10.7430000305176,15.7430000305176,16.1200008392334,26.9200000762939,42.9900016784668,14.5500001907349,0.379999995231628,0.330000013113022,b'M',b'Simbad',81.284382,-2.20301,81.284382,-2.20301,4293841,81.284398,-2.203024,52.15,28.4,13.51,STAR,2mass,0.0765050159021397,20180610,,,439-009813,05250825-0212109,,J052508.28-021210.5,3214087751750332032,1212278,,tmgaia,2,2,sblink,NaN,NaN,,204.766232,-20.154508,80.354425,-25.35096,18.565,0.162,16.539,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.645,0.024,11.084,0.022,10.743,0.019,AAA-222-111-000-0-0,16.6,10.582,0.023,10.393,0.02,10.278,0.08,8.212,NaN,14.7693,0.00135159,0.017,gaiaj,,3067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.327375,NaN,45,0.008643786,,,NaN
214,92.0199966430664,-38.7700004577637,10.3479995727539,9.44499969482422,7.58500003814697,7.0770001411438,6.93699979782104,9.10599994659424,17.7099990844727,11.9099998474121,36.6800003051758,26.7299995422363,-0.280000001192093,1.12999999523163,b'M',b'Simbad',64.544953,23.284651,64.544953,23.284651,17147557,64.544967,23.284668,93.5789,-38.8069,8.435,STAR,2mass,0.076737670855816,20180610,,1815-01949-1,567-010071,04181077+2317048,,J041810.86+231704.4,148946064212226944,45455274,,tmgaia,1.06811,0.643475,tgas,18.6718,0.226916,tgas,172.619123,-19.061442,66.733509,1.877991,10.38,0.057,9.446,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.585,0.019,7.077,0.029,6.937,0.016,AAA-111-111-000-0-0,20,6.828,0.066,6.85,0.021,6.815,0.016,6.72,0.086,9.06319,0.000345996,0.017,gaiaj,tplx,4567.69,65.9351,3.26632,0.061848,-0.397642,0.009737,1.4183,0.136995,0.772928,0.0913091,0.270916,0.0785041,GIANT,0.7888917,0.1523997,53.55676,0.643054,0.351675,NaN,46,0.0004534561,,,NaN
