#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#__PGZ2001_, f__PGZ2001_, EWLi, u_EWLi, EWHa, u_EWHa, SpType, u_SpType, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, float, string, float, string, string, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
__PGZ2001_,f__PGZ2001_,EWLi,u_EWLi,EWHa,u_EWHa,SpType,u_SpType,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'160325.6-194438',b'',0.200000002980232,b'',-1.39999997615814,b'',b'M 2',b'',240.8567,-19.7439,240.8567,-19.7439,9792309,240.8568,-19.744,-69.01,22.07,13.877,STAR,2mass,0.494378373765357,20180610,,,352-076433,16032563-1944384,1237674653155394165,J160325.57-194438.1,6247266911152981120,8824068,,tmgaia,2,2,sblink,NaN,NaN,,352.886007,23.98504,242.71409,0.977181,18.247,NaN,16.85,0.2,20.2111,0.0599728,17.1669,0.00479152,15.6826,0.00352563,14.4432,0.00346414,13.7208,0.00409593,12.359,0.023,11.704,0.023,11.48,0.023,AAA-222-111-000-0-0,22,11.316,0.023,11.164,0.022,11.16,0.187,8.196,NaN,14.955,0.00149614,0.04,cdwrf,cdwrf,3447,65,4.89049,0.384831,NaN,NaN,0.36,0.059,0.367,0.074,7.86608,3.86749,DWARF,0.01648409,0.005403117,188.8016,NaN,0.287,NaN,91,0.02095881,,,NaN
b'160915.8-193706',b'',0.899999976158142,b'',-1.70000004768372,b'',b'M 3',b'',242.3158,-19.6183,242.3158,-19.6183,48962413,242.315871,-19.618422,-6.93313,-22.7244,14.257,STAR,2mass,0.500862427399692,20180610,,,,16091580-1937063,1237674654229659665,J160915.80-193706.4,6245722475269479680,,,tmgaia,1.98801,1.988,hsoy,NaN,NaN,,354.010767,23.06868,244.039581,1.360568,18.668,0.162,NaN,NaN,21.2696,0.145499,18.3207,0.00733094,16.7697,0.00478182,14.9917,0.0040864,13.998,0.00436905,12.383,0.026,11.739,0.023,11.462,0.027,AAA-222-111-000-0-0,16,11.271,0.022,11.047,0.021,10.903,0.146,8.57,NaN,15.522,0.00207224,0.018,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.255739,NaN,0,NaN,,,NaN
b'160622.8-201124',b'',0.529999971389771,b'',-6,b'',b'M 5',b'',241.595,-20.19,241.595,-20.19,48764418,241.594907,-20.190115,-12.92,-19.0408,13.859,STAR,2mass,0.51974506682681,20180610,,,350-078991,16062277-2011243,1237674653155722430,J160622.77-201124.5,6244177798870026112,11472731,,tmgaia,1.98801,1.988,hsoy,NaN,NaN,,353.053446,23.174646,243.480495,0.672168,18.573,0.162,16.885,0.069,20.8157,0.0959601,17.8221,0.00613532,16.2371,0.00411433,14.5802,0.00357069,13.6403,0.00389548,12.025,0.027,11.277,0.023,11.002,0.019,AAA-222-111-000-0-0,22.4,10.848,0.023,10.55,0.02,9.014,0.03,6.639,0.086,15.1022,0.00162428,0.018,gaiaj,,3045,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.289706,NaN,0,NaN,,,NaN
b'160823.2-193001',b'',0.490000009536743,b'',-6,b'',b'K 9',b'',242.0967,-19.5003,242.0967,-19.5003,48871317,242.096856,-19.500263,-11.0828,-23.1278,11.958,STAR,2mass,0.545886754856033,20180610,,,353-078562,16082324-1930009,1237674654229528681,J160823.23-193001.2,6245739517699664768,,,tmgaia,2.14372,2.14372,hsoy,NaN,NaN,,353.952836,23.30045,243.814798,1.438385,15.903,0.162,14.085,0.069,17.1037,0.0116947,15.1873,0.00481292,15.1409,0.0118662,15.556,0.0141241,12.1974,0.00505449,10.574,0.023,9.737,0.022,9.469,0.019,AAA-222-111-000-0-0,12.5,9.185,0.023,8.986,0.021,6.963,0.016,5.007,0.036,12.9397,0.000539045,0.017,gaiaj,,3481,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.252126,NaN,0,NaN,,,NaN
b'160456.4-194045',b'',0.540000021457672,b'',-5.19999980926514,b'',b'M 4',b'',241.235,-19.6792,241.235,-19.6792,9917059,241.235171,-19.679218,-10.8977,-21.6922,13.466,STAR,2mass,0.583255366064157,20180610,,,352-076596,16045644-1940451,,J160456.43-194045.4,6247225232787495040,,,tmgaia,1.97628,1.97627,hsoy,NaN,NaN,,353.205526,23.771238,243.051199,1.109353,19.208,0.162,17.146,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.69,0.026,11.009,0.024,10.728,0.023,AAA-222-111-000-0-0,22.9,10.586,0.023,10.418,0.021,10.104,0.072,8.184,NaN,14.678,0.00128675,0.018,gaiaj,,2915,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.241029,NaN,0,NaN,,,NaN
b'160456.4-194045',b'',0.600000023841858,b'',-4.40000009536743,b'',b'M 4',b'',241.235,-19.6792,241.235,-19.6792,9917059,241.235171,-19.679218,-10.8977,-21.6922,13.466,STAR,2mass,0.583255366064157,20180610,,,352-076596,16045644-1940451,,J160456.43-194045.4,6247225232787495040,,,tmgaia,1.97628,1.97627,hsoy,NaN,NaN,,353.205526,23.771238,243.051199,1.109353,19.208,0.162,17.146,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.69,0.026,11.009,0.024,10.728,0.023,AAA-222-111-000-0-0,22.9,10.586,0.023,10.418,0.021,10.104,0.072,8.184,NaN,14.678,0.00128675,0.018,gaiaj,,2915,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.241029,NaN,0,NaN,,,NaN
b'160804.3-194712',b'',0.910000026226044,b'',-5.19999980926514,b'',b'M 4',b'',242.0179,-19.7867,242.0179,-19.7867,48871608,242.018,-19.786836,-4.51001,-4.73713,12.876,STAR,2mass,0.595362487005757,20180610,,,352-077051,16080432-1947126,,J160804.31-194712.6,6244219649033064064,8831152,,tmgaia,1.98801,1.988,hsoy,NaN,NaN,,353.66924,23.160003,243.795257,1.142991,16.167,0.044,14.639,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.619,0.026,10.793,0.025,10.571,0.023,AAA-222-111-000-0-0,25.7,10.435,0.023,10.544,0.02,10.355,0.08,8.782,NaN,13.7789,0.000810511,0.018,gaiaj,,3669,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.281898,NaN,0,NaN,,,NaN
b'160517.9-202420',b'',0.409999996423721,b'',-5.19999980926514,b'',b'M 3',b'',241.3246,-20.4056,241.3246,-20.4056,9994063,241.324642,-20.405439,-10.0935,-21.9297,11.753,STAR,2mass,0.596672807596098,20180610,,,348-080238,16051791-2024195,,J160517.90-202419.8,6244078945903203072,11470450,,tmgaia,2.14569,2.14568,hsoy,NaN,NaN,,352.693749,23.210735,243.272548,0.412592,15.858,0.052,14.413,0.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.154,0.022,9.349,0.024,9.143,0.019,AAA-222-111-000-0-0,7.6,9.006,0.024,8.874,0.02,8.771,0.029,8.481,0.353,12.8644,0.00052001,0.017,gaiaj,,3314,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.284449,NaN,0,NaN,,,NaN
b'160521.9-193602',b'',0.5,b'',-1.89999997615814,b'',b'M 1',b'',241.3412,-19.6006,241.3412,-19.6006,9920910,241.341331,-19.600732,-13.0282,-21.3908,12.658,STAR,2mass,0.650532900737758,20180610,,,352-076650,16052192-1936026,1237674653692396580,J160521.91-193602.9,6247249250243509760,8826933,,tmgaia,1.97628,1.97627,hsoy,NaN,NaN,,353.342867,23.75235,243.134356,1.205503,16.72,0.078,15.043,0.062,18.9033,0.0266074,15.9834,0.00380375,14.3997,0.0032977,16.1725,0.0139834,12.5458,0.00372108,11.091,0.021,10.34,0.025,10.104,0.023,AAA-222-111-000-0-0,7.3,9.977,0.022,9.897,0.021,9.779,0.054,8.694,NaN,13.75,0.000799,0.017,gaiaj,,3392,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.237408,NaN,0,NaN,,,NaN
b'161120.4-191937',b'',0.509999990463257,b'',-5.5,b'',b'M 2',b'',242.835,-19.3269,242.835,-19.3269,49166684,242.83519,-19.326927,-11.5417,-23.2515,12.708,STAR,2mass,0.652731317678391,20180610,,,354-076510,16112044-1919369,1237674654766596440,J161120.43-191937.2,6245714709967999104,8835898,,tmgaia,2.14372,2.14372,hsoy,NaN,NaN,,354.60347,22.904461,244.467635,1.736858,17.413,-0.146,15.837,0.217,19.0343,0.0295124,16.4058,0.00399422,14.7519,0.00381728,17.415,0.018254,12.5166,0.00393327,10.946,0.024,10.104,0.024,9.844,0.023,AAA-222-111-000-0-0,11.6,9.678,0.022,9.535,0.021,9.398,0.041,8.359,NaN,13.9121,0.000866181,0.017,gaiaj,,3184,159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.467488,NaN,0,NaN,,,NaN
