#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#__PGZ2001_, f__PGZ2001_, EWLi, u_EWLi, EWHa, u_EWHa, SpType, u_SpType, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, float, string, float, string, string, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
__PGZ2001_,f__PGZ2001_,EWLi,u_EWLi,EWHa,u_EWHa,SpType,u_SpType,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'160719.7-202055',b'',0.569999992847443,b'',-2.29999995231628,b'',b'M 3',b'',241.8321,-20.3486,241.8321,-20.3486,48794702,241.832163,-20.348772,-8.39117,-20.9382,13.56,STAR,2mass,0.654696171702405,20180610,,,349-077758,16071971-2020555,1237674653155853379,J160719.71-202055.8,6244127736731818496,,,tmgaia,1.98803,1.98801,hsoy,NaN,NaN,,353.093622,22.903832,243.728992,0.558311,17.862,0.162,16.825,0.092,20.112,0.0574554,17.5237,0.00552295,15.8984,0.00380225,14.3124,0.00355097,13.386,0.00406986,11.735,0.026,10.975,0.024,10.715,0.024,AAA-222-111-000-0-0,30.7,10.579,0.022,10.389,0.021,10.107,0.065,8.375,NaN,14.7985,0.00137319,0.018,gaiaj,,2988,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.318865,NaN,0,NaN,,,NaN
b'160545.4-202308',b'',0.310000002384186,b'',-35,b'',b'M 2',b'',241.4392,-20.3856,241.4392,-20.3856,48668314,241.43918,-20.385782,NaN,NaN,13.14,STAR,2mass,0.658666848165632,20180610,,,349-077536,16054540-2023088,,J160545.39-202309.0,6244077816327677696,11471432,,tmmgaia,NaN,NaN,,NaN,NaN,,352.789652,23.146396,243.374196,0.452344,16.756,0.011,15.885,0.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.464,0.026,10.746,0.027,10.413,0.025,AAA-222-111-000-0-0,17,10.119,0.024,9.767,0.02,8.022,0.021,6.108,0.051,14.2961,0.0011,0.018,gaiaj,,3156,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.301264,NaN,0,NaN,,,NaN
b'160502.1-203507',b'',0.569999992847443,b'',-5.90000009536743,b'',b'M 2',b'',241.2587,-20.5853,241.2587,-20.5853,9994308,241.258901,-20.585295,-10.6357,-19.7838,12.156,STAR,2mass,0.677637096222322,20180610,,,348-080197,16050213-2035070,,J160502.13-203507.3,6244067675910056832,11469870,,tmgaia,2.14569,2.14568,hsoy,NaN,NaN,,352.505867,23.131326,243.246469,0.224284,16.494,0.168,14.844,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.44,0.024,9.659,0.025,9.447,0.026,AAA-222-111-000-0-0,21.8,9.271,0.022,9.101,0.02,9.024,0.035,8.474,NaN,13.3348,0.000651904,0.017,gaiaj,,3287,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.277014,NaN,0,NaN,,,NaN
b'160827.5-194904',b'',0.569999992847443,b'',-12.3000001907349,b'',b'M 5',b'',242.1146,-19.8178,242.1146,-19.8178,48871639,242.114665,-19.817982,-7.11425,-23.5426,13.689,STAR,2mass,0.691194074630363,20180610,,,351-078832,16082751-1949047,,J160827.51-194905.0,6244217072052632960,,,tmgaia,2.00028,1.99194,hsoy,NaN,NaN,,353.711739,23.072174,243.890436,1.129341,18.66,0.162,17.184,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.638,0.026,10.981,0.027,10.586,0.019,AAA-222-111-000-0-0,6.9,10.362,0.023,10.011,0.02,8.888,0.031,7.165,0.113,15.0464,0.00157416,0.017,gaiaj,,2874,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.29988,NaN,0,NaN,,,NaN
b'160908.4-200928',b'',0.660000026226044,b'',-4,b'',b'M 4',b'',242.285,-20.1578,242.285,-20.1578,48963011,242.28519,-20.157721,NaN,NaN,12.123,STAR,2mass,0.702267643986505,20180610,,,350-079374,16090844-2009277,1237674653692854573,J160908.45-200928.2,6244148803546205952,11478364,,tmmgaia,NaN,NaN,,NaN,NaN,,353.559801,22.723586,244.110976,0.825236,16.391,0.103,14.915,0.149,19.4634,0.0418181,16.5177,0.00431109,14.8105,0.00338937,13.2999,0.00328035,12.4608,0.00398714,10.65,0.041,9.864,0.035,9.517,0.027,AEE-222-111-000-0-0,27.4,9.223,0.023,9.027,0.02,9.003,0.035,8.628,0.375,13.1593,0.0006,0.022,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.338797,NaN,0,NaN,,,NaN
b'160428.0-190434',b'',0.550000011920929,b'',-3.40000009536743,b'',b'M 4',b'',241.1167,-19.0761,241.1167,-19.0761,9917736,241.1165,-19.076047,-15.4405,-20.7302,13.964,STAR,2mass,0.70670541936293,20180610,,,355-076763,16042796-1904337,,,6247329720749933440,,,tmgaia,1.97628,1.97627,hsoy,NaN,NaN,,353.601985,24.266426,242.825553,1.679846,19.059,0.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.031,0.033,11.323,0.03,11.009,0.028,AAA-222-111-000-0-0,9.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.2597,0.00177675,0.019,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.31188,NaN,0,NaN,,,NaN
b'160700.1-203309',b'',0.649999976158142,b'',-0.600000023841858,b'',b'M 2',b'',241.7504,-20.5525,241.7504,-20.5525,48794941,241.750594,-20.552576,NaN,NaN,12.741,STAR,2mass,0.708875193961326,20180610,,,348-080467,16070014-2033092,,J160700.12-203309.5,6244106158815189504,,,tmmgaia,NaN,NaN,,NaN,NaN,,352.875713,22.819805,243.692246,0.343771,17.772,0.163,15.421,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.116,0.03,10.278,0.023,9.942,0.023,AAA-222-111-000-0-0,11.7,9.674,0.022,9.297,0.019,7.369,0.018,4.914,0.031,13.8676,0.0008,0.019,gaiaj,,3154,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.359327,NaN,0,NaN,,,NaN
b'160700.1-203309',b'',0.600000023841858,b':',-0.300000011920929,b'',b'M 1',b'',241.7504,-20.5525,241.7504,-20.5525,48794941,241.750594,-20.552576,NaN,NaN,12.741,STAR,2mass,0.708875193961326,20180610,,,348-080467,16070014-2033092,,J160700.12-203309.5,6244106158815189504,,,tmmgaia,NaN,NaN,,NaN,NaN,,352.875713,22.819805,243.692246,0.343771,17.772,0.163,15.421,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.116,0.03,10.278,0.023,9.942,0.023,AAA-222-111-000-0-0,11.7,9.674,0.022,9.297,0.019,7.369,0.018,4.914,0.031,13.8676,0.0008,0.019,gaiaj,,3154,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.359327,NaN,0,NaN,,,NaN
b'160801.4-202741',b'',0.829999983310699,b'',-2.29999995231628,b'',b'K 8',b'',242.0058,-20.4614,242.0058,-20.4614,48867127,242.005899,-20.461575,-11.565,-22.8349,11.74,STAR,2mass,0.713020629789516,20180610,,,348-080596,16080141-2027416,1237674653155983392,J160801.40-202741.9,6244113889757089664,11476214,,tmgaia,2.14503,2.14478,hsoy,NaN,NaN,,353.125234,22.707898,243.910075,0.477993,15.499,0.078,13.78,0.046,17.6289,0.0143732,15.0016,0.00368326,14.1659,0.0104138,12.5536,0.00123804,12.0558,0.0077932,10.298,0.026,9.501,0.026,9.291,0.023,AAA-222-111-000-0-0,6.5,9.201,0.022,9.158,0.02,9.043,0.033,8.707,0.479,12.7577,0.000494283,0.018,gaiaj,,3520,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.324887,NaN,0,NaN,,,NaN
b'161133.6-191400',b'',0.600000023841858,b':',-4.80000019073486,b'',b'M 3',b'',242.89,-19.2333,242.89,-19.2333,49166580,242.890158,-19.233447,-10.7657,-27.2867,12.947,STAR,2mass,0.753974627050499,20180610,,,354-076530,16113363-1914003,,J161133.63-191400.7,6245717733625029248,,,tmgaia,1.98801,1.98801,hsoy,NaN,NaN,,354.716471,22.928906,244.501706,1.838204,18.957,0.162,16.158,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.166,0.023,10.348,0.023,10.083,0.021,AAA-222-111-000-0-0,13.6,9.91,0.022,9.761,0.018,9.62,0.061,8.638,NaN,14.1612,0.000982406,0.017,gaiaj,,3173,159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.565104,NaN,0,NaN,,,NaN
b'161156.2-194323',b'',0.600000023841858,b'',-6.30000019073486,b'',b'M 3',b'',242.9842,-19.7231,242.9842,-19.7231,49201928,242.984416,-19.723045,-13.6151,-25.2999,12.586,STAR,2mass,0.75828851633681,20180610,,,352-077626,16115626-1943229,,J161156.25-194323.1,6245684026721194624,8836706,,tmgaia,2.14429,2.14375,hsoy,NaN,NaN,,354.388442,22.533854,244.677811,1.372786,17.041,NaN,15.482,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.823,0.024,10.101,0.024,9.812,0.019,AAA-222-111-000-0-0,15.7,9.708,0.023,9.512,0.02,9.481,0.049,8.708,0.438,13.7902,0.000815084,0.017,gaiaj,,3236,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.312286,NaN,0,NaN,,,NaN
b'160632.1-202053',b'',0.689999997615814,b'',-5.09999990463257,b'',b'M 5',b'',241.6337,-20.3481,241.6337,-20.3481,161837284,241.633777,-20.348305,NaN,NaN,14.996,STAR,2mass,0.782427602081637,20180610,,,,16063210-2020538,,J160632.09-202054.0,,,,2mass,NaN,NaN,,NaN,NaN,,352.955515,23.03959,243.54622,0.523728,19.866,0.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.966,0.026,12.328,0.022,11.944,0.024,AAA-222-111-000-0-0,30.6,11.81,0.023,11.549,0.022,11.369,0.201,8.944,NaN,NaN,NaN,0.17,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.305589,NaN,0,NaN,,,NaN
b'161024.7-191407',b'',0.509999990463257,b'',-3.29999995231628,b'',b'M 3',b'',242.6029,-19.2353,242.6029,-19.2353,49040362,242.603107,-19.235399,-9.35125,-19.9746,13.204,STAR,2mass,0.788714787851268,20180610,,,354-076381,16102474-1914074,1237674654766531326,J161024.73-191407.5,6245761267412447232,,,tmgaia,2.01361,1.98929,hsoy,NaN,NaN,,354.516687,23.128039,244.23544,1.786892,18.733,0.162,16.299,0.183,20.1933,0.0684516,17.0834,0.00468582,15.4526,0.00397091,16.9768,0.0160486,13.0099,0.00406431,11.402,0.023,10.665,0.022,10.332,0.023,AAA-222-111-000-0-0,18,10.171,0.023,10.01,0.02,9.858,0.058,8.283,NaN,14.43,0.00112861,0.017,gaiaj,,3188,159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.402582,NaN,0,NaN,,,NaN
b'160508.4-201532',b'',0.46000000834465,b'',-5.5,b'',b'M 4',b'',241.285,-20.2589,241.285,-20.2589,9921683,241.285233,-20.258922,-6.96762,-31.0521,12.412,STAR,2mass,0.790885303733744,20180610,,,349-077472,16050845-2015320,,J160508.45-201532.3,6244094476506857984,11470085,,tmgaia,2.14569,2.14568,hsoy,NaN,NaN,,352.781678,23.33844,243.208288,0.549354,16.958,0.032,15.825,0.309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.658,0.023,9.975,0.026,9.62,0.02,AAA-222-111-000-0-0,9.6,9.49,0.023,9.318,0.02,9.194,0.037,8.638,NaN,13.6107,0.000745888,0.017,gaiaj,,2965,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.304958,NaN,0,NaN,,,NaN
b'160522.7-205111',b'',0.100000001490116,b':',-4.5,b'',b'M 4',b'',241.3446,-20.8531,241.3446,-20.8531,9994636,241.3445,-20.8533,1.36,-96.47,13.407,STAR,2mass,0.794718402204771,20180610,,,346-078774,16052269-2051117,,J160522.69-205112.9,6244012597248944768,11470615,,tmgaia,2,2,sblink,NaN,NaN,,352.355238,22.888397,243.37625,-0.023493,18.069,0.161,16.45,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.759,0.021,11.232,0.022,11.006,0.025,AAA-222-111-000-0-0,9.1,10.843,0.023,10.626,0.021,10.54,0.085,8.856,NaN,14.4502,0.00114061,0.127,cdwrf,cdwrf,3293,63,4.9709,0.408135,NaN,NaN,0.282,0.049,0.271,0.058,12.0843,6.29927,DWARF,0.008424805,0.002927769,109.0421,NaN,0.258738,NaN,98,0.2188696,,,NaN
b'160745.8-203055',b'',0.300000011920929,b':',-2,b'',b'M 3',b'',241.9408,-20.5153,241.9408,-20.5153,48867063,241.9407,-20.5155,-87.29,-24.09,15.655,STAR,2mass,0.795036049932223,20180610,,,,16074576-2030559,,J160745.69-203056.1,6244107430126301184,,,tmgaia,2,2,sblink,NaN,NaN,,353.037303,22.715557,243.860155,0.413603,19.759,0.163,19.09,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.71,0.029,13.109,0.029,12.752,0.029,AAA-222-111-000-0-0,14.4,12.615,0.023,12.409,0.024,11.857,0.288,8.655,NaN,16.5969,0.00416945,0.06,cdwrf,cdwrf,2961,96,5.13331,0.497384,NaN,NaN,0.155,0.032,0.119,0.033,31.956,19.7921,DWARF,0.001663841,0.0006870052,NaN,NaN,NaN,NaN,88,0.1818506,,,NaN
b'160236.2-191732',b'',0.400000005960464,b':',0.699999988079071,b'',b'M 3',b'',240.6508,-19.2922,240.6508,-19.2922,9741997,240.650993,-19.292325,-32.0174,-27.7586,15.273,STAR,2mass,0.79533171247687,20180610,,,,16023624-1917323,,J160236.22-191732.6,6247486676035237760,,,tmgaia,1.97628,1.97627,hsoy,NaN,NaN,,353.097827,24.437054,242.435953,1.382535,19.871,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.482,0.026,12.74,0.026,12.431,0.029,AAA-222-111-000-0-0,23.7,12.233,0.023,12.077,0.024,11.995,0.488,8.801,NaN,16.4926,0.00387568,0.018,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'161118.1-175728',b'',0.550000011920929,b'',-4.80000019073486,b'',b'M 4',b'',242.8254,-17.9578,242.8254,-17.9578,49165224,242.825541,-17.957976,-5.1156,-23.4261,12.206,STAR,2mass,0.796626508157461,20180610,,,361-075463,16111813-1757286,,J161118.12-175728.9,6249001837418800768,8835846,,tmgaia,2.23457,2.23458,hsoy,NaN,NaN,,355.703897,23.828416,244.209535,3.081334,16.907,0.074,15.506,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.347,0.026,9.615,0.023,9.33,0.019,AAA-222-111-000-0-0,13.6,9.148,0.023,8.951,0.021,8.81,0.031,8.214,NaN,13.4629,0.000693815,0.018,gaiaj,,2972,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.259654,NaN,0,NaN,,,NaN
b'160226.2-200241',b'',0.469999998807907,b'',-4.90000009536743,b'',b'M 5',b'',240.6092,-20.0447,240.6092,-20.0447,9741168,240.609033,-20.044543,-14.6953,-6.5101,13.831,STAR,2mass,0.799018622138517,20180610,,,350-078474,16022616-2002403,,J160226.15-200240.7,6247116140616521856,11464437,,tmgaia,1.97673,1.97628,hsoy,NaN,NaN,,352.472117,23.945498,242.543991,0.637066,18.143,NaN,16.887,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.928,0.026,11.252,0.025,10.986,0.026,AAA-222-111-000-0-0,38.1,10.765,0.022,10.523,0.02,10.435,0.101,8.487,NaN,15.1119,0.00163319,0.018,gaiaj,,3198,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.241977,NaN,0,NaN,,,NaN
b'160629.0-205216',b'',0.680000007152557,b'',-6.19999980926514,b'',b'M 5',b'',241.6208,-20.8711,241.6208,-20.8711,48763675,241.620771,-20.871323,NaN,NaN,12.821,STAR,2mass,0.80870499801443,20180610,,,346-078902,16062898-2052167,,J160628.97-205217.1,,11472962,,2mass,NaN,NaN,,NaN,NaN,,352.534124,22.688969,243.633133,0.007838,19.158,0.162,15.408,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.013,0.023,10.402,0.026,10.002,0.021,AAA-222-111-000-0-0,13.7,9.725,0.024,9.348,0.019,8.22,0.024,6.486,0.069,NaN,NaN,0.361,vjk,,3175,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.350704,NaN,0,NaN,,,NaN
b'160727.5-201834',b'',0.899999976158142,b':',-13,b'',b'M 5',b'',241.8646,-20.3094,241.8646,-20.3094,48794656,241.864766,-20.309566,NaN,NaN,14.824,STAR,2mass,0.819284955387321,20180610,,,,16072754-2018344,1237674653155853402,J160727.53-201834.8,,11475036,,2mass,NaN,NaN,,NaN,NaN,,353.147368,22.908378,243.751663,0.602558,NaN,NaN,NaN,NaN,23.4555,0.990485,19.7644,0.0170833,18.0527,0.00741563,15.7575,0.00405747,14.4117,0.00461842,12.512,0.03,11.819,0.026,11.441,0.023,AAA-222-111-000-0-0,7.3,11.154,0.022,10.913,0.021,10.816,0.122,8.985,NaN,NaN,NaN,0.188,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.316711,NaN,0,NaN,,,NaN
b'161014.7-191909',b'',0.449999988079071,b'',-2.09999990463257,b'',b'M 2',b'',242.5612,-19.3192,242.5612,-19.3192,49040478,242.561406,-19.319324,-12.5788,-24.7222,12.775,STAR,2mass,0.830090035331491,20180610,,,354-076361,16101473-1919095,1237674654766531388,J161014.73-191909.6,6245758896590430720,8834422,,tmgaia,1.98802,1.98801,hsoy,NaN,NaN,,354.420452,23.10049,244.212112,1.697175,17.353,-0.138,15.838,0.126,19.5515,0.0460253,16.452,0.00406759,14.8454,0.00374849,13.6681,0.000601962,12.6126,0.00395625,11.095,0.023,10.332,0.022,10.026,0.019,AAA-222-111-000-0-0,30.5,9.89,0.023,9.762,0.021,9.61,0.049,8.412,NaN,13.9325,0.000875107,0.017,gaiaj,kplnt,3540,NaN,4.14424,NaN,NaN,NaN,1.05,NaN,0.56,NaN,0.483749,NaN,GIANT,0.1559863,NaN,NaN,NaN,0.305034,NaN,93,0.03563267,,,NaN
b'160843.1-190051',b'',0.800000011920929,b':',-7.5,b'',b'M 5',b'',242.1796,-19.0142,242.1796,-19.0142,48914075,242.179565,-19.014435,-12.5722,-22.727,13.123,STAR,2mass,0.854345823501534,20180610,,,355-077239,16084309-1900519,1237674654766334654,J160843.08-190052.0,6248784683874964480,8832156,,tmgaia,1.98916,1.98838,hsoy,NaN,NaN,,354.399805,23.572383,243.801157,1.930259,17.358,NaN,16.231,0.229,20.2006,0.0676521,17.2143,0.00478828,15.5728,0.00429904,17.051,0.0160774,12.884,0.00376051,11.245,0.026,10.517,0.022,10.268,0.021,AAA-222-111-000-0-0,16.2,10.095,0.022,9.875,0.02,9.727,0.048,8.953,NaN,14.3905,0.00110561,0.018,gaiaj,,3188,159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.292695,NaN,0,NaN,,,NaN
b'160329.4-195503',b'',0.400000005960464,b'',-4.90000009536743,b'',b'M 5',b'',240.8725,-19.9175,240.8725,-19.9175,9847232,240.872534,-19.917736,-11.1519,-19.0791,13.843,STAR,2mass,0.857358273867935,20180610,,,351-078166,16032940-1955038,,J160329.39-195503.9,6247121019699673600,,,tmgaia,1.97629,1.97627,hsoy,NaN,NaN,,352.759658,23.854412,242.762267,0.809602,19.058,0.162,21.202,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.005,0.023,11.302,0.022,11.03,0.025,AAA-222-111-000-0-0,11.6,10.869,0.023,10.642,0.02,10.515,0.098,8.868,0.479,15.0884,0.00161172,0.017,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.258232,NaN,0,NaN,,,NaN
b'160704.7-201555',b'',0.610000014305115,b'',-4.19999980926514,b'',b'M 4',b'',241.7696,-20.2653,241.7696,-20.2653,48794602,241.769755,-20.265491,-10.7943,-25.8193,14.37,STAR,2mass,0.86417760260302,20180610,,,,16070474-2015557,1237674653155852871,J160704.73-201556.0,6244132203497930880,,,tmgaia,1.98802,1.98801,hsoy,NaN,NaN,,353.116012,23.003514,243.655847,0.629105,19.073,0.162,NaN,NaN,21.0668,0.117098,18.457,0.00808871,16.872,0.00470469,15.1302,0.00357249,14.1114,0.00424275,12.463,0.026,11.752,0.022,11.459,0.023,AAA-222-111-000-0-0,27.9,11.284,0.024,11.076,0.021,10.998,0.147,8.687,NaN,15.6521,0.00224153,0.018,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.297562,NaN,0,NaN,,,NaN
b'160435.6-194830',b'',0.629999995231628,b'',-7.19999980926514,b'',b'M 5',b'',241.1483,-19.8083,241.1483,-19.8083,9916892,241.148549,-19.808393,NaN,NaN,14.929,STAR,2mass,0.907385963779957,20180610,,,,16043565-1948302,1237674653155524712,J160435.64-194830.4,,,,2mass,NaN,NaN,,NaN,NaN,,353.041787,23.741679,242.995937,0.966944,20.686,0.162,NaN,NaN,21.2991,0.14982,18.5182,0.00844546,16.9702,0.00483055,14.9993,0.00387278,13.8698,0.00398269,12.148,0.025,11.479,0.025,11.169,0.026,AAA-222-111-000-0-0,8.4,10.936,0.021,10.696,0.018,10.593,0.115,8.131,NaN,NaN,NaN,0.219,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.2674,NaN,0,NaN,,,NaN
b'160343.3-201531',b'',0.490000009536743,b'',-3.5,b'',b'M 2',b'',240.9304,-20.2586,240.9304,-20.2586,9802416,240.930614,-20.258754,-11.5937,-21.493,12.263,STAR,2mass,0.910887297947987,20180610,,,349-077290,16034334-2015314,,J160343.33-201531.7,6247093944225055744,11467116,,tmgaia,2.14569,2.14568,hsoy,NaN,NaN,,352.53157,23.579347,242.881763,0.485578,16.26,0.069,14.804,0.149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.732,0.023,9.964,0.026,9.716,0.02,AAA-222-111-000-0-0,15.3,9.584,0.024,9.486,0.02,9.377,0.043,8.272,NaN,13.3348,0.000651896,0.017,gaiaj,,3355,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.27173,NaN,0,NaN,,,NaN
b'160245.4-193037',b'',0.509999990463257,b'',-1.10000002384186,b'',b'M 5',b'',240.6892,-19.5103,240.6892,-19.5103,9741755,240.689374,-19.510496,NaN,NaN,14.297,STAR,2mass,0.920044619637587,20180610,,,,16024544-1930377,,J160245.44-193038.1,,,,2mass,NaN,NaN,,NaN,NaN,,352.951916,24.260311,242.514,1.175603,19.436,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.129,0.023,11.449,0.025,11.141,0.025,AAA-222-111-000-0-0,18.8,10.944,0.023,10.681,0.02,10.547,0.097,8.815,NaN,NaN,NaN,0.178,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.262089,NaN,0,NaN,,,NaN
