#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Name, m_Name, H09, logg, Teff, Fbol, __Fe_H_, __a_Fe_, RV, ageMLP, M_MLP, SimbadName, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, string, float, float, float, float, float, float, float, float, string, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
Name,m_Name,H09,logg,Teff,Fbol,__Fe_H_,__a_Fe_,RV,ageMLP,M_MLP,SimbadName,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff_,e_Teff,logg_,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'HD 209635',b'',b'H09',4.40999984741211,6226,5.73580010154728E-08,-0.340000003576279,0.170000001788139,-13,0.400000005960464,1.11000001430511,b'HD 209635',331.972083333333,-70.2855555555555,318566416,331.972173,-70.285715,74.2061,11.3465,6.162,STAR,2mass,0.584237237584871,20180610,109245,9328-00020-1,099-097902,22075332-7017085,,J220753.49-701708.2,6395705069706197632,34513476,,tmgaia,0.0316217,0.0300095,tgas,33.302,0.285282,tgas,319.94725,-41.012417,299.801821,-53.192501,7.171,0.023,6.67,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.695,0.021,5.454,0.034,5.367,0.023,AAA-111-111-000-0-0,38.4,5.377,0.168,5.188,0.064,5.366,0.015,5.322,0.032,6.50436,0.000345996,0.018,gaiaj,tplx,6195.68,48.7732,NaN,NaN,NaN,NaN,1.14526,0.100883,1.16575,0.17035,0.776056,0.205082,DWARF,1.741241,0.3067628,30.02823,0.37329,0.0261477,NaN,35,0.0004365334,,,0.007977083
b'HD 4428',b'',b'H09',4.46000003814697,5798,9.60400026173147E-09,-0.159999996423721,0.0799999982118607,15.3999996185303,0.5,0.990000009536743,b'HD 4428',11.5329166666667,-44.1036111111111,80432178,11.532982,-44.103767,236.2,-32.9,8.042,STAR,2mass,0.586063312689172,20180610,3603,7538-00407-1,230-000802,00460791-4406135,,J004608.16-440613.8,,19688963,,2mass,2,2,sblink,15.8,1.16,hip,306.189644,-72.990905,348.345946,-44.078127,9.791,0.476,8.65,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.476,0.023,7.197,0.029,7.139,0.036,AAA-111-111-000-0-0,42.6,6.972,0.05,7.122,0.021,7.115,0.017,7.198,0.103,NaN,NaN,0.033,vjk,hplx,5790.3,30.45,4.49,0.07,-0.19,0.03,0.981272,0.143396,1.02876,0.123598,1.08879,0.477326,DWARF,0.9751643,0.2850069,63.29114,4.64669,0.00664142,NaN,13,4.309704E-05,,,0.006335821
b'HD 144869',b'',b'H09',4.30999994277954,6651,1.2320000131183E-08,-0.200000002980232,0.119999997317791,18,0.600000023841858,1.27999997138977,b'HD 144869',243.5075,-72.3272222222222,426427912,243.507603,-72.327382,-11.8142,-41.8637,7.945,STAR,2mass,0.586111249315417,20180610,79556,9281-00895-1,089-056077,16140182-7219385,,J161401.80-721938.9,5806595363842823552,34306048,,tmgaia,0.066885,0.0804994,tgas,11.05,0.228811,tgas,317.014625,-15.256932,257.836622,-50.00557,8.866,NaN,8.38,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.532,0.024,7.385,0.053,7.323,0.024,AAA-111-111-000-0-0,11.6,7.221,0.035,7.259,0.02,7.262,0.017,7.158,0.08,8.24508,0.000345996,0.018,gaiaj,tplx,6651,152,NaN,NaN,NaN,NaN,1.46835,0.152233,1.51067,0.357108,0.477178,0.148416,DWARF,3.801033,0.7881536,90.49773,3.09002,0.0904,NaN,156,0.007344618,,,0.003772263
b'HD 134331',b'A',b'H09',4.46000003814697,6009,4.16540011372035E-08,0.159999996423721,-0.0799999982118607,-4.40000009536743,0.100000001490116,1.0900000333786,b'HD 134331',227.673333333333,-43.7297222222222,160890430,227.673351,-43.729885,11.279,-98.8951,6.43,STAR,2mass,0.587799390910837,20180610,74268,7834-03135-1,232-081357,15104160-4343475,,J151041.57-434348.1,6003429213889816832,21089071,,tmgaia,0.0402622,0.0364932,tgas,31.8546,0.247797,tgas,327.906457,12.286397,237.545984,-24.942669,7.577,NaN,7.01,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.895,0.02,5.604,0.026,5.523,0.02,AAA-111-111-000-0-0,35.7,5.546,0.125,5.37,0.054,5.506,0.015,5.52,0.036,6.82434,0.000345996,0.017,gaiaj,tplx,5941.45,37.1899,4.38226,0.0576914,0.0615068,0.0280899,1.21919,0.10649,1.13775,0.155045,0.627816,0.16451,DWARF,1.668811,0.2915243,31.39264,0.383463,NaN,NaN,236,0.4327825,,,0.0005350882
b'HD 183101',b'A',b'H09',2.07999992370605,6558,1.85420001574954E-09,-0.379999995231628,-0.0299999993294477,20,0.200000002980232,1.55999994277954,b'HD 183101',291.665,32.3455555555556,395024750,291.665071,32.345708,27.4715,-12.3223,8.301,STAR,2mass,0.589755506897371,20180610,95599,2658-00998-1,612-073492,19263961+3220445,,J192639.62+322044.3,2045919113242535808,,,tmgaia,0.116467,0.132846,tgas,4.69194,0.225503,tgas,65.590951,7.403829,301.571622,53.436164,9.13,0.03,8.75,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.872,0.019,7.699,0.055,7.64,0.016,AAA-111-111-000-0-0,14.4,7.573,0.032,7.634,0.021,7.611,0.019,7.503,0.111,8.61377,0.000345996,0.017,gaiaj,tplx,6558,80,NaN,NaN,NaN,NaN,3.24138,0.398743,1.58211,0.37147,0.0464565,0.0171448,DWARF,17.50815,4.30758,213.1315,17.0481,NaN,NaN,348,0.2651856,,,0.0001022099
b'HD 102121',b'',b'H09',4.57000017166138,5353,9.31559984707064E-09,-0.379999995231628,0.109999999403954,19,0.899999976158142,0.819999992847443,b'HD 102121',176.380416666667,65.5408333333333,138588540,176.380548,65.540988,1.41409,76.4447,8.013,STAR,2mass,0.590210223523549,20180610,57350,4159-00071-1,778-027455,11453133+6532274,,J114531.34+653228.2,1056698981452854528,59332640,,tmgaia,0.0964847,0.101355,tgas,26.3011,0.218234,tgas,133.50726,50.212144,136.945862,55.562943,9.569,0.027,8.78,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.352,0.021,6.979,0.027,6.896,0.016,AAA-111-111-000-0-0,16,6.847,0.067,6.87,0.019,6.878,0.016,6.754,0.076,8.50237,0.000345996,0.017,gaiaj,tplx,5393.86,35.8763,NaN,NaN,NaN,NaN,0.757888,0.0666001,0.909617,0.113286,2.08951,0.550852,DWARF,0.4380296,0.0769845,38.02122,0.536294,0.0111722,NaN,20,0.0007295243,,,0.01076713
b'HD 224342',b'',b'H09',2.38000011444092,5495,1.10540000264336E-07,0.0900000035762787,0.209999993443489,-11.1999998092651,0.100000001490116,3.78999996185303,b'HD 224342',359.265,42.6580555555556,177561812,359.265059,42.658214,4.6,-2.2,5.483,STAR,2mass,0.591400822821358,20180610,118071,3241-02326-1,664-119967,23570361+4239295,,J235703.65+423929.7,,,,2mass,0.9,1,tycho2,2.26,0.73,hip,112.391799,-19.097897,19.533783,38.715931,6.714,0.02,6.01683,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.798,0.264,4.33,0.28,4.179,0.036,DDE-331-111-000-0-0,35.7,4.083,0.358,3.728,0.205,4.065,0.015,3.953,0.022,NaN,NaN,0.265,vjk,splin,5526.9,42.8574,1.8,0.16,-0.93,0.07,1.03748,1.03748,0.9715618,0.119769,0.87003,2.61009,GIANT,0.9048544,0.9048544,442.4779,142.924,0.0906432,NaN,56,0.0001998128,,,1
b'HD 68380',b'',b'H09',4.34000015258789,6547,1.76739991530894E-08,-0.159999996423721,0.0599999986588955,13.3000001907349,0.200000002980232,1.25,b'HD 68380',123.05625,2.28916666666667,453024567,123.056414,2.289181,-48.76,-15.97,7.533,STAR,2mass,0.592181216415516,20180610,40169,0199-00546-1,462-040194,08121353+0217210,,J081213.50+021721.1,3090769413803840128,36247170,,tmgaia,2,2,sblink,15.09,1.35,hip,220.329448,18.9798,124.798174,-17.246148,8.357,0.031,7.94,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.148,0.05,6.915,0.029,6.861,0.029,AAA-111-111-000-0-0,9.3,6.799,0.07,6.791,0.02,6.867,0.016,6.659,0.073,7.81165,0.000345996,0.027,gaiaj,hplx,6651.44,56.0517,NaN,NaN,NaN,NaN,1.24873,0.205966,1.28726,0.245926,0.66109,0.327121,DWARF,2.749758,0.9070923,66.26905,5.92864,0.0273391,NaN,54,0.002282866,,,0.004300637
b'HD 6735',b'A',b'H09',4.42000007629395,6060,4.20129993017326E-08,-0.159999996423721,0.0700000002980232,15.3000001907349,0.400000005960464,1.0900000333786,b'HD 6735',16.8833333333333,-41.7466666666667,183587877,16.883555,-41.746669,195.536,-63.438,6.488,STAR,2mass,0.595443940482291,20180610,5280,7537-00993-1,242-001142,01073204-4144479,,J010732.23-414448.8,4987736999629756800,19696270,,tmgaia,0.0228228,0.0206893,tgas,29.6132,0.350983,tgas,291.249583,-75.014447,354.714401,-44.19382,7.527,0.042,7.01,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.01,0.019,5.687,0.031,5.674,0.016,AAA-111-111-000-0-0,58.6,5.635,0.147,5.536,0.062,5.68,0.016,5.646,0.039,6.8384,0.000345996,0.017,gaiaj,tplx,6089.82,11.1894,4.49959,0.0171429,-0.0510526,0.00688247,1.12091,0.0984762,1.09991,0.137565,0.780989,0.205839,DWARF,1.556876,0.273555,33.76873,0.526516,0.0104261,NaN,19,0.002133456,,,0.007127258
b'HD 68788',b'',b'H09',4.55000019073486,5221,1.40339997400929E-08,-0.0399999991059303,-0.0500000007450581,-12,0.200000002980232,0.839999973773956,b'HD 68788',125.019583333333,73.415,312849443,125.019705,73.415162,-313.325,-486.93,7.55,STAR,2mass,0.5964499098498,20180610,40848,4380-00694-1,818-015918,08200472+7324544,,,1123374878390269312,60238954,,tmgaia,0.0697688,0.0756715,tgas,32.3147,0.226719,tgas,141.135245,32.197201,105.374656,51.843804,9.2,0.024,8.36,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.854,0.027,6.467,0.021,6.359,0.021,AAA-111-111-000-0-0,34.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.06543,0.000345996,0.019,gaiaj,tplx,5148.51,18.4315,4.5578,0.0296681,-0.0416098,0.0544776,0.869826,0.0753258,0.88546,0.1079,1.34546,0.349546,DWARF,0.4789451,0.08295204,30.94567,0.360103,0.0256412,NaN,23,0.004308454,,,0.009375927
b'HD 84078',b'',b'H09',4.32000017166138,6767,7.95600030301102E-09,-0.230000004172325,0.0299999993294477,27.8999996185303,0.5,1.29999995231628,b'HD 84078',145.674166666667,1.79611111111111,453057297,145.674326,1.796157,-53.6658,16.4704,8.409,STAR,2mass,0.596644593721664,20180610,47628,0236-00727-1,459-045991,09424183+0147461,,J094241.80+014746.2,3846589615288880000,36795209,,tmgaia,0.0672924,0.0420777,tgas,6.52734,0.321006,tgas,233.959603,38.232852,147.316951,-11.270283,9.191,0.036,8.8,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.019,0.02,7.841,0.029,7.791,0.027,AAA-111-111-000-0-0,52.9,7.745,0.028,7.776,0.019,7.769,0.021,7.594,0.171,8.69031,0.000345996,0.017,gaiaj,tplx,6695.96,56.7484,NaN,NaN,NaN,NaN,1.93094,0.237699,1.48191,0.348354,0.205833,0.0760143,DWARF,6.752797,1.662541,153.2018,10.3123,0.0774881,NaN,18,3.909361E-05,,,0.001657853
b'HD 9578',b'',b'H09',4.40999984741211,6082,1.43600002999733E-08,0.0199999995529652,-0.0199999995529652,-3.90000009536743,0.899999976158142,1.12999999523163,b'HD 9578',23.32125,-38.245,41977370,23.32145,-38.245053,-31.2771,-38.1979,7.656,STAR,2mass,0.596789270377993,20180610,7240,7541-00066-1,259-001427,01331715-3814421,,J013317.11-381442.4,5008967778888058112,17476254,,tmgaia,0.0660047,0.0593287,tgas,17.7452,0.233441,tgas,267.273013,-75.839968,3.097608,-43.758654,8.771,0.039,8.19,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.156,0.027,6.891,0.055,6.798,0.024,AAA-111-111-000-0-0,49.8,6.769,0.073,6.762,0.022,6.79,0.016,6.718,0.071,8.0236,0.000345996,0.019,gaiaj,tplx,6070.77,18.9019,4.52962,0.0196116,0.158077,0.00980581,1.10161,0.0975932,1.09127,0.134346,0.816298,0.216951,DWARF,1.484997,0.263116,56.35327,1.20716,0.0150286,NaN,18,0.0007939821,,,0.005916274
b'HD 205390',b'',b'H09',4.6100001335144,5038,4.54610002975642E-08,-0.239999994635582,-0.0299999993294477,27,0.300000011920929,0.779999971389771,b'HD 205390',324.171666666667,-50.8452777777778,139770629,324.171846,-50.845399,423.569,-199.508,6.26621,STAR,2mass,0.59717421143019,20180610,106696,8436-00504-1,196-195714,21364123-5050433,,,6465749492314135936,25150124,,tmgaia,0.0380198,0.0355524,tgas,67.6886,0.270878,tgas,346.415327,-46.433143,308.328638,-34.363233,7.994,NaN,7.14,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.518,0.035,5.137,0.053,4.97,0.021,AAA-111-111-000-0-0,17.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.82054,0.000345996,0.0210431,gaiaj,tplx,5033.45,27.4179,4.62,0.06,-0.17,0.03,0.779885,0.0676388,0.836916,0.0989858,1.76437,0.459068,DWARF,0.3517377,0.06101185,NaN,NaN,0.0271321,NaN,27,0.0002547661,,,0.01162363
b'HD 53927',b'',b'H09',4.65000009536743,4949,1.58720006027124E-08,-0.239999994635582,-0.0299999993294477,19.3999996185303,0.100000001490116,0.759999990463257,b'HD 53927',107.0175,29.8344444444444,87752739,107.017684,29.83449,-156.514,-294.001,7.41408,STAR,2mass,0.597555274944892,20180610,34414,1908-00027-1,600-039955,07080426+2950047,,,884951485622781312,47233144,,tmgaia,0.0858554,0.0500206,tgas,43.4143,0.248899,tgas,187.35573,16.429237,104.82896,7.267053,9.256,0.025,8.32,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.645,0.021,6.137,0.017,6.057,0.026,AAA-111-111-000-0-0,13.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.98358,0.000345996,0.0174083,gaiaj,tplx,4898,25,4.56,0.028,-0.26,0.1,0.834515,0.0728456,0.793049,0.093397,1.36458,0.357345,DWARF,0.3611088,0.06304307,NaN,NaN,0.0807573,NaN,87,0.004640948,,,0.007871737
b'HD 14738',b'',b'H09',3.63000011444092,6844,1.63300004629718E-08,0.709999978542328,-0.180000007152557,-11,0.899999976158142,2.07999992370605,b'HD 14738',35.8,26.6822222222222,21099559,35.80018,26.682266,-12.9681,-20.6067,7.701,STAR,2mass,0.600060671710513,20180610,11126,1774-00865-1,584-005462,02231204+2640562,,J022312.03+264055.9,106539653074520320,47433343,,tmgaia,0.061128,0.0410517,tgas,5.47261,0.252278,tgas,147.134492,-31.840952,42.245374,11.775823,8.69,0.027,8.18,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.24,0.029,7.083,0.024,7.011,0.029,AAA-111-111-000-0-0,36.3,6.944,0.056,7.006,0.02,7.027,0.017,7.142,0.084,8.03905,0.000345996,0.02,gaiaj,tplx,6844,169,NaN,NaN,NaN,NaN,3.07595,0.393997,1.42911,0.327353,0.0491052,0.0188696,DWARF,18.70222,4.791118,182.7282,13.0879,0.0947344,NaN,32,0.0006309861,,,0.001047373
b'HD 171455',b'',b'H09',4.26999998092651,7058,1.3682000421511E-08,-0.0599999986588955,0.129999995231628,-19.5,0.5,1.48000001907349,b'HD 171455',279.40625,-50.1463888888889,200171120,279.406228,-50.146555,-23.7091,-39.714,7.914,STAR,2mass,0.600149913797851,20180610,91324,8368-01515-1,200-177499,18373749-5008475,,J183737.48-500847.9,6655741665620820864,,,tmgaia,0.073584,0.0476958,tgas,9.58144,0.291797,tgas,345.319198,-18.403031,276.745991,-26.927303,8.744,0.028,8.3,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.545,0.02,7.348,0.02,7.336,0.026,AAA-111-111-000-0-0,18.9,7.228,0.039,7.257,0.02,7.291,0.018,7.151,0.102,8.17886,0.000345996,0.017,gaiaj,tplx,7058,137,NaN,NaN,NaN,NaN,1.52786,0.165184,1.38716,0.306267,0.388934,0.126148,DWARF,5.219014,1.128503,104.3684,4.55867,0.0808352,NaN,141,0.00814232,,,0.00298763
b'HD 144766',b'',b'H09',4.42000007629395,6038,4.14920009461639E-08,-0.189999997615814,0.0799999982118607,-18.1000003814697,0.899999976158142,1.07000005245209,b'HD 144766',242.029583333333,-18.2430555555556,48870025,242.029725,-18.243154,17.1513,-129.437,6.472,STAR,2mass,0.600174609320332,20180610,79048,6205-01510-1,359-075108,16080713-1814352,,J160807.11-181436.5,6248975208623596928,8831220,,tmgaia,0.0457134,0.0299865,tgas,30.1485,0.483241,tgas,354.916857,24.198104,243.51777,2.661597,7.579,0.025,7.02,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.969,0.018,5.727,0.026,5.621,0.015,AAA-111-111-000-0-0,10.3,5.686,0.119,5.514,0.044,5.662,0.016,5.59,0.045,6.84282,0.000345996,0.017,gaiaj,tplx,6016.75,42.2522,NaN,NaN,NaN,NaN,1.38972,0.126521,1.37546,0.299777,0.512467,0.139966,DWARF,2.280327,0.4152049,33.16915,0.625778,0.257622,NaN,85,0.009619664,,,NaN
b'HD 40891',b'',b'H09',4.53999996185303,5138,1.39539997334737E-08,-0.0500000007450581,-0.0399999991059303,13,0.100000001490116,0.819999992847443,b'HD 40891',91.6025,63.835,71042486,91.602787,63.835109,-5.60271,-319.088,7.543,STAR,2mass,0.601286955447713,20180610,28935,4103-01550-1,770-032178,06062466+6350066,,,1008123897768391040,59193581,,tmgaia,0.0410334,0.0402437,tgas,27.8076,0.363488,tgas,150.228067,19.429775,90.928,40.40098,9.25,0.024,8.4,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.811,0.018,6.393,0.015,6.307,0.021,AAA-111-111-000-0-0,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.08618,0.000345996,0.017,gaiaj,tplx,5028.3,28.4808,4.49,0.2,0.03,0.13,1.20414,0.107879,0.929962,0.117631,0.532641,0.143158,DWARF,0.8350902,0.1496316,35.96139,0.609495,0.157148,NaN,73,0.001202679,,,0.0051139
b'HD 67816',b'',b'H09',4.38000011444092,6134,2.36089992000643E-08,-0.0199999995529652,0,-27.2000007629395,0.800000011920929,1.12999999523163,b'HD 67816',122.261666666667,-20.4994444444444,11073951,122.261692,-20.49961,8.58888,-97.1437,7.094,STAR,2mass,0.602090849316295,20180610,39908,6004-00474-1,348-046418,08090280-2029585,,J080902.81-202959.7,5713387117456906112,10778462,,tmgaia,0.0461221,0.0427211,tgas,21.3742,0.309145,tgas,240.106864,6.733049,130.403482,-39.521698,8.174,0.027,7.62,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.601,0.021,6.384,0.034,6.282,0.023,AAA-111-111-000-0-0,14.1,6.236,0.041,6.162,0.022,6.309,0.016,6.16,0.05,7.4565,0.000345996,0.018,gaiaj,tplx,6191.58,50.4309,NaN,NaN,NaN,NaN,1.44217,0.130634,1.48347,0.348874,0.494572,0.134397,DWARF,2.753808,0.4988883,46.78538,0.94292,NaN,NaN,161,0.003899581,,,0.0004265951
b'HD 113513',b'',b'H09',4.48000001907349,5650,8.62810001223124E-09,-0.0599999986588955,0.0399999991059303,6.5,0.300000011920929,0.980000019073486,b'HD 113513',196.710833333333,-77.8702777777778,393878576,196.710864,-77.870445,-117.94,8.21311,8.113,STAR,2mass,0.6024467896989,20180610,63995,9417-01321-1,061-014482,13065060-7752136,,J130650.24-775213.4,5788134666691570816,34820499,,tmgaia,0.0443861,0.0457566,tgas,16.307,0.312184,tgas,303.769224,-15.023748,245.632966,-60.805145,9.465,0.031,8.77,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.535,0.026,7.222,0.034,7.119,0.027,AAA-111-111-000-0-0,16.8,7.064,0.04,7.098,0.019,7.087,0.016,7.026,0.067,8.54017,0.000345996,0.019,gaiaj,tplx,5715.01,35.2488,4.54,0.13,0.17,0.06,1.25767,0.116607,1.12518,0.148762,0.565616,0.157326,DWARF,1.520184,0.2818928,61.32336,1.62819,1.2294,NaN,89,0.001920031,,,0.005268549
b'HD 49383',b'',b'H09',2.49000000953674,6257,9.18570020047582E-09,0.109999999403954,-0.0700000002980232,34.5,0.100000001490116,3.78999996185303,b'HD 49383',102.185416666667,12.5636111111111,445947107,102.185588,12.563601,8.12829,-17.192,8.11,STAR,2mass,0.603130207010038,20180610,32660,0755-00691-1,513-031905,06484454+1233489,,J064844.54+123348.8,3351752002027289856,41577314,,tmgaia,0.0732871,0.0435408,tgas,5.27332,0.273366,tgas,201.417223,5.104368,102.08971,-10.365745,9.109,0.032,8.62,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.619,0.019,7.411,0.034,7.374,0.018,AAA-111-111-000-0-0,12.8,7.318,0.035,7.341,0.02,7.352,0.018,7.258,0.121,8.47162,0.000345996,0.017,gaiaj,tplx,6257,80,NaN,NaN,NaN,NaN,3.40223,0.435723,1.47172,0.344811,0.037371,0.0143583,DWARF,15.98404,4.094148,189.6339,14.5954,NaN,NaN,187,0.009354967,,,7.875156E-05
b'HD 69444',b'',b'H09',2.82999992370605,5662,4.37050005075434E-08,0.46000000834465,-0.0700000002980232,5.59999990463257,0.400000005960464,3.78999996185303,b'HD 69444',123.995833333333,-30.1844444444444,146629579,123.996002,-30.184527,0.495478,-7.534,6.341,STAR,2mass,0.603172213925176,20180610,40486,7122-00848-1,300-041987,08155904-3011042,,J081559.05-301104.5,5644493711720089600,15644082,,tmgaia,0.0210208,0.0317475,tgas,2.62628,0.328056,tgas,249.109388,2.759627,136.570418,-48.276875,7.705,0.021,7.01,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.746,0.018,5.408,0.031,5.33,0.018,AAA-111-111-000-0-0,13.1,5.203,0.191,5.12,0.077,5.293,0.016,5.252,0.036,6.78089,0.000345996,0.017,gaiaj,tplx,5662,117,NaN,NaN,NaN,NaN,16.5511,3.99875,1.0344,0.123683,0.779939,2.33982,GIANT,1.096846,1.096846,380.7671,42.2812,NaN,NaN,0,NaN,,,NaN
b'HD 70889',b'',b'H09',4.42999982833862,6058,3.86069984870119E-08,0.0700000002980232,-0.0399999991059303,13,0.100000001490116,1.0900000333786,b'HD 70889',125.8825,-27.8222222222222,271677262,125.882489,-27.82239,-128.937,-35.179,6.539,STAR,2mass,0.60501450854189,20180610,41134,6577-00442-1,311-045920,08233178-2749206,,J082331.71-274920.8,5693255506224455168,12672026,,tmgaia,0.0183086,0.0226472,tgas,29.313,0.331299,tgas,248.081326,5.452168,137.694238,-45.49988,7.648,NaN,7.09,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.03,0.023,5.826,0.046,5.711,0.023,AAA-111-111-000-0-0,15.3,5.672,0.145,5.573,0.054,5.728,0.016,5.624,0.034,6.91356,0.000345996,0.018,gaiaj,tplx,6014.7,6.9343,4.46624,0.0159911,0.110396,0.00597022,1.57307,0.137762,1.58908,0.372392,0.408227,0.107252,DWARF,2.917741,0.5110437,34.11456,0.520155,NaN,NaN,196,0.004252462,,,0.0004310673
b'HD 78977',b'A',b'H09',4.53000020980835,5176,4.06260003416037E-09,0.119999997317791,-0.0299999993294477,5.5,0.699999988079071,0.879999995231628,b'HD 78977',136.998333333333,-64.0338888888889,357297058,136.998523,-64.034035,-51.0447,24.1377,8.749,STAR,2mass,0.605021230842189,20180610,44817,8935-00699-1,130-018879,09075964-6402025,,J090759.51-640202.4,5296896201660361856,,,tmgaia,0.201869,0.213609,tgas,16.3293,0.239937,tgas,281.265342,-11.026922,194.640914,-70.6734,10.29,0.043,9.49,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.097,0.03,7.704,0.061,7.647,0.023,AAA-111-111-000-0-0,10.6,7.67,0.109,7.816,0.087,7.717,0.066,7.538,0.101,9.23255,0.000345996,0.02,gaiaj,tplx,5176,161,NaN,NaN,NaN,NaN,0.971252,0.115107,0.913163,0.114068,0.996673,0.354359,DWARF,0.6100081,0.1445891,61.23961,1.44067,NaN,NaN,193,0.7278627,,,0.0006421621
