#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Name, m_Name, H09, logg, Teff, Fbol, __Fe_H_, __a_Fe_, RV, ageMLP, M_MLP, SimbadName, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, string, float, float, float, float, float, float, float, float, string, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
Name,m_Name,H09,logg,Teff,Fbol,__Fe_H_,__a_Fe_,RV,ageMLP,M_MLP,SimbadName,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff_,e_Teff,logg_,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'HD 193664',b'',b'H09',4.46999979019165,6002,1.14590001487613E-07,-0.159999996423721,0.0900000035762787,-4.69999980926514,0.100000001490116,1.03999996185303,b'HD 193664',304.380416666667,66.8536111111111,403585118,304.3804,66.853637,469,297,5.438,STAR,2mass,0.0961378545353541,20180610,100017,4245-01794-1,785-032295,20173128+6651130,,,,,,2mass,8,8,sblink,56.92,0.52,hip,100.461181,16.914481,17.059629,76.574368,6.505,0.021,5.92922,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.879,0.037,4.69,0.036,4.451,0.029,EEA-111-111-0dd-0-0,11.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.044,vjk,hplx,5934.55,12.6592,4.48746,0.0179605,-0.105866,0.0121256,1.67119,0.140732,1.77601,0.385567,0.380512,0.0961294,DWARF,3.121027,0.5256475,17.56852,0.160499,0.529836,NaN,72,0.003644436,,,1
b'HD 215249',b'',b'H09',4.32000017166138,6742,1.22130003887833E-08,-0.170000001788139,0.0700000002980232,NaN,0.100000001490116,1.30999994277954,b'HD 215249',341.43625,-68.2538888888889,238852296,341.436325,-68.253898,13.0102,22.9143,7.924,STAR,2mass,0.105273617129195,20180610,112387,9337-01030-1,109-124579,22454471-6815140,,J224544.75-681513.7,6385695115847269248,,,tmgaia,0.0603631,0.0583369,tgas,9.68841,0.25323,tgas,318.734554,-44.822282,306.325092,-53.636478,8.718,0.026,8.33,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.524,0.018,7.373,0.034,7.324,0.027,AAA-111-111-000-0-0,48.9,7.234,0.038,7.29,0.019,7.303,0.018,7.254,0.122,8.21475,0.000345996,0.017,gaiaj,tplx,6689.71,54.3868,NaN,NaN,NaN,NaN,1.54128,0.15163,1.40827,0.317358,0.384628,0.113518,DWARF,4.286344,0.8433747,103.2161,4.18246,0.0249351,NaN,33,0.0004671387,,,0.003760503
b'HD 18809',b'',b'H09',4.51999998092651,5780,1.20069998388317E-08,-0.189999997615814,0.0900000035762787,12.1000003814697,0.200000002980232,0.990000009536743,b'HD 18809',45.0820833333333,-37.4544444444444,152361083,45.082108,-37.45447,14.9446,27.3396,7.831,STAR,2mass,0.115901786487722,20180610,14007,7025-00638-1,263-002993,03001970-3727160,,J030019.73-372715.8,5045853095465091200,17505599,,tmgaia,0.0461802,0.0448664,tgas,19.8224,0.279843,tgas,241.970636,-61.043677,26.037952,-51.402902,9.133,0.025,8.48,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.25,0.019,6.931,0.038,6.88,0.023,AAA-111-111-000-0-0,46.2,6.841,0.065,6.84,0.02,6.837,0.016,6.773,0.057,8.26091,0.000345996,0.017,gaiaj,tplx,5705.6,39.8777,NaN,NaN,NaN,NaN,1.00941,0.0909805,1.00937,0.124006,0.981403,0.265369,DWARF,0.9728261,0.1753662,50.44798,1.04411,0.0193148,NaN,18,0.0006266039,,,0.006950415
b'HD 133469',b'',b'H09',4.32000017166138,6439,6.60229986237937E-08,0.0199999995529652,-0.0199999995529652,2.90000009536743,0.899999976158142,1.26999998092651,b'HD 133469',226.39125,-30.5508333333333,75866530,226.391246,-30.5508,9.92618,84.6093,6.024,STAR,2mass,0.120639065419895,20180610,73850,7311-00989-1,298-082061,15053389-3033030,,J150533.91-303302.3,6211697366392968704,16468485,,tmgaia,0.0334752,0.0228595,tgas,28.6347,0.433061,tgas,334.319815,24.023442,232.507021,-12.610602,6.941,0.024,6.48,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.597,0.019,5.405,0.036,5.319,0.017,AAA-111-111-000-0-0,13.8,5.317,0.161,5.135,0.07,5.342,0.015,5.249,0.038,6.33453,0.000345996,0.017,gaiaj,tplx,6415.34,49.2185,NaN,NaN,NaN,NaN,1.55084,0.140665,1.50612,0.355853,0.403793,0.109875,DWARF,3.670349,0.6658194,34.92266,0.642509,0.17721,NaN,88,0.003954375,,,0.003888322
b'HD 23148',b'',b'H09',4.32999992370605,6427,5.05189987620724E-08,0.0299999993294477,-0.0299999993294477,8.89999961853027,0.5,1.25,b'HD 23148',55.4966666666667,-24.6522222222222,89115385,55.496645,-24.652253,163.209,-31.8948,6.31,STAR,2mass,0.13153761149253,20180610,17276,6447-01226-1,327-003897,03415918-2439080,,J034159.31-243908.4,5085349580359345664,10182760,,tmgaia,0.0215705,0.027235,tgas,24.0038,0.448473,tgas,219.083292,-51.743593,45.35586,-42.892009,7.26,0.023,6.77,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.873,0.023,5.687,0.018,5.607,0.023,AAA-111-111-000-0-0,23.4,5.582,0.173,5.466,0.061,5.627,0.015,5.551,0.034,6.62994,0.000345996,0.018,gaiaj,tplx,6488.53,55.2522,NaN,NaN,NaN,NaN,1.34853,0.125492,1.25438,0.224895,0.511502,0.142799,DWARF,2.904031,0.5404887,41.66007,0.936444,0.0167644,NaN,21,0.005154353,,,0.005443719
b'HD 113720',b'',b'H09',4.51999998092651,5731,1.24549996982637E-08,-0.189999997615814,0.119999997317791,-13.6000003814697,0.200000002980232,0.980000019073486,b'HD 113720',196.4425,-18.8258333333333,428714646,196.442539,-18.825833,-105.94,-13.19,7.734,STAR,2mass,0.132894560275838,20180610,63905,6115-01354-1,356-066131,13054622-1849329,,J130546.13-184933.1,3510647753115970688,8604182,,tmgaia,2,2,sblink,21.98,1.13,hip,307.641973,43.914805,202.399847,-10.923346,9.067,0.026,8.37,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.172,0.021,6.835,0.04,6.781,0.017,AAA-111-111-000-0-0,40.2,6.726,0.063,6.733,0.02,6.781,0.015,6.736,0.066,8.15007,0.000345996,0.018,gaiaj,hplx,5797.61,43.473,NaN,NaN,NaN,NaN,0.883527,0.102621,1.00157,0.124318,1.45218,0.50601,DWARF,0.7945667,0.1845766,45.49591,2.33896,0.0806254,NaN,23,0.0002163242,,,0.006721475
b'HD 45347',b'AB',b'H09',3.6800000667572,7103,1.49330006138371E-08,0.670000016689301,-0.180000007152557,NaN,0.800000011920929,2.17000007629395,b'HD 45347',96.0304166666667,-50.5297222222222,255558311,96.030396,-50.529757,-1.8644,31.3147,7.606,STAR,2mass,0.133834979371208,20180610,30456,8111-00095-1,198-008462,06240729-5031471,,J062407.28-503146.7,5549477249743082496,,,tmgaia,0.0364065,0.0398292,tgas,5.51146,0.679164,tgas,258.886813,-24.788541,103.749287,-73.681254,8.398,0.027,7.85,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.161,0.02,7.019,0.038,6.971,0.016,AAA-111-111-000-0-0,13.7,6.911,0.06,6.937,0.02,6.97,0.016,6.924,0.066,7.93124,0.000345996,0.017,gaiaj,tplx,7103,112,NaN,NaN,NaN,NaN,3.15812,0.747112,1.60304,0.374081,0.050893,0.0361191,DWARF,22.8728,10.82197,181.4401,24.4425,0.0857352,NaN,55,0.002709853,,,0.002230156
b'HD 183028',b'',b'H09',4.30000019073486,6570,7.91379974884876E-08,-0.0900000035762787,0.0199999995529652,8.69999980926514,0.600000023841858,1.26999998092651,b'HD 183028',292.644166666667,-55.11,319869555,292.644206,-55.110032,38.6334,-12.1725,5.864,STAR,2mass,0.140823717741889,20180610,95932,8765-00314-1,175-211089,19303460-5506361,,J193034.65-550636.4,6640466184934384128,,,tmgaia,0.0258589,0.023469,tgas,28.2108,0.578473,tgas,342.3544,-27.421786,285.198911,-32.85921,6.713,0.024,6.29,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.454,0.02,5.286,0.034,5.168,0.024,AAA-111-111-d00-0-0,16.2,5.204,0.171,4.995,0.075,5.196,0.015,5.14,0.04,6.16173,0.000345996,0.017,gaiaj,tplx,6511.71,58.7635,NaN,NaN,NaN,NaN,1.47773,0.139569,1.35389,0.287263,0.419564,0.118881,DWARF,3.537245,0.6681731,35.44742,0.818795,0.0446733,NaN,85,0.002084696,,,1
b'HD 211918',b'',b'H09',4.44999980926514,5643,7.0483001657351E-09,0.0199999995529652,0.0500000007450581,37.7000007629395,0.899999976158142,0.980000019073486,b'HD 211918',335.565416666667,-60.5077777777778,234283843,335.565494,-60.507787,-88.0566,-169.547,8.332,STAR,2mass,0.141021565512134,20180610,110442,9117-01507-1,148-234624,22221571-6030280,,J222215.58-603029.9,6407726786246869632,31766503,,tmgaia,0.07608,0.088605,tgas,15.7377,0.245663,tgas,329.516165,-48.198611,310.057352,-45.856062,9.696,0.029,9.01,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.736,0.023,7.429,0.031,7.353,0.031,AAA-111-111-000-0-0,22.9,7.238,0.037,7.343,0.02,7.328,0.018,7.279,0.093,8.77409,0.000345996,0.018,gaiaj,tplx,5681.88,38.0073,NaN,NaN,NaN,NaN,1.01633,0.0922857,0.996062,0.124455,0.948816,0.258466,DWARF,0.9699122,0.1761417,63.54169,1.56556,0.026085,NaN,17,0.001621775,,,0.005553884
b'HD 115778',b'A',b'H09',3.35999989509583,6892,9.79069980644454E-08,-0.0599999986588955,-0.159999996423721,-10,0.899999976158142,2.25,b'HD 115778',200.145833333333,-59.7727777777778,256597468,200.145888,-59.772807,-31.3,-10.4,5.806,STAR,2mass,0.144509211650973,20180610,65108,8674-01227-1,152-116004,13203501-5946221,,J132034.97-594622.1,,28557760,,2mass,1.2,1.2,tycho2,8.31,0.68,hip,306.5974,2.891353,226.770105,-46.366459,6.597,0.022,6.2,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.399,0.024,5.266,0.036,5.166,0.024,AAA-111-111-000-0-0,13.4,4.96,0.137,4.888,0.058,5.166,0.014,5.116,0.03,NaN,NaN,0.033,vjk,hplx,6892,127,NaN,NaN,NaN,NaN,6.4154,0.931239,1.79999,0.386579,0.00681709,0.00296864,DWARF,83.66104,24.28794,120.3369,9.84707,NaN,NaN,725,0.02579706,,,1
