#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Name, SpT, __3_6_, __4_5_, __5_8_, __8_0_, __24_, W1mag, W2mag, W3mag, W4mag, E4_5, E8_0, E24, EW2, EW3, EW4, WISE, _2M, Simbad, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, float, float, float, float, float, float, float, float, float, string, string, string, string, string, string, string, string, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
Name,SpT,__3_6_,__4_5_,__5_8_,__8_0_,__24_,W1mag,W2mag,W3mag,W4mag,E4_5,E8_0,E24,EW2,EW3,EW4,WISE,_2M,Simbad,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag_,e_w1mag,w2mag_,e_w2mag,w3mag_,e_w3mag,w4mag_,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'2MASS J16080432-1947126',b'M4',NaN,10.5299997329712,NaN,10.4300003051758,10.6800003051758,10.4399995803833,10.5500001907349,10.3000001907349,NaN,b'N',b'N',b'N',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',242.018,-19.78683,242.018,-19.78683,48871608,242.018,-19.786836,-4.51001,-4.73713,12.876,STAR,2mass,0.0215999999968461,20180610,,,352-077051,16080432-1947126,,J160804.31-194712.6,6244219649033064064,8831152,,tmgaia,1.98801,1.988,hsoy,NaN,NaN,,353.66924,23.160003,243.795257,1.142991,16.167,0.044,14.639,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.619,0.026,10.793,0.025,10.571,0.023,AAA-222-111-000-0-0,25.7,10.435,0.023,10.544,0.02,10.355,0.08,8.782,NaN,13.7789,0.000810511,0.018,gaiaj,,3669,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.281898,NaN,0,NaN,,,NaN
b'2MASS J16114530-2254329',b'M5.5',NaN,NaN,NaN,NaN,NaN,11.6199998855591,11.3599996566772,11.289999961853,NaN,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',242.93875,-22.90914,242.93875,-22.90914,49197712,242.938754,-22.909145,NaN,NaN,14.998,STAR,2mass,0.0223593012938856,20180610,,,,16114530-2254329,,J161145.29-225433.2,,,,2mass,NaN,NaN,,NaN,NaN,,351.844994,20.40045,245.21225,-1.768471,20.135,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.821,0.023,12.22,0.023,11.814,0.024,AAA-222-111-000-0-0,33,11.645,0.023,11.337,0.021,11.316,0.182,8.88,NaN,NaN,NaN,0.179,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.222354,NaN,0,NaN,,,NaN
b'2MASS J16184074-2209482',b'M6',NaN,NaN,NaN,NaN,NaN,12.539999961853,12.2299995422363,NaN,NaN,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',244.66975,-22.16339,244.66975,-22.16339,49861130,244.669752,-22.163396,-18.8782,-28.6636,16.149,STAR,2mass,0.0226058021492644,20180610,,,,16184074-2209482,,J161840.73-220948.4,6050583969069510272,,,tmgaia,3.49709,3.48142,hsoy,NaN,NaN,,353.58188,19.729146,246.655583,-0.753524,21.479,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.793,0.024,13.139,0.022,12.82,0.03,AAA-222-111-000-0-0,11.7,12.529,0.024,12.189,0.024,11.612,NaN,8.879,NaN,17.653,0.00929159,0.019,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'2MASS J16151361-2304261',b'M6.5',NaN,NaN,NaN,NaN,NaN,13.4700002670288,12.8199996948242,11.4099998474121,NaN,b'',b'',b'',b'Y',b'Y',b'',b'WISE',b'2M',b'Simbad',243.80671,-23.07392,243.80671,-23.07392,49583738,243.806709,-23.073927,-13.5167,-29.6263,17.22,STAR,2mass,0.0254167138451738,20180610,,,,16151361-2304261,,J161513.60-230426.4,6050429041009136512,,,tmgaia,3.29019,3.28964,hsoy,NaN,NaN,,352.296972,19.703817,246.028227,-1.788097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.814,0.042,14.193,0.032,13.915,0.055,AAA-222-111-000-0-0,18.1,13.483,0.026,12.869,0.027,11.593,0.229,8.785,NaN,18.7466,0.0233491,0.032,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'2MASS J15594970-2301576',b'M5.5',NaN,NaN,NaN,NaN,NaN,11.6199998855591,11.3699998855591,11.1300001144409,NaN,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',239.95708,-23.03267,239.95708,-23.03267,12664306,239.957087,-23.032667,NaN,NaN,14.691,STAR,2mass,0.0255825589471606,20180610,,,,15594970-2301576,,J155949.69-230157.8,,,,2mass,NaN,NaN,,NaN,NaN,,349.694067,22.281432,242.538899,-2.411948,19.373,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.78,0.026,12.088,0.022,11.809,0.021,AAA-222-111-000-0-0,17.4,11.638,0.025,11.386,0.022,11.006,0.151,8.25,NaN,NaN,NaN,0.164,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.181646,NaN,0,NaN,,,NaN
b'2MASS J15582981-2310077',b'M3',NaN,10.0299997329712,NaN,9.14999961853027,6.15999984741211,10.7700004577637,10.1599998474121,8.19999980926514,6.23000001907349,b'Y',b'Y',b'Y',b'Y',b'Y',b'Y',b'WISE',b'2M',b'Simbad',239.62421,-23.16881,239.62421,-23.16881,12658689,239.624216,-23.168815,-13.8565,-25.4015,14.15,STAR,2mass,0.0268018331081514,20180610,,,,15582981-2310077,,J155829.80-231007.9,6237174390839720320,11455152,,tmgaia,2.06622,2.0662,hsoy,NaN,NaN,,349.355152,22.399818,242.26594,-2.606675,16.728,-0.068,15.938,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.297,0.026,11.67,0.023,11.3,0.021,AAA-222-111-000-0-0,26.9,10.759,0.024,10.145,0.021,8.223,0.024,6.176,0.059,15.4038,0.001932,0.018,gaiaj,,3435,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.160348,NaN,0,NaN,,,NaN
b'2MASS J15564785-2311026',b'A0V',NaN,7.13000011444092,NaN,7.19999980926514,6.86999988555908,7.11999988555908,7.13000011444092,7.09000015258789,6.86999988555908,b'N',b'N',b'Y',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',239.19937,-23.18406,239.19937,-23.18406,12566318,239.199377,-23.184064,-12.6028,-24.2203,7.522,STAR,2mass,0.0272759214113402,20180610,78099,6779-00760-1,335-080563,15564785-2311026,,J155647.84-231102.9,6237347495198940672,11451561,,tmgaia,0.0578739,0.0239621,tgas,6.56627,0.310166,tgas,349.041448,22.662124,241.886171,-2.700746,7.849,NaN,7.74,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.253,0.032,7.278,0.033,7.183,0.023,AAA-111-111-000-0-0,11.6,7.123,0.048,7.13,0.019,7.118,0.017,6.829,0.097,7.70792,0.000345996,0.021,gaiaj,tplx,8912,233,4.13315,0.322844,NaN,NaN,2.12973,0.283818,2.24581,0.409144,0.232487,0.0929471,DWARF,25.77772,6.870524,152.2934,10.0082,0.167577,NaN,90,0.006550325,,,NaN
b'2MASS J15355780-2324046',b'K3',NaN,9.32999992370605,NaN,9.27000045776367,9.3100004196167,9.31999969482422,9.28999996185303,9.1899995803833,NaN,b'N',b'N',b'N',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',233.99083,-23.40128,233.99083,-23.40128,70645654,233.990834,-23.401287,-11.4834,-21.9238,11.1,STAR,2mass,0.0284550603479197,20180610,,,333-078912,15355780-2324046,,J153557.79-232404.8,6239395095087639808,11410425,,tmgaia,1.11279,1.14434,hsoy,NaN,NaN,,345.007787,25.728119,237.258575,-3.961777,13.366,0.051,12.427,0.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.161,0.023,9.605,0.027,9.425,0.025,AAA-222-111-000-0-0,18.1,9.327,0.022,9.304,0.02,9.21,0.04,8.561,0.465,11.7905,0.000345996,0.018,gaiaj,,4211,166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.181557,NaN,0,NaN,,,NaN
b'2MASS J16071478-2321011',b'M9.25',14.1499996185303,13.8299999237061,NaN,NaN,NaN,14.4399995803833,13.8000001907349,NaN,NaN,b'N',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',241.81158,-23.35031,241.81158,-23.35031,48798438,241.811588,-23.350307,NaN,NaN,18.291,STAR,2mass,0.0285618510311693,20180610,,,,16071478-2321011,,J160714.76-232101.4,,,,2mass,NaN,NaN,,NaN,NaN,,350.739234,20.845494,244.274298,-2.39336,21.311,0.245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.749,0.183,15.656,0.133,15.134,0.147,CBB-222-111-000-0-0,13.6,14.464,0.033,13.812,0.041,11.932,NaN,8.715,NaN,NaN,NaN,0.236,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'2MASS J16153648-2315175',b'M5.75',NaN,NaN,NaN,NaN,NaN,12.8500003814697,12.6099996566772,NaN,NaN,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',243.902,-23.25486,243.902,-23.25486,49584012,243.902,-23.254868,NaN,NaN,16.057,STAR,2mass,0.0287999999939727,20180610,,,,16153648-2315175,,J161536.47-231517.8,,,,2mass,NaN,NaN,,NaN,NaN,,352.219092,19.516646,246.146273,-1.95087,21.058,0.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.014,0.032,13.401,0.027,13.105,0.03,AAA-222-111-000-0-0,19.1,12.868,0.026,12.599,0.027,11.76,NaN,8.145,NaN,NaN,NaN,0.172,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
