# %ECSV 0.9
# ---
# datatype:
# - {name: Set, datatype: string, description: Subset (1)}
# - {name: Name, datatype: string, description: Star Name}
# - {name: Assoc, datatype: string, description: Association short name (2)}
# - {name: SpT, datatype: string, description: Spectral Type (3)}
# - {name: RAh, unit: h, datatype: int64, description: Hour of Right Ascension (J2000)}
# - {name: RAm, unit: min, datatype: int64, description: Minute of Right Ascension (J2000)}
# - {name: RAs, unit: s, datatype: float64, description: Second of Right Ascension (J2000)}
# - {name: DE-, datatype: string, description: Sign of Declination (J2000)}
# - {name: DEd, unit: deg, datatype: int64, description: Degree of Declination (J2000)}
# - {name: DEm, unit: arcmin, datatype: int64, description: Arcminute of Declination (J2000)}
# - {name: DEs, unit: arcsec, datatype: float64, description: Arcsecond of Declination (J2000)}
# - {name: pmRA, unit: mas / yr, datatype: float64, description: 'Proper motion in RA; {mu}_{alpha}\cos{delta}'}
# - {name: e_pmRA, unit: mas / yr, datatype: float64, description: Uncertainty in pmRA}
# - {name: pmDE, unit: mas / yr, datatype: float64, description: 'Proper motion in DE; {mu}_{delta}'}
# - {name: e_pmDE, unit: mas / yr, datatype: float64, description: Uncertainty in pmDE}
# - {name: Dist, unit: pc, datatype: float64, description: Distance}
# - {name: e_Dist, unit: pc, datatype: float64, description: Uncertainty in Dist}
# - {name: RVel, unit: km / s, datatype: float64, description: Radial Velocity}
# - {name: e_RVel, unit: km / s, datatype: float64, description: Uncertainty in RVel}
# - {name: HR1, datatype: float64, description: HR1 hardness ratio}
# - {name: NUVmag, unit: mag, datatype: float64, description: NUVMag}
# - {name: e_NUVmag, unit: mag, datatype: float64, description: Uncertainty in NUVmag}
# - {name: Gmag, unit: mag, datatype: float64, description: Gaia DR1 G-band magnitude}
# - {name: e_Gmag, unit: mag, datatype: float64, description: Uncertainty in Gmag}
# - {name: Jmag, unit: mag, datatype: float64, description: 2MASS J-band magnitude}
# - {name: e_Jmag, unit: mag, datatype: float64, description: Uncertainty in Jmag}
# - {name: IRex, datatype: float64, description: 'IR Excess in N{sigma}'}
# - {name: Known, datatype: string, description: Known Group}
# - {name: Youth, datatype: string, description: Signs of Youth (4)}
# - {name: Ref, datatype: string, description: References (5)}
# - {name: Bin, datatype: string, description: Binary flag (6)}
# - {name: dstArcSec, datatype: float64}
# - {name: Tmag, datatype: float64}
# - {name: GAIA, datatype: object}
# - {name: Teff, datatype: object}
# - {name: MatchID, datatype: int64}
# - {name: MatchRA, datatype: float64}
# - {name: MatchDEC, datatype: float64}
# - {name: ra, datatype: float64}
# - {name: dec, datatype: float64}
# schema: astropy-2.0
Set Name Assoc SpT RAh RAm RAs DE- DEd DEm DEs pmRA e_pmRA pmDE e_pmDE Dist e_Dist RVel e_RVel HR1 NUVmag e_NUVmag Gmag e_Gmag Jmag e_Jmag IRex Known Youth Ref Bin dstArcSec Tmag GAIA Teff MatchID MatchRA MatchDEC ra dec
NBFM "TYC 8649-1758-1" LCC (K2) 13 9 52.078 - 54 19 44.29 -28.9 2.9 -17.0 1.5 126.9 9.2 8.0 3.0 "" "" "" 11.004 0.004 9.48 0.02 2.8 "" E;Ca;Is -;7;-;- "" 0.499916543316 10.355 6067700547615354880 4457 253517149 197.46721 -54.328914 197.466991667 -54.3289694444
NBFM "TYC 8653-1049-1" LCC (G8) 13 13 38.585 - 55 29 56.96 -33.44 0.87 -18.85 0.66 117.6 3.2 11.0 1.0 "" "" "" 10.733 0.002 9.46 0.02 2.0 "" E;Ca;Is -;7;-;- "" 0.457293278348 10.191 6066618353299021696 4569 406624260 198.410975 -55.499103 198.410770833 -55.4991555556
NBFM "TYC 7053-832-1" OCT (G6) 5 9 0.13 - 36 27 39.84 -7.12 0.49 18.36 0.75 122.8 3.9 12.0 4.0 "" 16.84 0.03 10.999 0.004 9.83 0.03 2.6 "" UV;E;Ca -;7;-;- "" 0.332462584292 10.5 4823999927044993792 5228 14091631 77.250579 -36.461154 77.2505416667 -36.4610666667
NBFM "HD 35212" OCT F5V 5 20 16.641 - 51 59 58.59 -8.36 0.57 21.95 0.9 129.9 4.4 11.0 1.0 -0.27 "" "" 9.322 0.001 8.54 0.02 1.5 "" E 8;12;-;- "" 0.214003915335 8.991 4772071917010442880 6553 219423302 80.069388 -51.999659 80.0693375 -51.9996083333
NBFM "HD 275012" OCT G5 5 37 20.481 - 48 35 10.89 -10.91 0.61 20.6 0.93 134.3 4.2 9.0 2.0 -0.01 "" "" 11.034 0.002 9.88 0.03 2.1 "" X;E;Ca 15;16;-;- "" 0.431859472963 10.544 4794011228433961728 4978 290717316 84.335411 -48.586468 84.3353375 -48.5863583333
NBFM "CD-35 2433" OCT (G2) 5 38 49.303 - 35 29 31.61 -12.07 0.77 18.61 0.93 114.2 3.0 13.0 2.0 -0.02 "" "" 9.919 0.002 9.01 0.02 1.6 "" X;E -;7;-;- "" 0.200397853117 9.531 2888316681372109952 5792 140209922 84.705479 -35.492152 84.7054291667 -35.4921138889
NBFM "HD 42122" OCT F7/G0V 6 4 42.334 - 62 7 35.28 -11.16 0.84 19.38 0.65 153.3 6.3 7.0 1.0 "" 14.213 0.006 9.508 0.001 8.68 0.01 1.9 "" E;Is -;7;-;- "" 0.372406312381 9.155 5481191530344853120 6392 150062527 91.176541 -62.126543 91.1763916667 -62.1264666667
NBFM "TYC 8534-1810-1" OCT (G7) 6 13 35.475 - 53 23 32.68 -15.87 0.74 19.69 0.96 129.5 5.0 9.0 2.0 0.11 "" "" 11.102 0.003 9.89 0.02 3.1 "" X;E;Ca;Is 10;10;10;- "" 0.355111575657 10.585 5500506960346302336 5340 219212899 93.397914 -53.392489 93.3978125 -53.3924111111
NBFM "TYC 8895-112-1" OCT (G4) 6 34 59.827 - 60 0 8.64 -13.4 1.1 16.87 0.95 153.3 6.3 9.0 2.0 -0.32 "" "" 10.901 0.003 9.89 0.02 1.7 "" E;Ca -;7;-;- "" 0.307379369592 10.47 5481705929987902848 5602.37 293273183 98.749357 -60.002476 98.7492791667 -60.0024
NBFM "TYC 9178-1390-1" OCT (K1) 6 55 31.649 - 68 54 15.03 -19.2 1.5 16.9 1.5 125.9 8.2 5.0 1.0 "" "" "" 11.352 0.002 9.96 0.02 1.6 "" E;Is -;7;-;- "" 0.444279150195 10.761 5280499390912849152 5010.18 177115978 103.882093 -68.904269 103.881870833 -68.904175
NBFM "HD 10863" THA F0IV 1 46 1.167 - 27 20 56.47 96.59 0.02 -45.09 0.02 45.11 0.96 5.0 5.0 "" 11.8 0.002 6.274 0.001 5.72 0.01 1.3 "" Is;Lm 17;18;-;- "" 1.57624494707 6.046 5025218251509207424 6810.48 33494267 26.504426 -27.348816 26.5048625 -27.3490194444
NBFM "TYC 7295-853-1" UCL (G7) 14 32 4.282 - 30 3 33.44 -24.03 0.78 -24.53 0.34 137.3 4.5 4.0 2.0 "" "" "" 10.419 0.005 9.19 0.02 1.7 "" E;Ca;Is 10;10;10;- "" 0.521406405701 9.897 6220173638969065728 5491 392788625 218.017918 -30.05916 218.017841667 -30.0592888889
