#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
91.3172916666667,4.80444444444444,232183074,91.317296,4.804453,1.81956,-28.3735,11.61,STAR,2mass,0.0345006208831306,20180610,,,475-015007,06051615+0448160,1237674284861292935,J060516.15+044815.6,3318356432278410368,36439867,,tmgaia,2.29316,2.29316,hsoy,NaN,NaN,,203.313469,-8.00505,91.385254,-18.628504,14.732,0.009,13.24,0.08,17.0231,0.0126417,14.3215,0.00243545,12.8256,0.000888808,12.1292,0.000860746,12.0318,0.00426605,10.437,0.026,9.81,0.024,9.625,0.023,AAA-222-111-000-0-0,12.7,9.505,0.024,9.52,0.02,9.429,0.042,8.173,NaN,12.4587,0.00042908,0.018,gaiaj,,3865,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
84.335875,13.5919444444444,389248318,84.335876,13.591954,4.90694,-36.2005,12.469,STAR,2mass,0.0345775109221263,20180610,,,518-014080,05372061+1335310,,J053720.61+133530.6,3341556917897639808,40754653,,tmgaia,2.24734,2.24734,hsoy,NaN,NaN,,192.139434,-9.652244,84.414277,-9.737579,16.266,0.064,14.959,0.153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.945,0.024,10.283,0.031,10.072,0.021,AAA-222-111-000-0-0,21.7,9.941,0.024,9.809,0.019,9.803,0.069,8.637,NaN,13.536,0.00071903,0.017,gaiaj,,3405,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
82.887375,15.3222222222222,302765435,82.887385,15.322222,10.1006,-35.0912,8.487,STAR,2mass,0.0347295953310577,20180610,,1297-00706-1,527-013770,05313297+1519200,,J053132.98+151919.6,3390057475310312064,43042119,,tmgaia,0.78225,0.752447,tgas,7.97762,0.2491,tgas,189.898628,-9.944195,83.074623,-7.946245,9.383,0.038,8.97,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.069,0.018,7.867,0.034,7.856,0.018,AAA-111-111-000-0-0,9.2,7.79,0.029,7.827,0.02,7.861,0.021,7.774,0.179,8.79082,0.000345996,0.017,gaiaj,tplx,6680,201,4.24499,0.323923,NaN,NaN,1.48523,0.172137,1.41301,0.319714,0.431285,0.149957,DWARF,3.9572,0.9172727,125.3506,6.127,NaN,NaN,102,0.007490751,,,0.0002343409
81.7499583333333,7.17030555555556,365747036,81.749961,7.170315,9.33596,-32.9669,6.936,STAR,2mass,0.0353089813772104,20180610,25483,0113-00714-1,486-011678,05265999+0710131,,J052700.00+071012.7,3334161156012791296,38367946,,tmgaia,0.0352332,0.0286251,tgas,10.0805,0.350195,tgas,196.44034,-15.135851,81.481579,-16.025352,7.201,NaN,7.03,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.778,0.024,6.758,0.026,6.753,0.024,AAA-111-111-000-0-0,21,6.745,0.076,6.707,0.022,6.776,0.016,6.816,0.087,7.03009,0.000345996,0.019,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,99.20103,4.5379,NaN,NaN,71,0.002832418,,,NaN
83.7538333333333,11.4284166666667,436103626,83.753844,11.428418,11.0747,-39.0182,13.695,STAR,2mass,0.0379434780648128,20180610,,,508-013174,05350092+1125423,,J053500.93+112541.9,3339935344404471936,,,tmgaia,2.16793,2.16793,hsoy,NaN,NaN,,193.726182,-11.255056,83.743749,-11.875326,18.862,0.162,17.158,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.875,0.023,11.363,0.022,11.018,0.024,AAA-222-111-000-0-0,12.9,10.889,0.024,10.662,0.02,10.408,0.08,8.49,NaN,14.9309,0.00147634,0.017,gaiaj,,2981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,92,0.04197641,,,NaN
89.345625,3.23175,282195129,89.345636,3.231751,-5.8172,-8.8596,11.951,STAR,2mass,0.0397005819003149,20180610,,,467-013255,05572295+0313543,1237674284323307823,J055722.94+031354.4,3316627244083858816,36158838,,tmgaia,2.29219,2.29219,hsoy,NaN,NaN,,203.770579,-10.482544,89.30383,-20.205959,16.045,0.119,14.287,0.126,18.9133,0.0298595,16.0421,0.00706216,15.6215,0.0129819,15.4745,0.0136319,13.1377,0.00740188,10.357,0.023,9.437,0.022,9.142,0.024,AAA-222-111-000-0-0,9,9.011,0.023,9.132,0.02,8.962,0.032,8.571,0.401,13.0587,0.000570638,0.017,gaiaj,,3342,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
82.175375,1.22691666666667,264679929,82.175377,1.226928,6.61066,-25.5515,7.216,STAR,2mass,0.0414301367501579,20180610,25645,0101-00840-1,457-010568,05284209+0113369,,J052842.09+011336.8,3221986437125901952,35547067,,tmgaia,0.0493292,0.0333282,tgas,8.91056,0.276412,tgas,202.034017,-17.729389,81.559497,-21.983396,7.613,NaN,7.47,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.93,0.026,6.772,0.053,6.706,0.024,AAA-111-111-000-0-0,10.4,6.677,0.073,6.681,0.022,6.704,0.014,6.572,0.067,7.41479,0.000345996,0.019,gaiaj,tplx,7033,206,3.95975,0.331319,NaN,NaN,2.16115,0.253258,1.55128,0.363282,0.153686,0.05403,DWARF,10.29502,2.412877,112.2263,NaN,0.154781,NaN,46,0.007460721,,,0.00206709
77.6495416666667,1.50833333333333,455074154,77.649547,1.508344,9.30144,-30.3714,9.477,STAR,2mass,0.0429295303255952,20180610,,0099-00081-1,458-009223,05103589+0130300,,J051035.90+013029.4,3234722389547825024,36141517,,tmgaia,0.670968,0.58073,tgas,14.3262,0.273984,tgas,199.40541,-21.527276,76.726914,-21.363683,11.175,0.091,10.211,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.626,0.037,8.145,0.067,8.016,0.029,AAA-111-111-000-0-0,47.4,7.887,0.026,7.942,0.019,7.896,0.023,7.922,0.239,10.1049,0.000345996,0.021,gaiaj,tplx,4874,171,4.37511,0.302676,NaN,NaN,0.958988,0.134862,0.794889,0.0888924,0.901295,0.380246,GIANT,0.4675878,0.1315133,69.80222,1.3099,0.0828243,NaN,40,0.002288569,,,0.00296995
75.6993333333333,12.3823333333333,303684175,75.699345,12.38234,17.0137,-40.9888,9.509,STAR,2mass,0.0475277571645568,20180610,,0693-00948-1,512-009225,05024784+1222564,,J050247.85+122256.0,3391234399428901120,40743296,,tmgaia,1.81793,1.42814,tgas,1.98281,0.250245,tgas,188.535408,-17.399474,75.802875,-10.35493,11.775,0.136,10.901,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.439,0.02,7.847,0.021,7.71,0.023,AAA-111-111-000-0-0,22.8,7.609,0.032,7.664,0.021,7.609,0.018,7.516,0.169,10.2882,0.000345996,0.017,gaiaj,tplx,4765,178,2.4652,0.491812,NaN,NaN,8.39021,2.223,0.766891,0.0907317,1.54136,0.547619,GIANT,0.2916303,0.06907424,504.3343,56.5176,0.369435,NaN,0,NaN,,,NaN
88.0995833333333,5.30419444444444,159030371,88.099593,5.304204,-4.99381,-42.7457,7.852,STAR,2mass,0.0488267415329592,20180610,,0124-00479-1,477-013842,05522390+0518151,,J055223.90+051814.6,3320226907715379456,38143296,,tmgaia,0.451384,0.442944,tgas,8.04108,0.270281,tgas,201.314807,-10.58054,88.008933,-18.121953,8.512,0.031,8.155,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.509,0.02,7.409,0.051,7.309,0.018,AAA-111-111-000-0-0,12.2,7.267,0.036,7.297,0.02,7.327,0.016,7.379,0.143,8.09671,0.000345996,0.017,gaiaj,tplx,7900,218,4.2311,0.30958,NaN,NaN,1.7455,0.201479,1.89023,0.389891,0.355431,0.12308,DWARF,10.6916,2.468213,124.3615,6.24502,NaN,NaN,92,0.001852564,,,0.0002394431
84.0990833333333,14.7108055555556,52518036,84.099097,14.710809,8.75156,-32.4852,11.652,STAR,2mass,0.0491762472389025,20180610,,,524-014213,05362378+1442389,,J053623.78+144238.5,3389731298315540864,40753161,,tmgaia,2.39972,2.39961,hsoy,NaN,NaN,,191.048965,-9.268117,84.227911,-8.610326,14.677,0.045,13.273,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.549,0.018,9.879,0.017,9.723,0.016,AAA-222-111-000-0-0,9.5,9.609,0.024,9.612,0.021,9.486,0.046,8.187,NaN,12.4546,0.00042825,0.017,gaiaj,,3897,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
79.7699583333333,8.43380555555556,443750092,79.769959,8.43382,7.12908,-28.0898,13.503,STAR,2mass,0.0520541650119938,20180610,,,493-011865,05190479+0826017,,J051904.79+082601.5,3242232191405507456,39834861,,tmgaia,2.25142,2.25141,hsoy,NaN,NaN,,194.264628,-16.163154,79.538719,-14.63474,17.85,0.163,16.302,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.954,0.023,11.349,0.03,11.09,0.023,AAA-222-111-000-0-0,13.7,10.95,0.023,10.817,0.021,10.5,0.122,8.8,0.515,14.5849,0.0012245,0.017,gaiaj,,3234,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.486144,NaN,0,NaN,,,NaN
85.76475,6.10944444444444,309792394,85.76476,6.109455,14.1196,-21.8397,12.662,STAR,2mass,0.0522046003086112,20180610,,,481-013289,05430354+0606340,,J054303.55+060633.8,3333228804511967488,38954396,,tmgaia,2.27151,2.27152,hsoy,NaN,NaN,,199.441772,-12.216052,85.589776,-17.265022,16.536,0.085,15.127,0.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.185,0.026,10.539,0.025,10.289,0.023,AAA-222-111-000-0-0,13.6,10.184,0.023,10.074,0.022,9.869,0.061,8.259,NaN,13.7005,0.00077966,0.018,gaiaj,,3418,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
79.812875,1.72055555555556,449201367,79.812888,1.720563,5.14106,-24.6914,8.531,STAR,2mass,0.0539120163658125,20180610,,0100-01650-1,459-009717,05191509+0143140,,J051915.10+014313.5,3234225341573512704,36144839,,tmgaia,0.595625,0.55875,tgas,2.92111,0.917554,tgas,200.358245,-19.546036,79.059641,-21.332673,9.758,0.041,9.16,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.986,0.029,7.676,0.059,7.621,0.036,AAA-111-111-000-0-0,32.1,7.52,0.032,7.561,0.019,7.532,0.02,7.445,0.14,8.93286,0.000345996,0.02,gaiaj,splin,5915,191,4.32005,2.00363,NaN,NaN,1.1891,1.1891,1.076599,0.129753,0.64033,1.92099,DWARF,1.559363,1.559363,83.8301,NaN,0.107133,NaN,41,0.06458943,,,0.003359979
83.6600833333333,6.12686111111111,436102217,83.66009,6.126875,9.06847,-31.6662,7.511,STAR,2mass,0.0554025141779094,20180610,26161,0126-00672-1,481-012530,05343842+0607367,,J053438.42+060736.4,3333055871948408064,38138929,,tmgaia,0.0488618,0.0242902,tgas,9.74445,0.33715,tgas,198.3606,-14.024649,83.401235,-17.16731,7.938,NaN,7.73,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.258,0.024,7.191,0.031,7.144,0.027,AAA-111-111-000-0-0,15.5,7.091,0.039,7.125,0.019,7.154,0.019,7.231,0.122,7.68324,0.000345996,0.018,gaiaj,tplx,7583,28,4.06,0.04,0.03,0.03,1.66167,0.174893,1.90792,0.390484,0.41584,0.131303,DWARF,8.225239,1.731435,102.6225,4.75279,NaN,NaN,96,0.003667645,,,0.0002815246
73.6865416666667,4.7735,262438323,73.686542,4.773516,8.93374,-38.145,7.399,STAR,2mass,0.0576124120948068,20180610,22828,0093-00280-1,474-008006,04544477+0446246,,J045444.77+044624.3,3239578279573762432,36432793,,tmgaia,0.0559787,0.0319951,tgas,11.6997,0.361653,tgas,194.170572,-23.226804,72.912452,-17.703299,8.451,NaN,7.9,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.926,0.023,6.729,0.047,6.682,0.016,AAA-111-111-000-0-0,14.2,6.622,0.073,6.65,0.021,6.704,0.016,6.566,0.08,7.74567,0.000345996,0.018,gaiaj,tplx,6406.23,49.923,NaN,NaN,NaN,NaN,1.83925,0.188632,1.34224,0.280292,0.215729,0.0663749,DWARF,5.133178,1.052909,85.47227,3.43276,0.0753186,NaN,34,0.001416748,,,0.002487645
79.8165,6.97658333333333,443749174,79.8165,6.9766,30.32,-47.6,12.37,STAR,2mass,0.0600000000148993,20180610,,,485-011214,05191596+0658357,,J051915.98+065835.3,3241221224823922560,38937902,,tmgaia,2,2,sblink,NaN,NaN,,195.5879,-16.88164,79.475947,-16.091432,16.766,NaN,15.197,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.698,0.023,10.121,0.031,9.871,0.02,AAA-222-111-000-0-0,16.4,9.718,0.023,9.519,0.02,9.412,0.042,8.283,NaN,13.5652,0.000729419,0.04,cdwrf,cdwrf,3232,65,4.95363,0.46254,NaN,NaN,0.295,0.055,0.285,0.078,11.1014,6.20927,DWARF,0.008555082,0.00319003,58.2632,NaN,0.34486,NaN,53,0.07797287,,,0.002432409
