#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#_2MASS, sMmb, Exc, Disk, W2mag, W3mag, W4mag, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, string, string, float, float, float, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
_2MASS,sMmb,Exc,Disk,W2mag,W3mag,W4mag,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag_,e_w2mag,w3mag_,e_w3mag,w4mag_,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'J16132190-2136136',b'Y',b'EEE',b'F',9.39999961853027,7.88000011444092,5.40999984741211,243.341291666667,-21.6038055555556,49329814,243.341283,-21.603786,-8.51504,-25.7357,12.669,STAR,2mass,0.0761422323557982,20180610,,,342-078526,16132190-2136136,,J161321.90-213613.9,6243001630666091008,11485136,,tmgaia,2.24115,2.24115,hsoy,NaN,NaN,,353.137738,21.017342,245.344093,-0.417411,17.37,0.162,15.469,0.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.014,0.024,10.268,0.024,9.977,0.019,AAA-222-111-000-0-0,18.1,9.652,0.024,9.405,0.02,7.879,0.023,5.409,0.039,13.8124,0.000824152,0.017,gaiaj,,3268,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.333155,NaN,0,NaN,,,NaN
b'J15583620-1946135',b'Y',b'EEE',b'F',9.73999977111816,7.53000020980835,4.69999980926514,239.650833333333,-19.7704166666667,12627948,239.650836,-19.770444,-13.7047,-23.9201,13.446,STAR,2mass,0.0988138428727377,20180610,,,352-075877,15583620-1946135,,J155836.19-194613.7,6247358445492949888,,,tmgaia,1.98748,1.98747,hsoy,NaN,NaN,,351.99931,24.782946,241.606543,0.727238,18.47,0.162,16.788,0.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.697,0.023,11.006,0.022,10.721,0.021,AAA-222-111-000-0-0,12.1,10.339,0.023,9.741,0.021,7.531,0.02,4.701,0.026,14.6421,0.00126233,0.017,gaiaj,,2999,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.210708,NaN,0,NaN,,,NaN
b'J15581270-2328364',b'Y',b'XXE',b'D/ET',7.96999979019165,7.88000011444092,6.71999979019165,239.552916666667,-23.4767777777778,12621616,239.552947,-23.476785,-14.0793,-23.9914,9.394,STAR,2mass,0.103480167439406,20180610,,6779-00780-1,333-081374,15581270-2328364,,J155812.69-232836.7,6237136595125031296,11454523,,tmgaia,1.42283,0.446091,tgas,6.57799,0.64042,tgas,349.071481,22.225868,242.26392,-2.921515,11.16,0.092,10.362,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.574,0.024,8.124,0.021,8.018,0.024,AAA-111-111-000-0-0,30.9,7.936,0.024,7.966,0.02,7.883,0.022,6.722,0.092,10.0008,0.000345996,0.018,gaiaj,tplx,5340,184,3.81899,0.434364,NaN,NaN,1.95936,0.407299,0.922129,0.116008,0.122588,0.0764486,GIANT,2.812472,1.169277,152.022,13.4874,0.262665,NaN,78,0.003270446,,,NaN
b'J16134781-2747340',b'Y?',b'XEE',b'E',7.92999982833862,7.80999994277954,7.03999996185303,243.44925,-27.7927777777778,68499562,243.449221,-27.792791,-10.6138,-20.8842,8.779,STAR,2mass,0.103901211911071,20180610,,6801-00310-1,312-085848,16134781-2747340,,J161347.80-274734.1,6042203388366205056,14539570,,tmgaia,0.941177,0.530251,tgas,6.54647,0.303108,tgas,348.457101,16.692203,246.548307,-6.489468,9.721,0.044,9.289,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.296,0.019,8.061,0.02,8.006,0.026,AAA-111-111-000-0-0,23.9,7.942,0.026,7.926,0.021,7.805,0.022,7.038,0.117,9.13317,0.000345996,0.017,gaiaj,tplx,6499,198,4.08838,0.333475,NaN,NaN,1.72627,0.22675,1.33097,0.273389,0.258727,0.101953,DWARF,4.789589,1.25825,152.7541,9.95111,0.491666,NaN,135,0.0104284,,,0.001628039
b'J16012902-2509069',b'Y',b'EEE',b'F',9.1899995803833,7.23999977111816,5.34000015258789,240.370958333333,-25.1519166666667,66928783,240.370949,-25.151947,-16.0748,-35.1535,13.203,STAR,2mass,0.113356350843389,20180610,,,325-081855,16012902-2509069,,J160129.01-250907.2,6235906898751869952,13654933,,tmgaia,2.09024,2.0901,hsoy,NaN,NaN,,348.383625,20.507876,243.330805,-4.414255,16.633,0.327,15.898,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.186,0.029,10.472,0.026,10.084,0.024,AAA-222-111-000-0-0,26.7,9.628,0.024,9.19,0.02,7.235,0.018,5.341,0.033,14.5428,0.00119747,0.018,gaiaj,,3062,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.134443,NaN,0,NaN,,,NaN
b'J15594426-2029232',b'Y',b'EEE',b'F',9.59000015258789,8.06999969482422,6.11999988555908,239.934458333333,-20.4898333333333,12661718,239.934433,-20.489808,-12.1324,-25.783,13.437,STAR,2mass,0.124963014018384,20180610,,,348-079594,15594426-2029232,,J155944.25-202923.5,6246749487848999168,11458005,,tmgaia,1.9875,1.98747,hsoy,NaN,NaN,,351.639739,24.089245,242.011412,0.07572,18.464,0.162,16.955,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.522,0.024,10.774,0.022,10.405,0.026,AAA-222-111-000-0-0,31.7,10.021,0.022,9.59,0.02,8.072,0.022,6.116,0.055,14.7242,0.00131907,0.017,gaiaj,,2885,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.243165,NaN,0,NaN,,,NaN
b'J16052157-1821412',b'Y',b'XEE',b'T',7.23999977111816,6.3600001335144,3.16000008583069,241.339875,-18.3614444444444,9919460,241.339909,-18.36146,-5.59624,-23.06,10.661,STAR,2mass,0.128961603153812,20180610,,,359-074808,16052157-1821412,,J160521.57-182141.5,6249055266810261504,8826912,,tmgaia,3.93376,2.80944,hsoy,NaN,NaN,,354.334129,24.599716,242.896367,2.421734,13.441,0.469,12.746,0.561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.263,0.023,8.533,0.057,8.134,0.026,AAA-211-111-000-0-0,12.3,7.469,0.03,7.237,0.02,6.357,0.017,3.156,0.021,11.652,0.000345996,0.017,gaiaj,,3482,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.269305,NaN,0,NaN,,,NaN
b'J16194711-2203112',b'Y',b'XEX',b'E',10.1000003814697,9.23999977111816,0,244.946333333333,-22.0531111111111,49974584,244.946301,-22.053134,-11.1374,-26.3264,13.344,STAR,2mass,0.135752193749898,20180610,,,340-080510,16194711-2203112,,J161947.09-220311.4,6052084046526788608,,,tmgaia,2.13771,2.13789,hsoy,NaN,NaN,,353.850758,19.612099,246.889444,-0.60147,17.664,0.162,16.733,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.491,0.027,10.859,0.022,10.545,0.024,AAA-222-111-000-0-0,20.4,10.41,0.024,10.13,0.02,9.238,0.038,8.228,0.307,14.5971,0.00123242,0.018,gaiaj,,2969,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.251599,NaN,0,NaN,,,NaN
b'J16064385-1908056',b'Y',b'EEE',b'E',8.85999965667725,8.10999965667725,6.78999996185303,241.68275,-19.1348611111111,161834230,241.682739,-19.134899,-8.60144,-22.1312,11.483,STAR,2mass,0.141437703138158,20180610,,,355-077000,16064385-1908056,1237674654229266793,J160643.85-190805.8,6248768740952946816,8829065,,tmgaia,2.1466,2.14659,hsoy,NaN,NaN,,353.955118,23.835438,243.362251,1.723998,14.954,0.044,13.471,0.092,17.1269,0.0123464,14.9717,0.00534528,12.8603,0.00208437,12.0954,0.00113977,12.2,0.00552673,10.137,0.024,9.398,0.024,9.195,0.021,AAA-222-111-000-0-0,8.5,9.008,0.022,8.859,0.021,8.114,0.023,6.79,0.09,12.441,0.000425518,0.018,gaiaj,,3592,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.203302,NaN,0,NaN,,,NaN
b'J16333496-1832540',b'Y',b'XEE',b'E',9.8100004196167,9.21000003814697,7.71999979019165,248.395708333333,-18.5483055555556,73061893,248.395706,-18.548345,-2.16203,-26.2914,13.724,STAR,2mass,0.142223134350129,20180610,,,358-079673,16333496-1832540,,J163334.90-183254.4,4323607271802336512,8871044,,tmgaia,2.13832,2.13828,hsoy,NaN,NaN,,358.906425,19.415698,249.532689,3.369027,17.361,0.212,13.948,1.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.314,0.03,10.728,0.04,10.397,0.027,EEE-222-111-000-0-0,12.5,10.084,0.022,9.807,0.018,9.205,0.038,7.724,0.241,14.2238,0.00101437,0.601,gaiao,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.614366,NaN,0,NaN,,,NaN
