__PGZ2001_,f__PGZ2001_,EWLi,u_EWLi,EWHa,u_EWHa,SpType,u_SpType,_RA,_DE,RA,DEC
b'160707.7-192715',b'',0.5699999928474426,b'',-5.0,b'',b'M 2',b'',241.7821,-19.4542,241.7821,-19.4542
b'160708.7-192733',b'',0.5199999809265137,b'',-4.0,b'',b'M 4',b'',241.7862,-19.4592,241.7862,-19.4592
b'160710.0-191703',b'',0.8999999761581421,b':',-9.0,b'',b'M 2',b':',241.7917,-19.2842,241.7917,-19.2842
b'160716.0-204443',b'',0.6800000071525574,b'',-3.5999999046325684,b'',b'M 4',b'',241.8167,-20.7453,241.8167,-20.7453
b'160719.7-202055',b'',0.5699999928474426,b'',-2.299999952316284,b'',b'M 3',b'',241.8321,-20.3486,241.8321,-20.3486
b'160722.4-201158',b'',0.5,b':',-14.0,b'',b'M 5',b'',241.8433,-20.1994,241.8433,-20.1994
b'160727.5-201834',b'',0.8999999761581421,b':',-13.0,b'',b'M 5',b'',241.8646,-20.3094,241.8646,-20.3094
b'160735.5-202713',b'',0.75,b'',-4.900000095367432,b'',b'M 5',b'',241.8979,-20.4536,241.8979,-20.4536
b'160739.4-191747',b'',0.5199999809265137,b'',-2.299999952316284,b'',b'M 2',b'',241.9142,-19.2964,241.9142,-19.2964
b'160744.5-203602',b'',0.5,b'',-4.800000190734863,b'',b'M 4',b'',241.9354,-20.6006,241.9354,-20.6006
b'160745.8-203055',b'',0.30000001192092896,b':',-2.0,b'',b'M 3',b'',241.9408,-20.5153,241.9408,-20.5153
b'160800.5-204028',b'',0.3400000035762787,b'',-5.199999809265137,b'',b'M 5',b'',242.0021,-20.6744,242.0021,-20.6744
b'160801.4-202741',b'',0.8299999833106995,b'',-2.299999952316284,b'',b'K 8',b'',242.0058,-20.4614,242.0058,-20.4614
b'160801.5-192757',b'',0.5199999809265137,b'',-3.5999999046325684,b'',b'M 4',b'',242.0062,-19.4658,242.0062,-19.4658
b'160802.4-202233',b'',0.6000000238418579,b':',-6.099999904632568,b'',b'M 5',b'',242.01,-20.3758,242.01,-20.3758
b'160804.3-194712',b'',0.9100000262260437,b'',-5.199999809265137,b'',b'M 4',b'',242.0179,-19.7867,242.0179,-19.7867
b'160815.3-203811',b'',0.5699999928474426,b'',-1.899999976158142,b'',b'M 3',b'',242.0637,-20.6364,242.0637,-20.6364
b'160823.2-193001',b'',0.49000000953674316,b'',-6.0,b'',b'K 9',b'',242.0967,-19.5003,242.0967,-19.5003
b'160823.5-191131',b'',0.9200000166893005,b'',-4.900000095367432,b'',b'M 3',b'',242.0979,-19.1919,242.0979,-19.1919
b'160823.8-193551',b'',0.7200000286102295,b'',-2.0999999046325684,b'',b'M 1',b'',242.0992,-19.5975,242.0992,-19.5975
b'160825.1-201224',b'',0.4099999964237213,b'',-2.0,b'',b'M 1',b'',242.1046,-20.2067,242.1046,-20.2067
b'160827.5-194904',b'',0.5699999928474426,b'',-12.300000190734863,b'',b'M 5',b'',242.1146,-19.8178,242.1146,-19.8178
b'160843.1-190051',b'',0.800000011920929,b':',-7.5,b'',b'M 5',b'',242.1796,-19.0142,242.1796,-19.0142
b'160845.6-182443',b'',0.699999988079071,b':',0.5,b':',b'M 3',b'',242.19,-18.4119,242.19,-18.4119
b'160854.0-203417',b'',0.5699999928474426,b'',-3.4000000953674316,b'',b'M 4',b'',242.225,-20.5714,242.225,-20.5714
b'160900.7-190852',b'',0.5299999713897705,b'',-12.699999809265137,b'',b'K 9',b'',242.2529,-19.1478,242.2529,-19.1478
b'160903.9-193944',b'',0.3100000023841858,b'',-2.700000047683716,b'',b'M 3',b'',242.2662,-19.6622,242.2662,-19.6622
b'160904.0-193359',b'',0.800000011920929,b'',-2.200000047683716,b'',b'M 4',b'',242.2667,-19.5664,242.2667,-19.5664
b'160908.4-200928',b'',0.6600000262260437,b'',-4.0,b'',b'M 4',b'',242.285,-20.1578,242.285,-20.1578
b'160913.4-194328',b'',0.5400000214576721,b'',-1.600000023841858,b'',b'M 3',b'',242.3058,-19.7244,242.3058,-19.7244
b'160915.8-193706',b'',0.8999999761581421,b'',-1.7000000476837158,b'',b'M 3',b'',242.3158,-19.6183,242.3158,-19.6183
b'160916.8-183522',b'',0.550000011920929,b'',-3.0,b'',b'M 2',b'',242.32,-18.5894,242.32,-18.5894
b'160933.8-190456',b'',0.49000000953674316,b'',-3.299999952316284,b'',b'M 2',b'',242.3908,-19.0822,242.3908,-19.0822
b'160936.5-184800',b'',1.0,b':',-10.0,b':',b'M 5',b'',242.4021,-18.8,242.4021,-18.8
b'160943.8-182302',b'',0.8999999761581421,b':',-9.5,b'',b'M 4',b'',242.4325,-18.3839,242.4325,-18.3839
b'160946.4-193735',b'',0.49000000953674316,b'',-1.600000023841858,b'',b'M 1',b'',242.4433,-19.6264,242.4433,-19.6264
b'160954.4-190654',b'',0.699999988079071,b'',-3.0999999046325684,b'',b'M 1',b'',242.4767,-19.115,242.4767,-19.115
b'160959.4-180009',b'',1.0,b':',-4.900000095367432,b'',b'M 5',b'',242.4975,-18.0025,242.4975,-18.0025
b'161010.4-194539',b'',0.49000000953674316,b'',-5.599999904632568,b'',b'M 3',b'',242.5433,-19.7608,242.5433,-19.7608
b'161014.7-191909',b'',0.44999998807907104,b'',-2.0999999046325684,b'',b'M 2',b'',242.5612,-19.3192,242.5612,-19.3192
b'161024.7-191407',b'',0.5099999904632568,b'',-3.299999952316284,b'',b'M 3',b'',242.6029,-19.2353,242.6029,-19.2353
b'161031.9-191305',b'',0.5,b'',-2.299999952316284,b'',b'K 7',b'',242.6329,-19.2181,242.6329,-19.2181
b'161039.5-191652',b'',0.5299999713897705,b'',-4.300000190734863,b'',b'M 2',b'',242.6646,-19.2811,242.6646,-19.2811
b'161043.9-192225',b'',0.6700000166893005,b'',-2.299999952316284,b'',b'M 3',b'',242.6829,-19.3736,242.6829,-19.3736
b'161115.3-175721',b'',0.550000011920929,b'',-2.4000000953674316,b'',b'M 1',b'',242.8137,-17.9558,242.8137,-17.9558
b'161116.6-193910',b'',0.4699999988079071,b'',-3.4000000953674316,b'',b'M 4',b'',242.8192,-19.6528,242.8192,-19.6528
b'161118.1-175728',b'',0.550000011920929,b'',-4.800000190734863,b'',b'M 4',b'',242.8254,-17.9578,242.8254,-17.9578
b'161120.4-191937',b'',0.5099999904632568,b'',-5.5,b'',b'M 2',b'',242.835,-19.3269,242.835,-19.3269
b'161123.0-190522',b'',0.4000000059604645,b'',-6.800000190734863,b'',b'M 4',b'',242.8458,-19.0894,242.8458,-19.0894
b'161133.6-191400',b'',0.6000000238418579,b':',-4.800000190734863,b'',b'M 3',b'',242.89,-19.2333,242.89,-19.2333
b'161156.2-194323',b'',0.6000000238418579,b'',-6.300000190734863,b'',b'M 3',b'',242.9842,-19.7231,242.9842,-19.7231
b'161420.2-190648',b'a',0.8999999761581421,b':',-66.0,b':',b'M 0',b':',243.5842,-19.1133,243.5842,-19.1133
b'161433.6-190013',b'',0.4000000059604645,b':',-30.0,b':',b'M 3',b'',243.64,-19.0036,243.64,-19.0036
