designation,RA,DEC,glon,glat,w1mpro,w2mpro,w3mpro,w4mpro,pmra,pmdec,j_m_2mass,h_m_2mass,k_m_2mass,ra_2,raerr,dec_2,decerr,nobs,mobs,vjmag,bjmag,gmag,rmag,imag,evjmag,ebjmag,egmag,ermag,eimag,name,Separation
J123527.67-700220.5,188.8653093,-70.0390357,301.5585019,-7.2098168,11.628,11.644,11.425,9.259,0,83,12.316,11.811,11.718,188.8649,0.783,-70.039032,0.608,5,23,13.794,14.67,14.22,13.52,13.366,0.042,0.025,0.022,0.043,0.16,20162744,0.5031927536441829
J124015.77-701225.2,190.0657411,-70.2070021,301.9783762,-7.3558594,8.985,9.016,9.043,9.109,196,-14,9.816,9.295,9.248,190.06543,0.535,-70.207025,0.462,5,25,11.237,12.165,11.701,10.914,10.686,0.024,0.024,0.026,0.047,0.036,20162744,0.3881009038896438
J120607.47-650322.9,181.5311559,-65.0563778,298.1751656,-2.6038789,10.065,10.063,10.066,9.086,0,0,10.929,10.349,10.196,181.530933,0.383,-65.056437,0.2,3,14,13.29,14.405,13.873,12.871,12.381,0.021,0.059,0.052,0.026,0.033,20162643,0.3999265272372285
J173310.27-684835.3,263.2927975,-68.8098165,323.9807972,-18.5065435,10.633,10.643,10.424,9.173,-101,43,11.286,10.776,10.705,263.292872,0.125,-68.809746,0.051,2,10,13.023,13.905,13.467,12.747,12.642,0.039,0.02,0.027,0.043,0.237,20132708,0.2716850697073953
J173723.72-681246.5,264.3488354,-68.2129274,324.7275554,-18.5745833,10.918,10.933,10.942,8.752,-56,-126,11.544,11.085,10.983,264.348795,0.053,-68.212968,0.112,2,10,13.109,13.901,13.507,12.865,12.696,0.031,0.011,0.041,0.006,0.136,20132708,0.15580987700888294
J173939.59-672451.2,264.9149873,-67.4142323,325.5803898,-18.4030475,10.106,10.105,10.009,8.971,23,-16,10.831,10.294,10.198,264.915026,0.059,-67.41424,0.095,2,10,12.747,13.752,13.207,12.43,12.143,0.011,0.006,0.015,0.006,0.064,20132708,0.06026202254186173
J174803.71-681303.5,267.0154694,-68.2176631,325.1806143,-19.4666617,11.107,11.119,10.909,9.003,-7,-55,11.839,11.307,11.21,267.01541,0.122,-68.217649,0.115,2,10,13.674,14.549,14.075,13.357,13.001,0.011,0.022,0.023,0.006,0.048,20132708,0.09419838136385265
J174717.26-672332.1,266.821952,-67.3922565,325.9405153,-19.0519123,9.337,9.359,9.247,8.981,55,-8,10.164,9.566,9.435,266.821979,0.044,-67.392277,0.029,2,10,12.206,13.26,12.718,11.858,11.448,0.01,0.021,0.017,0.025,0.017,20132708,0.0827201868704799
J173346.78-674403.0,263.4449447,-67.7341667,325.0095098,-18.0526039,9.834,9.849,9.689,8.9,-14,-53,10.617,10.043,9.892,263.444949,0.065,-67.734158,0.094,2,10,12.762,13.823,13.281,12.395,12.152,0.157,0.111,0.091,0.135,0.136,20132708,0.031864491190987096
J140232.63-684157.8,210.6359867,-68.6993901,309.3436186,-6.7173071,12.057,12.069,12.016,8.915,-27,-54,12.677,12.227,12.162,210.636132,0.935,-68.6997,0.534,3,14,13.902,14.628,14.229,13.647,13.528,0.066,0.092,0.041,0,0.116,20162746,1.1317056475560572
J135921.19-682148.6,209.8383024,-68.3635261,309.1509297,-6.3155868,10.337,10.341,10.323,8.531,-35,42,11.047,10.553,10.446,209.838243,0.5,-68.36347,0.224,4,16,12.968,13.825,13.364,12.649,12.35,0.026,0.038,0.031,0.024,0.102,20162700,0.216805436105507
J135421.06-684727.7,208.5877594,-68.7910493,308.5976166,-6.6140844,10.993,10.974,11.11,8.899,-25,-49,11.716,11.247,11.095,208.587902,0.38,-68.791205,0.621,3,15,13.544,14.332,13.901,13.254,12.928,0.031,0.016,0.028,0.006,0.04,20162746,0.5904860173946724
J122409.70-600341.8,186.0404343,-60.0616246,299.5312019,2.629977,8.719,8.715,8.576,8.259,-18,-52,9.578,8.98,8.747,186.040206,0.45,-60.061536,0.675,3,11,12.084,13.247,12.686,11.585,11.079,0.143,0.096,0.122,0.139,0.084,20162585,0.5195948635938696
J130402.54-710254.1,196.0105896,-71.0483837,303.9654105,-8.2018453,13.003,13,12.406,8.539,NA,NA,13.938,13.362,13.265,196.00791,0.335,-71.047063,0.496,4,18,13.758,14.438,14.04,13.496,13.281,0.016,0.03,0.031,0.017,0.053,20162785,5.693965247992038
J131030.41-712313.0,197.6267162,-71.3869472,304.4690974,-8.5720476,10.534,10.56,10.454,8.907,109,-18,11.365,10.77,10.688,197.628012,0.536,-71.386838,0.837,4,25,13.699,14.763,14.206,13.256,12.884,0.054,0.039,0.042,0.014,0.149,20162785,1.5399418902999955
J130058.65-544017.4,195.2443812,-54.6715107,304.3249062,8.1745068,11.342,11.365,11.251,9.391,-55,-4,12.025,11.504,11.405,195.244372,0.392,-54.671395,0.686,4,24,13.745,14.656,14.147,13.431,13.091,0.02,0.045,0.032,0.029,0.059,20162451,0.4169600864742567
