designation,RA,DEC,glon,glat,w1mpro,w2mpro,w3mpro,w4mpro,pmra,pmdec,j_m_2mass,h_m_2mass,k_m_2mass,ra_2,raerr,dec_2,decerr,nobs,mobs,vjmag,bjmag,gmag,rmag,imag,evjmag,ebjmag,egmag,ermag,eimag,name,Separation
J020446.59-165954.2,31.1941441,-16.9983994,185.8617245,-70.2549959,12.491,12.509,11.824,8.747,NA,NA,13.142,12.644,12.522,31.195768,0.3,-16.998702,0.087,3,12,13.027,13.698,13.285,12.878,12.716,0.02,0.087,0.023,0.025,0.087,20160941,5.695783583260398
J015754.05-153724.9,29.4752213,-15.6235998,179.6006637,-70.755262,10.917,10.91,10.871,8.814,-23,-15,11.582,11.117,10.987,29.475176,0.082,-15.623614,0.064,4,20,13.291,14.133,13.709,13.013,12.733,0.011,0.016,0.028,0.015,0.014,20160811,0.16516464687803958
J011039.23-181855.3,17.6634739,-18.3153674,150.5927043,-80.138932,11.227,11.243,11.119,8.577,75,182,11.973,11.433,11.327,17.663522,0.224,-18.315172,0.306,5,22,13.749,14.746,14.261,13.368,13.018,0.017,0.026,0.059,0.08,0.047,20130937,0.722392728786356
J002209.59-090329.6,5.5399646,-9.0582445,100.6150746,-70.6507266,11.641,11.664,11.337,8.806,26,10,12.306,11.809,11.75,5.539997,0.221,-9.058245,0.296,4,20,13.972,14.792,14.375,13.746,13.322,0.021,0.031,0.056,0.013,0.087,20130407,0.11519942322434455
J002506.62-090127.1,6.2776232,-9.0241975,102.7376951,-70.8565769,12.35,12.374,11.781,7.78,NA,NA,13.227,12.665,12.609,6.278516,0.224,-9.024398,0.794,3,13,13.345,14.265,13.84,13.055,12.83,0.028,0.053,0.164,0.022,0.067,20160540,3.2553262942337513
J013942.97-161547.8,24.9290789,-16.2632807,171.2364595,-74.4053438,9.545,9.562,9.498,8.673,-46,100,10.266,9.744,9.636,24.929129,0.421,-16.263291,0.206,9,30,12.154,13.127,12.585,11.862,11.481,0.02,0.035,0.016,0.021,0.074,20160939,0.17706886988581455
J010823.81-004354.3,17.0992101,-0.7317528,132.3986521,-63.29137,11.415,11.423,11.303,8.344,-115,76,12.078,11.608,11.502,17.099212,0.157,-0.731774,0.13,4,20,13.72,14.504,14.129,13.467,13.175,0.048,0.062,0.1,0.058,0.1,20160142,0.07662584661284043
J010515.48-004133.4,16.314536,-0.6926236,130.654838,-63.3569596,9.846,9.863,9.898,8.671,0,4,10.62,10.059,9.935,16.31455,0.13,-0.69263,0.086,6,22,12.693,13.739,13.251,12.267,11.839,0.038,0.028,0.039,0.05,0.084,20160142,0.05541326928688584
J005413.00-250433.8,13.5541781,-25.0760796,139.9951596,-87.8551628,10.813,10.841,10.769,9.154,26,-9,11.458,10.958,10.879,13.554195,0.088,-25.076092,0.087,4,20,12.881,13.567,13.207,12.657,12.412,0.04,0.028,0.017,0.046,0.067,20161310,0.07091793678822897
J005554.92-252711.8,13.9788602,-25.4532893,154.1111787,-88.0474629,13.573,13.586,12.311,8.667,NA,NA,14.403,13.809,13.628,13.976982,0.157,-25.452984,0.066,4,20,12.649,13.205,12.886,12.515,12.444,0.037,0.022,0.016,0.027,0.043,20161310,6.203368217049308
J005027.92-251616.3,12.6163399,-25.2711994,116.1775835,-88.1302275,11.078,11.1,11.113,8.625,46,-69,11.852,11.265,11.138,12.616304,0.206,-25.271224,0.196,4,20,13.98,15.075,14.515,13.497,13.084,0.027,0.043,0.02,0.04,0.069,20161310,0.14663488534328764
J002538.79-212203.3,6.411646,-21.3675902,75.9800612,-81.7723463,10.626,10.622,10.522,8.718,-8,82,11.374,10.797,10.665,6.411626,0.288,-21.367612,0.186,4,20,13.63,14.678,14.163,13.189,12.798,0.029,0.019,0.031,0.025,0.028,20161061,0.10322271405328369
J005414.07-351712.5,13.5586592,-35.2868273,298.9177961,-81.8195532,10.613,10.625,10.504,9.04,-82,10,11.523,10.927,10.767,13.558685,0.33,-35.286828,0.231,6,22,13.734,14.865,14.275,13.295,12.908,0.073,0.042,0.04,0.09,0.096,20161657,0.07585706569560344
J005037.18-340816.7,12.6549537,-34.1379761,304.3187431,-82.9880119,10.779,10.788,10.746,8.555,62,55,11.505,10.927,10.836,12.654965,0.256,-34.137967,0.115,7,28,13.37,14.312,13.811,13.051,12.692,0.042,0.047,0.005,0.011,0.044,20161657,0.0469777774245096
J000107.68-250858.9,0.2820052,-25.1497123,40.0511006,-78.5421045,10.981,10.981,11.132,8.298,-67,418,11.666,11.161,11.084,0.282304,0.122,-25.150227,0.178,4,16,12.645,13.446,13.023,12.469,12.269,0.017,0.051,0.03,0.048,0.031,20161306,2.0931822294522537
J001446.37-224609.5,3.6932335,-22.7693103,58.6139862,-80.6197013,9.931,9.949,9.768,8.867,17,-22,10.679,10.1,9.974,3.693232,0.085,-22.769321,0.061,4,20,12.756,13.785,13.24,12.387,12.02,0.041,0.072,0.048,0.047,0.043,20161185,0.038840476862263856
J004058.49-284108.7,10.243721,-28.6857722,358.3523433,-87.2127815,11.164,11.195,11.093,8.947,-112,96,11.865,11.325,11.259,10.2437,0.547,-28.685731,0.524,8,104,13.567,14.482,13.986,13.258,12.978,0.055,0.07,0.035,0.037,0.061,20161428,0.16247256410374927
J004943.17-273126.5,12.4298971,-27.5240483,346.7868994,-89.4501389,11.647,11.657,11.52,8.204,9,-26,12.233,11.777,11.713,12.429909,0.346,-27.524075,0.248,5,35,13.635,14.356,13.975,13.429,13.235,0.018,0.038,0.028,0.045,0.025,20161428,0.10335563952040414
J005027.39-272738.7,12.6141374,-27.4607628,336.1243169,-89.6023406,11.283,11.294,11.194,8.67,106,-88,11.995,11.448,11.351,12.614133,0.272,-27.460771,0.22,4,24,13.931,14.902,14.382,13.552,13.243,0.02,0.077,0.019,0.018,0.035,20161310,0.03269526935174559
J005728.29-320939.4,14.367896,-32.1609548,288.6995406,-84.7995042,10.527,10.531,10.327,8.563,-32,77,11.259,10.711,10.604,14.367889,0.145,-32.160954,0.081,13,65,13.155,14.109,13.609,12.795,12.46,0.033,0.049,0.036,0.033,0.025,20161545,0.02152673732530169
J021002.94-150551.3,32.5122778,-15.0975939,183.5555296,-68.122396,12.485,12.5,11.783,8.513,NA,NA,13.212,12.66,12.579,32.510756,0.383,-15.096978,0.227,4,18,13.138,13.941,13.507,12.976,12.908,0.032,0.071,0.006,0.023,0.13,20130682,5.735311744891523
J012002.92-015820.5,20.0121676,-1.9723845,139.3789048,-63.9267534,9.045,9.068,9.046,8.71,14,53,9.673,9.164,9.092,20.012233,0.394,-1.972407,0.313,9,44,11.233,11.988,11.582,10.995,10.782,0.067,0.038,0.033,0.062,0.287,20160143,0.2488520221381095
J011756.43-011554.9,19.4851466,-1.2652606,137.843658,-63.3671246,9.015,9.028,8.908,8.832,20,80,9.814,9.247,9.095,19.485159,0.341,-1.265263,0.093,6,29,12.002,12.981,12.473,11.637,11.227,0.061,0.039,0.054,0.069,0.062,20160143,0.04545775606249028
J005624.04-183123.5,14.1002054,-18.5232192,130.7505918,-81.3195686,10.496,10.479,10.404,8.462,17,53,11.301,10.717,10.611,14.100235,0.134,-18.523202,0.206,3,15,13.147,14.076,13.592,12.848,12.51,0.075,0.043,0.022,0.08,0.006,20160936,0.11850358612382186
J022623.74-095612.2,36.5989477,-9.9367271,179.9272293,-61.7808848,11.481,11.488,11.46,9.368,-6,27,12.146,11.644,11.581,36.598933,0.195,-9.936706,0.198,5,22,13.926,14.836,14.307,13.598,13.37,0.044,0.036,0.131,0.055,0.055,20130551,0.09212522193454825
J003009.01-303054.8,7.5375802,-30.5152484,355.67591,-84.2383419,10.689,10.7,10.586,9.203,22,-16,11.401,10.857,10.743,7.537566,0.084,-30.515269,0.128,2,10,13.229,14.151,13.676,12.905,12.576,0.012,0.036,0.011,0.008,0.042,20131427,0.08625073596947569
J004006.83-245512.0,10.0284912,-24.9200127,73.2615817,-86.631589,8.317,8.342,8.258,8.405,30,134,9.072,8.521,8.425,10.028483,0.064,-24.920032,0.082,2,10,10.982,11.94,11.424,10.613,10.263,0.006,0.058,0.033,0.017,0.064,20131187,0.07445930874306056
J020130.42-094934.1,30.3767832,-9.8261429,169.9308996,-66.075846,9.706,9.72,9.625,8.74,27,5,10.326,9.829,9.768,30.376794,0.152,-9.826135,0.153,7,26,12.001,12.778,12.389,11.737,11.49,0.055,0.028,0.035,0.042,0.049,20130549,0.0477122815732588
J002439.48-233744.4,6.164503,-23.6290262,61.5117107,-83.0138286,10.874,10.903,10.804,8.988,-49,28,11.593,11.035,10.928,6.164496,0.107,-23.629008,0.165,4,20,13.436,14.411,13.873,13.124,12.771,0.009,0.017,0.019,0.024,0.046,20161186,0.06946862972591418
J000216.68-245349.5,0.5695105,-24.8971035,41.6047974,-78.7371151,11.175,11.194,11.173,9.066,12,54,11.842,11.317,11.247,0.569456,0.144,-24.897102,0.091,4,18,13.479,14.32,13.885,13.209,12.966,0.017,0.035,0.013,0.037,0.037,20161306,0.17804811935399056
J001505.53-210958.3,3.7730529,-21.1662028,66.7168888,-79.7937097,11.292,11.289,11.154,8.877,43,102,11.994,11.484,11.417,3.773031,0.128,-21.166249,0.094,4,20,13.605,14.385,13.966,13.346,13.088,0.047,0.016,0.024,0.043,0.038,20161060,0.18184529003759956
J002632.85-410324.8,6.6368802,-41.0569108,321.5408815,-75.1593599,11.51,11.53,11.471,9.079,75,-50,12.163,11.649,11.565,6.636978,0.231,-41.056912,0.186,4,22,13.83,14.673,14.217,13.559,13.389,0.052,0.032,0.019,0.038,0.123,20161974,0.26552372725266676
J013237.86-153032.1,23.1577577,-15.5089206,164.4873272,-74.9483505,10.435,10.466,10.354,8.794,-70,-182,11.095,10.542,10.495,23.157759,0.265,-15.508983,0.346,6,27,12.702,13.537,13.116,12.45,12.198,0.035,0.041,0.03,0.041,0.065,20130809,0.2246852599737586
J013528.30-153148.8,23.8679275,-15.5302443,166.567669,-74.5371647,10.416,10.423,10.353,9.04,6,83,11.136,10.581,10.506,23.867935,0.101,-15.530239,0.11,5,25,12.995,13.983,13.467,12.692,12.355,0.014,0.016,0.026,0.011,0.025,20160809,0.032261207834322285
J011926.77-055527.9,19.8615542,-5.9244417,141.6283753,-67.7737735,10.961,10.927,11.108,8.425,23,15,11.846,11.28,11.137,19.861511,0.14,-5.924462,0.123,4,20,13.837,14.831,14.293,13.483,13.045,0.03,0.082,0.035,0.036,0.086,20160412,0.17108325474312305
J010834.44-313614.6,17.1435021,-31.6040833,264.1301499,-84.1726878,9.131,9.151,9.03,8.262,80,20,9.937,9.358,9.257,17.143521,0.123,-31.604084,0.082,5,25,11.678,12.614,12.12,11.365,11.046,0.05,0.06,0.049,0.041,0.048,20161546,0.058003726591404306
J015904.22-193048.3,29.7675881,-19.5134428,190.3635836,-72.7305046,11.591,11.617,11.181,9.029,27,-4,12.29,11.796,11.73,29.76759,0.168,-19.513436,0.133,2,10,13.927,14.767,14.297,13.69,13.387,0.011,0.033,0.029,0.008,0.021,20130942,0.025314737046372094
J015829.74-190120.8,29.6239358,-19.0224642,188.7094522,-72.6017194,11.465,11.47,11.105,8.717,12,-25,12.205,11.705,11.614,29.624009,0.208,-19.022506,0.109,5,15,13.85,14.746,14.43,13.753,13.391,0,0.026,0.254,0.333,0.26,20160941,0.29104926030322226
J002325.46-180503.7,5.8560911,-18.0843738,85.9578514,-78.8891261,11.33,11.36,11.154,8.622,-139,9,12.023,11.482,11.384,5.856097,0.156,-18.084387,0.121,7,24,13.73,14.614,14.154,13.427,13.163,0.068,0.075,0.08,0.078,0.104,20160933,0.05163154925309034
J002749.48-173535.0,6.9561812,-17.5930826,91.9601716,-79.0174516,11.466,11.494,11.256,8.614,-6,106,12.048,11.577,11.532,6.956215,0.34,-17.593087,0.205,4,25,13.478,14.167,13.798,13.268,13.087,0.011,0.046,0.037,0.029,0.037,20160933,0.11706527894520001
J012702.06-281755.0,21.7585855,-28.2986137,223.4378703,-82.0372245,10.898,10.906,10.877,8.63,-87,-68,11.567,11.103,11.018,21.758612,0.57,-28.298677,0.249,4,60,13.163,13.944,13.494,12.893,12.621,0.027,0.048,0.034,0.034,0.061,20180056,0.2428684019940227
J005232.98-184155.9,13.1374541,-18.6988835,124.7275788,-81.5667936,11.19,11.203,10.881,8.303,67,-49,11.911,11.374,11.257,13.137476,0.087,-18.698918,0.288,2,10,13.853,14.837,14.332,13.489,13.186,0.01,0.011,0.01,0.011,0.017,20130936,0.14492247865673513
J012622.16-033419.8,21.5923409,-3.5721906,143.9507266,-65.0086981,11.108,11.134,11.002,8.581,45,-32,11.769,11.274,11.196,21.592013,0.122,-3.573575,0.881,2,5,13.271,14.134,13.67,12.894,12.712,0,0,-0.006,0,0,20160278,5.1211998834314105
J005358.95-263202.3,13.4956294,-26.5339779,166.7664174,-89.1782104,10.829,10.823,10.724,8.988,-31,-191,11.599,11.049,10.908,13.495626,0.154,-26.534027,0.154,4,20,13.732,14.796,14.281,13.315,12.93,0.026,0.041,0.019,0.039,0.043,20161310,0.17709888932418572
J014047.76-134417.4,25.1990313,-13.7381935,166.0952521,-72.3344455,11.351,11.386,11.172,8.339,-73,-39,12.04,11.488,11.415,25.199018,0.101,-13.738196,0.081,2,10,13.801,14.689,14.24,13.508,13.22,0.021,0.006,0.016,0.021,0.015,20130679,0.04737297651799317
J000312.65-001504.4,0.8027181,-0.2512424,97.6385022,-60.7325423,10.471,10.485,10.341,8.658,-82,-11,11.298,10.702,10.544,0.802707,0.154,-0.251236,0.182,5,20,13.64,14.788,14.235,13.166,12.68,0.056,0.093,0.092,0.092,0.055,20160136,0.046126050093341996
J001529.40-243624.2,3.8725196,-24.6067396,48.2510279,-81.5320519,9.409,9.401,9.335,8.422,80,-22,10.13,9.591,9.442,3.872549,0.145,-24.606737,0.069,6,22,12.102,13.074,12.564,11.706,11.375,0.044,0.017,0.023,0.035,0.039,20161307,0.09668251297171787
J001305.78-233951.6,3.2741018,-23.6643406,52.6251757,-80.6775728,10.785,10.777,10.729,9.083,-80,75,11.593,11.007,10.849,3.274105,0.23,-23.664363,0.106,4,20,13.672,14.759,14.187,13.257,12.855,0.049,0.04,0.058,0.055,0.06,20161185,0.08132736185293211
J003510.78-231721.8,8.7949549,-23.2894045,78.2781261,-84.6848857,11.587,11.588,11.56,8.672,51,-22,12.229,11.747,11.641,8.794859,0.297,-23.28948,0.234,4,21,13.947,14.793,14.335,13.668,13.357,0.04,0.053,0.018,0.028,0.066,20161186,0.4176526426021836
J013210.29-171210.2,23.0429036,-17.2028368,168.5122904,-76.3220218,11.618,11.616,11.572,9.074,35,-108,12.22,11.762,11.665,23.042885,0.163,-17.202834,0.389,8,37,13.693,14.496,14.069,13.445,13.204,0.016,0.031,0.035,0.021,0.022,20130809,0.06475382951342641
J003518.79-285419.2,8.828301,-28.9053552,5.4587281,-86.0225515,10.62,10.633,10.626,8.549,54,63,11.283,10.769,10.665,8.828368,0.275,-28.905399,0.21,6,37,13.044,13.936,13.459,12.756,12.435,0.028,0.032,0.014,0.024,0.049,20180042,0.26352944965302666
J002037.54-222557.4,5.1564334,-22.4326365,65.1439974,-81.5795923,10.299,10.309,10.148,8.707,13,110,11.105,10.544,10.421,5.156331,0.326,-22.43264,0.16,4,20,13.225,14.269,13.729,12.835,12.404,0.041,0.072,0.021,0.042,0.059,20161185,0.3409774529251583
J014822.62-133400.3,27.0942866,-13.5667582,170.1927303,-71.0064565,11.551,11.589,11.382,9.268,0,-83,12.24,11.701,11.647,27.094283,0.256,-13.566736,0.249,4,19,13.943,14.798,14.332,13.69,13.373,0.029,0.014,0.016,0.037,0.07,20160679,0.08090689467645533
J013205.55-081825.1,23.0231376,-8.3069783,151.8908763,-68.8613081,10.473,10.478,10.422,8.848,36,41,11.23,10.675,10.548,23.023116,0.131,-8.306927,0.235,11,43,13.25,14.279,13.774,12.873,12.569,0.027,0.062,0.051,0.037,0.309,20160546,0.2000677549358645
J001628.12-050552.0,4.1171803,-5.097802,100.6698048,-66.4462632,10.811,10.821,10.835,8.452,55,5,11.4,10.942,10.919,4.117231,0.107,-5.09782,0.103,6,35,12.921,13.552,13.185,12.738,12.375,0.014,0.043,0.017,0.033,0.06,20160272,0.19300146510203117
J000525.31-240450.8,1.3554982,-24.0807966,46.7544937,-79.1925056,10.614,10.599,10.52,9.065,-8,82,11.317,10.816,10.628,1.355501,0.121,-24.08081,0.087,5,23,13.234,14.129,13.642,12.939,12.624,0.06,0.062,0.06,0.066,0.06,20161184,0.0491099598184871
J010115.58-323556.8,15.3149362,-32.5991344,282.2666495,-84.1298601,10.582,10.577,10.488,9.063,-4,-19,11.378,10.796,10.662,15.314938,0.198,-32.59916,0.108,12,55,13.488,14.523,13.965,13.112,12.719,0.021,0.03,0.041,0.032,0.039,20161545,0.09232154596765753
J004458.52-330437.2,11.2438521,-33.0770271,315.7550438,-83.8894587,10.89,10.87,10.925,8.589,-58,-298,11.613,11.103,10.971,11.243864,0.285,-33.077107,0.212,8,36,13.404,14.264,13.807,13.076,12.735,0.022,0.06,0.018,0.032,0.049,20161657,0.289871317637721
J010642.75-334641.2,16.6781335,-33.778128,277.5439682,-82.5816367,10.965,10.973,10.852,8.511,-8,55,11.626,11.135,11.025,16.67814,0.195,-33.778122,0.085,11,48,13.393,14.252,13.789,13.106,12.769,0.032,0.042,0.023,0.04,0.075,20161659,0.02906652191175826
J001509.17-373605.1,3.7882171,-37.6014229,336.774165,-77.0385086,10.155,10.157,9.995,8.552,9,26,10.907,10.375,10.233,3.788234,0.104,-37.601434,0.102,3,15,13.022,14.027,13.505,12.65,12.311,0.027,0.03,0.031,0.06,0.045,20161765,0.06261175711744418
J001356.34-382021.6,3.4847893,-38.3393582,335.6069523,-76.3108762,9.167,9.154,8.986,8.819,-45,32,10.064,9.486,9.282,3.484779,0.046,-38.339351,0.063,4,12,12.329,13.461,12.875,11.944,11.454,0.033,0.033,0.052,0.039,0.146,20161871,0.03895778385704178
J002207.73-365417.8,5.5322421,-36.9049675,333.4817326,-78.4256829,11.693,11.701,12.064,9.074,22,-16,12.32,11.857,11.74,5.532234,0.212,-36.905004,0.182,3,15,13.845,14.612,14.196,13.582,13.356,0.01,0.041,0.011,0.017,0.025,20161765,0.13345282159810976
J002121.68-370507.9,5.3403728,-37.0855472,333.5988427,-78.1900361,10.816,10.836,10.688,9.027,4,55,11.605,11.011,10.884,5.340358,0.22,-37.085558,0.193,3,15,13.798,14.863,14.32,13.328,12.927,0.011,0.063,0.008,0.019,0.041,20161765,0.05760374321717469
J000536.18-322009.4,1.4007899,-32.3359477,2.5403138,-78.7789914,9.173,9.188,9.106,8.389,36,75,9.845,9.374,9.261,1.400796,0.089,-32.335954,0.051,4,20,11.321,12.04,11.661,11.084,10.828,0.019,0.022,0.032,0.031,0.039,20161541,0.029302814928925426
J000628.67-320905.3,1.6194992,-32.151491,3.0134366,-79.023836,10.695,10.68,10.511,9.244,41,-37,11.396,10.868,10.775,1.619526,0.636,-32.151464,0.508,7,51,13.334,14.265,13.769,12.954,12.658,0.103,0.095,0.101,0.113,0.117,20180017,0.12696516427052681
J001415.68-352613.9,3.5653361,-35.4372075,344.3061648,-78.5170046,10.419,10.435,10.378,8.435,34,44,11.057,10.567,10.465,3.565377,0.291,-35.437186,0.1,5,21,12.661,13.482,13.027,12.38,12.132,0.029,0.034,0.024,0.057,0.036,20161655,0.1427659823459168
J023149.29-092337.0,37.9553986,-9.3936135,180.8664822,-60.4108242,10.689,10.71,9.668,8.017,-19,-52,11.451,10.907,10.788,37.955337,0.154,-9.393627,0.105,4,20,13.262,14.229,13.753,12.889,12.558,0.035,0.033,0.047,0.014,0.056,20160551,0.22411915077187605
J012725.49-021447.1,21.8562234,-2.2464219,143.5581138,-63.667717,11.878,11.899,12.229,8.624,-52,-18,12.453,11.977,11.933,21.856284,0.743,-2.246413,0.175,6,22,13.776,14.371,13.967,13.693,13.563,0.146,0.054,0.029,0.258,0.486,20160144,0.2203343428084525
J012341.88-011515.3,20.9245295,-1.2542616,140.9242611,-62.9935791,11.38,11.403,11.357,9.09,2,28,12.036,11.528,11.431,20.924534,0.267,-1.254262,0.204,8,40,13.376,14.214,13.785,13.14,12.898,0.098,0.032,0.052,0.114,0.1,20110009,0.01626000783869085
J015156.43-112600.5,27.9851522,-11.4334874,168.01392,-68.8272118,11.285,11.297,11.188,8.838,-25,-12,11.947,11.463,11.356,27.98521,0.333,-11.433515,0.278,9,41,13.624,14.474,14.03,13.358,13.043,0.027,0.025,0.031,0.028,0.093,20130548,0.22686629362288696
J004352.65-213228.6,10.9693984,-21.5412957,105.4023273,-84.1540118,10.601,10.622,10.631,8.827,106,-29,11.238,10.741,10.68,10.969504,0.635,-21.541281,0.281,7,23,12.831,13.625,13.2,12.598,12.406,0.016,0.016,0.022,0.04,0.088,20161063,0.3575450610172973
J011221.00-030013.0,18.0875246,-3.0036179,135.5397115,-65.3622008,10.669,10.658,10.562,8.54,5,27,11.451,10.952,10.844,18.087502,0.13,-3.003659,0.116,6,22,13.124,14.067,13.637,12.851,12.625,0.125,0.04,0.04,0.103,0.064,20160142,0.16879998878586983
J020119.93-120340.3,30.3330545,-12.0612075,173.7451994,-67.7379517,10.812,10.83,10.706,8.212,16,-53,11.549,11.002,10.893,30.333079,0.32,-12.061255,0.231,10,49,13.303,14.25,13.77,12.994,12.678,0.045,0.034,0.046,0.055,0.067,20160681,0.19152173540826714
J001604.24-024105.2,4.0176868,-2.684803,102.327312,-64.1325331,10.329,10.334,10.28,8.732,49,-67,10.981,10.498,10.421,4.017724,0.129,-2.684829,0.105,5,35,12.697,13.517,13.094,12.423,12.162,0.074,0.036,0.022,0.073,0.285,20160272,0.16326718993457873
J002343.59-111736.7,5.9316271,-11.2935316,99.242834,-72.8781461,10.342,10.362,10.193,8.247,-27,4,11.02,10.489,10.38,5.931654,0.229,-11.293579,0.153,6,22,12.868,13.768,13.313,12.544,12.133,0.026,0.018,0.045,0.022,0.152,20160672,0.19528526243722058
J002445.12-111726.1,6.1880344,-11.2905874,100.0456247,-72.965618,10.434,10.448,10.426,8.792,-5,27,11.245,10.662,10.51,6.188047,0.127,-11.290608,0.109,4,20,13.428,14.548,14.002,12.988,12.563,0.026,0.023,0.047,0.036,0.025,20160672,0.08647754782699768
J002347.58-384441.0,5.9482809,-38.7447414,327.6427974,-77.0263378,9.968,10.003,9.899,8.482,-41,-122,10.721,10.132,10.045,5.948345,0.136,-38.744794,0.085,4,20,12.507,13.473,12.989,12.177,11.903,0.045,0.03,0.014,0.023,0.059,20161871,0.26124656901374094
J002804.97-200351.9,7.0207415,-20.0644435,84.5762223,-81.1419949,10.903,10.908,10.741,8.396,6,166,11.63,11.124,10.996,7.020756,0.2,-20.064492,0.184,5,30,13.435,14.377,13.883,13.113,12.796,0.03,0.051,0.038,0.044,0.07,20161061,0.18135402089489105
J002023.09-395027.1,5.0962393,-39.8408804,327.8485882,-75.7480716,8.615,8.625,8.525,8.901,-69,-87,9.447,8.905,8.753,5.096278,0.074,-39.840912,0.09,4,17,11.787,12.928,12.377,11.352,10.796,0.08,0.019,0.016,0.043,0.069,20161871,0.15615596105974058
J011853.55-074918.8,19.7231608,-7.8218971,142.8141942,-69.6268861,10.974,10.988,11.045,9.046,-13,24,11.688,11.163,11.066,19.723137,0.371,-7.821913,0.152,4,15,13.604,14.514,14.052,13.275,12.856,0.02,0.045,0.019,0.034,0.076,20160412,0.10237925213065495
J014004.43-083027.9,25.0184686,-8.5077517,156.9016211,-68.1111468,13.751,13.738,12.046,8.805,NA,NA,14.413,13.828,13.774,25.016868,0.258,-8.507567,0.402,4,20,13.999,14.625,14.305,13.816,13.641,0.021,0.015,0.05,0.034,0.026,20160547,5.737413423899156
J001530.96-303205.6,3.8790199,-30.5349014,7.3943563,-81.4305701,11.117,11.136,11.21,8.515,-8,79,11.842,11.278,11.198,3.879065,0.523,-30.534922,0.573,8,58,13.818,14.79,14.264,13.418,13.125,0.044,0.078,0.052,0.041,0.052,20180017,0.15829091776531826
J002919.66-331914.7,7.3319466,-33.32076,339.2146465,-82.1827159,11.773,11.779,11.511,8.434,-163,27,12.429,11.951,11.895,7.33194,0.201,-33.320797,0.189,4,20,13.948,14.687,14.275,13.661,13.415,0.025,0.025,0.01,0.041,0.079,20161656,0.13467153870068146
J002623.85-334659.5,6.59939,-33.7832131,340.4226511,-81.4363816,10.429,10.402,10.237,8.494,-160,18,11.233,10.656,10.496,6.598648,0.511,-33.782938,0.196,6,27,13.556,14.74,14.153,13.05,12.475,0.067,0.03,0.037,0.053,0.031,20161656,2.4310375534961266
J015713.83-125222.7,29.3076385,-12.8729845,173.3692608,-69.0194623,11.355,11.35,11.131,9.127,-18,-21,12.09,11.568,11.48,29.307641,0.368,-12.872992,0.148,7,35,13.839,14.803,14.302,13.509,13.217,0.085,0.106,0.085,0.077,0.079,20160680,0.02838977834172705
J002036.29-342915.1,5.1512111,-34.4875552,342.9891767,-80.1080841,10.711,10.69,10.545,9.131,104,91,11.47,10.894,10.728,5.151192,0.225,-34.487594,0.321,5,22,13.924,15.042,14.496,13.467,12.991,0.026,0.062,0.024,0.032,0.025,20161655,0.15074017046033852
J000506.36-292515.5,1.2765276,-29.4209738,17.5559656,-79.5495931,13.753,13.756,12.396,8.607,NA,NA,14.411,13.845,13.797,1.277818,1.024,-29.420033,0.776,2,36,13.536,14.305,13.818,13.361,13.222,0.03,0.075,0.029,0.081,0.124,20180010,5.276736321767726
J000919.51-285309.2,2.3313146,-28.8859107,19.776033,-80.5435511,10.917,10.923,10.769,9.078,27,-4,11.665,11.116,10.99,2.331342,0.501,-28.885893,0.441,8,117,13.68,14.753,14.18,13.29,12.908,0.056,0.075,0.047,0.035,0.074,20180010,0.10732936123902756
J003916.05-254859.9,9.8169044,-25.8166634,57.9611301,-86.9772514,11.656,11.665,11.327,9.031,54,10,12.311,11.797,11.738,9.817076,0.431,-25.816182,0.689,3,13,13.995,14.882,14.436,13.697,13.43,0.034,0.036,0.006,0.023,0,20131187,1.8200766790209195
J001507.59-032000.1,3.7816654,-3.3333722,101.3289279,-64.6711876,8.464,8.479,8.365,7.849,43,34,9.283,8.689,8.527,3.781682,0.053,-3.333369,0.085,5,25,11.369,12.466,11.918,10.993,10.514,0.149,0.153,0.145,0.13,0.174,20160272,0.06076095742608298
J014221.12-110529.1,25.5880238,-11.0914408,162.1160884,-69.9880801,8.917,8.889,8.806,8.739,-21,18,9.644,9.096,8.949,25.588,0.102,-11.09144,0.085,6,27,11.294,12.098,11.675,11.03,10.777,0.038,0.016,0.024,0.048,0.043,20130547,0.08412892900358876
J013759.56-153114.6,24.4981937,-15.5207357,168.2596411,-74.136851,11.117,11.102,10.908,8.672,-74,-82,11.814,11.315,11.211,24.498182,0.152,-15.520746,0.156,5,24,13.717,14.661,14.172,13.402,13.078,0.009,0.025,0.023,0.018,0.029,20160809,0.05497263401581136
J014243.45-113108.6,25.6810745,-11.5190645,163.0639674,-70.2838178,11.529,11.548,11.407,8.372,NA,NA,12.144,11.68,11.597,25.681312,0.715,-11.519091,0.229,5,24,13.589,14.368,13.973,13.332,12.98,0.033,0.073,0.05,0.033,0.049,20130547,0.8431930432210266
J015856.58-162425.0,29.7357532,-16.4069565,181.9526809,-71.0453772,9.934,9.948,9.895,9.252,-26,-8,10.537,10.066,10.006,29.735771,0.093,-16.406961,0.034,5,16,12.004,12.766,12.448,11.963,11.536,0.024,0.068,0.219,0.287,0.029,20160941,0.06356948784292508
J011853.02-031317.2,19.7209396,-3.2214504,139.4588825,-65.2087941,10.954,10.974,10.728,8.591,66,121,11.675,11.176,11.072,19.720943,0.142,-3.221434,0.118,6,30,13.517,14.482,13.966,13.197,12.879,0.057,0.026,0.026,0.051,0.065,20160278,0.06029150928202509
