Name,m_Name,H09,logg,Teff,Fbol,__Fe_H_,__a_Fe_,RV,ageMLP,M.MLP,SimbadName,RA,DEC
b'HD 67',b'',b'H09',4.579999923706055,5746.0,8.28509971739777e-09,-0.09000000357627869,0.07000000029802322,6.300000190734863,0.10000000149011612,0.9800000190734863,b'HD 67',1.3683333333333332,-61.225833333333334
b'HD 105',b'',b'H09',4.429999828338623,6035.0,2.641399987624027e-08,-0.18000000715255737,0.09000000357627869,1.600000023841858,0.20000000298023224,1.0700000524520874,b'HD 105',1.4687499999999998,-41.753055555555555
b'HD 203',b'',b'H09',4.269999980926514,6883.0,8.660899908363717e-08,-0.09000000357627869,0.019999999552965164,6.5,0.6000000238418579,1.399999976158142,b'HD 203',1.7083333333333333,-23.1075
b'HD 373',b'',b'H09',4.309999942779541,6937.0,2.0327000527231576e-08,-0.36000001430511475,0.1899999976158142,-6.199999809265137,0.30000001192092896,1.340000033378601,b'HD 373',2.1254166666666667,52.33638888888889
b'HD 615',b'',b'H09',4.340000152587891,6448.0,1.3093999662316946e-08,0.029999999329447746,-0.029999999329447746,-4.599999904632568,0.5,1.25,b'HD 615',2.6229166666666663,15.231666666666667
b'HD 870',b'',b'H09',4.570000171661377,5383.0,3.763399902823039e-08,-0.1599999964237213,0.029999999329447746,1.0,0.10000000149011612,0.8799999952316284,b'HD 870',3.2091666666666665,-57.9125
b'HD 900',b'',b'H09',4.300000190734863,6935.0,1.6726000140465658e-08,-0.11999999731779099,0.019999999552965164,17.5,0.4000000059604645,1.3899999856948853,b'HD 900',3.323333333333333,-23.732499999999998
b'HD 1108',b'',b'H09',4.539999961853027,5605.0,1.0383000237368378e-08,-0.07999999821186066,0.019999999552965164,-18.399999618530273,0.10000000149011612,0.9399999976158142,b'HD 1108',3.769166666666666,-68.53
b'HD 1320',b'',b'H09',4.539999961853027,5795.0,1.839299912376191e-08,-0.3400000035762787,0.1599999964237213,11.199999809265137,0.20000000298023224,0.9599999785423279,b'HD 1320',4.31875,-43.8525
b'HD 1393',b'',b'H09',4.25,7186.0,3.400599979386243e-08,-0.23999999463558197,0.019999999552965164,,0.8999999761581421,1.4299999475479126,b'HD 1393',4.532499999999999,3.7966666666666664
b'HD 1513',b'',b'H09',4.260000228881836,6925.0,1.8424000103323124e-08,-0.07999999821186066,0.05000000074505806,0.30000001192092896,0.6000000238418579,1.409999966621399,b'HD 1513',4.819166666666666,0.5205555555555557
b'HD 1622',b'',b'H09',4.550000190734863,5262.0,3.458000108480519e-09,0.09000000357627869,-0.07999999821186066,8.199999809265137,0.10000000149011612,0.8799999952316284,b'HD 1622',5.0458333333333325,-55.99388888888889
b'HD 1828',b'',b'H09',4.329999923706055,6601.0,1.3815999899691178e-08,-0.15000000596046448,0.05999999865889549,21.799999237060547,0.20000000298023224,1.2699999809265137,b'HD 1828',5.6795833333333325,-9.622777777777777
b'HD 1952',b'',b'H09',3.4100000858306885,6698.0,5.7280999499198515e-08,0.11999999731779099,-0.18000000715255737,-13.600000381469727,0.8999999761581421,2.1600000858306885,b'HD 1952',6.0216666666666665,44.264722222222225
b'HD 2305',b'',b'H09',4.340000152587891,6611.0,9.47489997571438e-09,-0.10999999940395355,-0.009999999776482582,2.799999952316284,0.10000000149011612,1.2799999713897705,b'HD 2305',6.7212499999999995,-0.9294444444444444
b'HD 3294',b'',b'H09',4.360000133514404,6176.0,2.0703000203070587e-08,0.07000000029802322,-0.03999999910593033,-0.4000000059604645,0.10000000149011612,1.159999966621399,b'HD 3294',9.014999999999999,7.155833333333334
b'HD 3375',b'',b'H09',4.300000190734863,7164.0,4.77680011101711e-08,-0.20000000298023224,0.18000000715255737,,0.10000000149011612,1.4600000381469727,b'HD 3375',9.003333333333332,-59.717222222222226
b'HD 3964',b'',b'H09',4.460000038146973,5747.0,1.2146999850415341e-08,0.05000000074505806,-0.029999999329447746,-12.300000190734863,0.8999999761581421,1.0099999904632568,b'HD 3964',10.540416666666665,-3.056111111111111
b'HD 4208',b'',b'H09',4.53000020980835,5686.0,2.141299937363783e-08,-0.20999999344348907,0.10000000149011612,56.20000076293945,0.10000000149011612,0.9599999785423279,b'HD 4208',11.110833333333332,-26.515555555555554
b'HD 5311',b'',b'H09',4.269999980926514,6735.0,1.9449000632221214e-08,0.07000000029802322,-0.03999999910593033,21.0,0.699999988079071,1.3799999952316284,b'HD 5311',13.598749999999999,-48.94833333333333
b'HD 6444',b'',b'H09',4.289999961853027,7001.0,1.1553000334174612e-08,-0.10999999940395355,0.07999999821186066,-7.199999809265137,0.4000000059604645,1.4299999475479126,b'HD 6444',16.195416666666667,-43.06388888888888
b'HD 6493',b'',b'H09',4.320000171661377,6747.0,3.459700081975825e-08,-0.12999999523162842,0.05000000074505806,9.0,0.20000000298023224,1.3300000429153442,b'HD 6493',16.34083333333333,-40.269999999999996
b'HD 7193',b'',b'H09',4.400000095367432,6302.0,4.7404000724782236e-08,-0.33000001311302185,0.17000000178813934,-1.2999999523162842,0.20000000298023224,1.1299999952316284,b'HD 7193',18.07958333333333,12.281666666666668
b'HD 7257',b'',b'H09',4.349999904632568,6491.0,2.3114999692097626e-08,-0.14000000059604645,0.03999999910593033,3.299999952316284,0.10000000149011612,1.2400000095367432,b'HD 7257',18.1425,-20.45861111111111
b'HD 7284',b'',b'H09',4.369999885559082,6265.0,3.547100035916628e-08,-0.10000000149011612,0.029999999329447746,-11.100000381469727,0.8999999761581421,1.1799999475479126,b'HD 7284',18.54375,58.81222222222222
b'HD 7382',b'',b'H09',4.320000171661377,6679.0,3.241099832962391e-08,-0.05999999865889549,0.0,10.0,0.10000000149011612,1.3300000429153442,b'HD 7382',18.360416666666666,-39.54
