HIP,Memb,Simbad,_RA,_DE,RA,DEC
74911.0,62.0,b'Simbad',229.63343,-47.87528,229.63343,-47.87528
74950.0,57.0,b'Simbad',229.7349,-40.78822,229.7349,-40.78822
74959.0,84.0,b'Simbad',229.77258,-36.36228,229.77258,-36.36228
74985.0,81.0,b'Simbad',229.84304,-34.03246,229.84304,-34.03246
75035.0,61.0,b'Simbad',229.98556,-30.10693,229.98556,-30.10693
75056.0,84.0,b'Simbad',230.05581,-34.92544,230.05581,-34.92544
75077.0,78.0,b'Simbad',230.13091,-28.28711,230.13091,-28.28711
75151.0,81.0,b'Simbad',230.37539,-38.21869,230.37539,-38.21869
75164.0,78.0,b'Simbad',230.3971,-40.74948,230.3971,-40.74948
75210.0,91.0,b'Simbad',230.5469,-37.63563,230.5469,-37.63563
75304.0,90.0,b'Simbad',230.78896,-36.85849,230.78896,-36.85849
75367.0,80.0,b'Simbad',231.01775,-41.16157,231.01775,-41.16157
75476.0,82.0,b'Simbad',231.2768,-38.16924,231.2768,-38.16924
75480.0,89.0,b'Simbad',231.28914,-26.57527,231.28914,-26.57527
75491.0,70.0,b'Simbad',231.31688,-38.1579,231.31688,-38.1579
75509.0,92.0,b'Simbad',231.37571,-36.19943,231.37571,-36.19943
75613.0,52.0,b'Simbad',231.7392,-44.10758,231.7392,-44.10758
75647.0,83.0,b'Simbad',231.82554,-36.76756,231.82554,-36.76756
75683.0,83.0,b'Simbad',231.92634,-36.23696,231.92634,-36.23696
75802.0,50.0,b'Simbad',232.28613,-39.29086,232.28613,-39.29086
75824.0,69.0,b'Simbad',232.34627,-40.16387,232.34627,-40.16387
75891.0,90.0,b'Simbad',232.51777,-41.1195,232.51777,-41.1195
75915.0,92.0,b'Simbad',232.58871,-41.91903,232.58871,-41.91903
76001.0,73.0,b'Simbad',232.8217,-33.81984,232.8217,-33.81984
76048.0,83.0,b'Simbad',232.95929,-32.88111,232.95929,-32.88111
76063.0,55.0,b'Simbad',233.01744,-38.62254,233.01744,-38.62254
76071.0,70.0,b'Simbad',233.04305,-21.96682,233.04305,-21.96682
76084.0,87.0,b'Simbad',233.08389,-31.14274,233.08389,-31.14274
76126.0,58.0,b'Simbad',233.23009,-16.85285,233.23009,-16.85285
