Title: Memberships of the open cluster NGC 6405 based on a combined method: 
       Gaussian mixture model and random forest 
Authors: Gao X.
Table: A catalogue of fundamental information for 518 likely cluster members 
    with PRF >= 0.6
================================================================================
Byte-by-byte Description of file: ajaad690t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 19 I19    ---   Gaia   Gaia DR2 identifier
  21- 35 F15.11 deg   RAdeg  Gaia DR2 Right Ascension, decimal degrees (J2000)
  37- 51 F15.11 deg   DEdeg  Gaia DR2 Declination, decimal degrees (J2000)
  53- 57 F5.3   ---   PRF    RF membership probability
--------------------------------------------------------------------------------
4054217989466697984 265.06889474239 -32.30257032115 0.998 
4054215313760028160 264.83708293764 -32.34230374174 0.998 
4054217925099940992 265.09495656828 -32.29994505293 0.998 
4054211465469153920 264.96547234538 -32.38690760393 0.998 
4054220154147614336 265.14068226403 -32.23007239017 0.998 
4054223800615399424 265.02708086183 -32.19380754680 0.998 
4054320763758159616 265.18737543121 -32.00331466772 0.998 
4054217027404248192 265.13461009067 -32.33665866751 0.998 
4054223731895900288 265.03952362632 -32.20653821691 0.998 
4055070974272125824 265.06045960460 -31.97985150306 0.998 
4054300521558429312 265.37157734037 -32.25679440741 0.998 
4054218848460156416 265.20706785337 -32.29028651824 0.998 
4054215348119743104 264.86000072882 -32.34691447698 0.998 
4054974217251917184 264.89369856182 -32.16355470972 0.998 
4054317224704782848 265.18063713775 -32.15568955507 0.998 
4054217267914973696 265.05967635652 -32.36120464749 0.998 
4054221189275199488 265.04623346666 -32.25662756579 0.998 
4054976691153134208 264.95592598453 -32.04993000874 0.997 
4054222421875921152 264.95544126712 -32.22674845989 0.997 
4054975316763492352 265.01930326824 -32.11433159381 0.997 
4054978546579099264 264.81818735964 -32.08049721149 0.997 
4054313823090926208 265.28036008969 -32.15183654775 0.997 
4054223040351222272 265.07509155224 -32.21214735057 0.997 
4054977309628460672 264.81677494047 -32.12922959012 0.997 
4054205830471674880 265.31977076522 -32.34058746396 0.997 
4054207204861406208 265.24911692187 -32.27775257111 0.997 
4055073890550293504 265.00814131856 -31.95307719767 0.997 
4054223697536154368 265.12946115950 -32.14177829539 0.997 
4054974148532427904 264.90090046139 -32.16880831696 0.997 
4054220188507463040 265.15570930097 -32.21833125269 0.997 
4054224178572535296 265.05266601686 -32.15914805661 0.997 
4054301109987430400 265.29447082352 -32.25256485386 0.997 
4054319458088058368 265.23977894193 -32.06257775580 0.997 
4054318805252777728 265.12449608080 -32.05302483864 0.997 
4055071695826710272 265.17841917382 -31.94728626759 0.997 
4054221635951863168 264.94332919069 -32.28132561113 0.997 
4054973495698340864 264.95925846332 -32.16086982085 0.996 
4054206036630123136 265.30717532375 -32.33968448565 0.996 
4054979916666327680 264.93397353745 -32.01346977181 0.996 
4054977378347984384 264.79953295926 -32.10530508295 0.996 
4054966585087622784 264.87318587922 -32.27709721027 0.996 
4054221670311582336 264.96971637035 -32.27998530198 0.996 
4054219982334487552 265.17196826381 -32.23515766425 0.996 
4054972563681991168 264.89981289309 -32.24628967055 0.996 
4054221361073928064 265.01508158434 -32.25176159210 0.996 
4054320518925831296 265.21941300513 -32.01486324020 0.996 
4054220811318106368 264.97081911582 -32.29424217933 0.995 
4054222215730764800 265.00654458591 -32.22853908459 0.995 
4054223457018308096 265.10302563569 -32.19039718408 0.995 
4054977034750527104 264.82617038280 -32.14543813829 0.995 
4054966997404471296 264.76638676064 -32.29965449816 0.995 
4054219917964765184 265.17674967368 -32.23396989142 0.995 
4054224144212798080 265.03739828293 -32.16939258074 0.995 
4054967654532351616 264.81413070143 -32.22819606482 0.995 
4054966211433804160 264.80777585693 -32.31004393546 0.995 
4054218784093254400 265.21066978920 -32.29445404007 0.995 
4055074753843361664 264.94220086580 -31.94640925214 0.995 
4054314059296085120 265.24728226386 -32.17759783075 0.995 
4054971979566437504 264.73717289387 -32.15907502279 0.995 
4054204760967431808 265.14194623296 -32.40472839259 0.994 
4054221292354437632 265.01742141348 -32.26137023379 0.994 
4054219226420233472 265.21576784120 -32.24606254350 0.994 
4054970364658859776 264.72075556804 -32.24083645546 0.994 
4054315811641535616 265.36152508283 -32.09569847509 0.994 
4055075681556451456 264.97117910242 -31.86295909730 0.994 
4054207131792287616 265.26558898347 -32.27937200657 0.994 
4054211568548650880 264.97214992127 -32.37661792893 0.994 
4054206414587865344 265.19133154689 -32.36257920276 0.994 
4054219746166100352 265.12753083195 -32.25591648888 0.994 
4054300972548475136 265.27855203605 -32.26983406420 0.994 
4055074891282315264 264.96271600965 -31.92945261472 0.994 
4054316842433760768 265.35866875061 -32.05049002048 0.993 
4054216271479784320 265.09901297403 -32.39013680879 0.993 
4054300594591571968 265.39645389280 -32.23426189449 0.993 
4054978542276735104 264.81168735910 -32.07291674899 0.993 
4054970300241782272 264.72730017709 -32.25489232191 0.993 
4054973633136338944 264.86969787351 -32.20731193016 0.993 
4054315266199931904 265.31200320051 -32.14732248283 0.993 
4054980810019550592 264.88572613950 -31.98311400434 0.993 
4054980092767311360 264.96158810445 -31.97703264562 0.993 
4054300835109506048 265.32007045840 -32.27256864587 0.993 
4054217272264867456 265.05729347076 -32.35970810918 0.992 
4054972529322252416 264.91850828044 -32.23851841196 0.992 
4054217581502577792 265.04648296951 -32.32532718625 0.992 
4054221631601893888 264.94764279579 -32.26786873812 0.992 
4054303171571987968 265.36197127543 -32.18687303019 0.992 
4054211534188614400 264.99476372700 -32.37364020540 0.992 
4054215141961304576 264.87060429362 -32.34788631129 0.992 
4054299868723918208 265.32615581738 -32.31699279052 0.992 
4054979469989399040 264.87885454417 -32.02549318421 0.991 
4055075853355095808 265.08233629667 -31.90571992845 0.991 
4055074410246093184 265.04937051027 -31.91246132744 0.991 
4054218577934888832 265.13797982054 -32.31580383479 0.991 
4054215691717123584 264.91061231791 -32.30933143303 0.991 
4054220016701775488 265.18933060954 -32.22714207080 0.991 
4054970987436552448 264.80121321758 -32.19075780514 0.991 
4054975316763486336 265.02375573622 -32.11584852002 0.991 
4054313994889362304 265.20646664697 -32.19065393895 0.991 
4054219677446654848 265.08996566511 -32.26402469490 0.990 
4054977996823277568 264.77593486549 -32.12255300133 0.990 
4054972357523768320 264.72227836496 -32.12695443200 0.990 
4055072245582520960 265.23876009223 -31.90688252869 0.990 
4054967998139298688 264.82598852299 -32.19034346376 0.990 
4054974732647916544 264.99377254646 -32.15528142024 0.990 
4054222353156436352 264.95996106992 -32.23462652074 0.990 
4054213389614637696 264.81259915799 -32.40448494635 0.989 
4054974870086857472 265.02441868136 -32.14100271004 0.989 
4054295814274274304 265.46665466760 -32.38299907353 0.988 
4054211293670413568 264.99241831344 -32.39678812950 0.988 
4054966516368137856 264.84271776242 -32.29306311574 0.988 
4054297635340954240 265.53842074044 -32.29472318187 0.988 
4054221837760321024 264.93998565761 -32.27228272497 0.988 
4054216344551854336 265.06977702534 -32.39549422384 0.987 
4054214248608024448 264.91002169500 -32.38581653609 0.987 
4054297055538227328 265.43550203967 -32.31115630864 0.987 
4054296986818731648 265.45110998359 -32.32938691216 0.986 
4054314235407539072 265.18574368061 -32.17642528745 0.986 
4054320347127180032 265.29071309212 -31.99108798202 0.986 
4054303583888838400 265.44942757989 -32.13812303234 0.986 
4054965455518608128 264.72724123523 -32.32126703168 0.986 
4054219093330952832 265.20652682106 -32.26763639869 0.986 
4054211254960699264 265.02128147454 -32.39352801216 0.986 
4055087015970406784 264.94046886440 -31.87492523548 0.985 
4055071730186449152 265.14725610338 -31.97217691509 0.985 
4054302346938201216 265.47768625340 -32.21248122727 0.985 
4054312861017969280 265.23865296382 -32.24967133812 0.985 
4054318633434909696 265.08207815429 -32.09162253062 0.985 
4055072039424082432 265.22627562997 -31.93856622762 0.984 
4054975076245359488 264.96731950013 -32.11999242532 0.984 
4054297051225382784 265.44229148799 -32.30859249331 0.984 
4054314024936251776 265.23240037979 -32.19609781056 0.984 
4054211053152294016 264.94270952019 -32.40466053109 0.984 
4054205143276868736 265.26043439696 -32.41114860802 0.983 
