Star,P2,P1,Gaia,TYC,HIP,RAJ2000,DEJ2000,Gmag,Jmag,RAVE,Group,Size,Np,_2M,SimbadName,RA,DEC
1929.0,1.0,26.0,5.14527461334377e+16,b'',18544.0,59.507154,20.676596,9.24899959564209,8.435999870300293,b'',0.0,151.0,3465.0,b'2M',b'HIP 18544',59.507154,20.676596
1930.0,1.0,0.0,4.605529990262459e+18,b'2631-1539-1',,274.542846,34.670433,10.678999900817871,9.732000350952148,b'',1254.0,2.0,1.0,b'2M',b'TYC 2631-1539-1',274.542846,34.670433
1931.0,1.0,0.0,5.194218411379139e+18,b'9493-3123-1',,102.519945,-83.839141,11.807000160217285,10.61299991607666,b'',1412.0,2.0,1.0,b'2M',b'TYC 9493-3123-1',102.519945,-83.839141
1932.0,0.0,1.0,3.441630549249136e+18,b'1869-525-1',,85.452687,27.019272,8.944999694824219,7.796000003814697,b'',1413.0,2.0,1.0,b'2M',b'TYC 1869-525-1',85.452687,27.019272
1933.0,0.0,1.0,4.264557553156271e+18,b'464-2319-1',,290.076949,0.93805,9.359999656677246,8.564000129699707,b'',1414.0,2.0,1.0,b'2M',b'TYC 464-2319-1',290.076949,0.93805
1934.0,1.0,0.0,3.3523402063880817e+18,b'754-1194-1',,99.878348,12.904503,7.293000221252441,5.943999767303467,b'',948.0,2.0,1.0,b'2M',b'TYC 754-1194-1',99.878348,12.904503
1935.0,0.0,1.0,5.437736459997554e+17,b'4339-867-1',,55.740945,73.389287,10.60200023651123,9.675999641418457,b'',1415.0,2.0,1.0,b'2M',b'',55.740945,73.389287
1936.0,1.0,0.0,5.4377368035893184e+17,b'',17374.0,55.802041,73.399444,8.449000358581543,7.630000114440918,b'',1415.0,2.0,1.0,b'2M',b'HIP 17374',55.802041,73.399444
1937.0,0.0,1.0,5.869305837729621e+18,b'',66772.0,205.290229,-59.227815,7.690000057220459,7.479000091552734,b'',1416.0,2.0,1.0,b'2M',b'HIP 66772',205.290229,-59.227815
1938.0,0.0,1.0,3.215910707669344e+17,b'2304-1508-1',,20.259313,36.622773,12.17199993133545,10.842000007629395,b'',1417.0,2.0,1.0,b'2M',b'TYC 2304-1508-1',20.259313,36.622773
1939.0,0.0,1.0,5.151150128631642e+16,b'1257-840-1',,58.301864,20.200856,11.527999877929688,10.406000137329102,b'',1418.0,2.0,1.0,b'2M',b'TYC 1257-840-1',58.301864,20.200856
1940.0,0.0,1.0,6.056170037904134e+18,b'',63686.0,195.76665,-59.609553,8.449999809265137,7.948999881744385,b'',1419.0,2.0,1.0,b'2M',b'HIP 63686',195.76665,-59.609553
1941.0,0.0,1.0,6.12049641592128e+18,b'7803-193-1',,210.53249,-37.661483,11.387999534606934,10.03600025177002,b'20110329_1354m38_101',1420.0,2.0,1.0,b'2M',b'TYC 7803-193-1',210.53249,-37.661483
1942.0,1.0,0.0,2.540788337464111e+18,b'4672-94-1',,7.916086,-2.446098,10.147000312805176,9.196999549865723,b'20070811_0040m04_057',1259.0,2.0,1.0,b'2M',b'TYC 4672-94-1',7.916086,-2.446098
