Seq,pmRA,pmDE,Bmag,Vmag,Jmag,Hmag,Ksmag,rmag,plx,Dist,RV,Vpar,Vper,Mass,M,Simbad,RAJ2000,DEJ2000,RA,DEC
1.0,210.58999633789062,-9.170000076293945,,12.609999656677246,9.300000190734863,8.673999786376953,8.404999732971191,11.906999588012695,23.649999618530273,28.31999969482422,16.56999969482422,42.2599983215332,-0.33000001311302185,0.5899999737739563,b'M',b'Simbad',28.33642,23.444762,28.33642,23.444762
2.0,211.99000549316406,-13.180000305175781,,,11.916999816894531,11.305000305175781,11.029000282287598,16.31800079345703,23.8700008392334,28.420000076293945,16.790000915527344,42.16999816894531,1.2300000190734863,0.18000000715255737,b'M',b'Simbad',29.172891,30.476346,29.172891,30.476346
3.0,246.5399932861328,-37.75,15.77299976348877,14.116999626159668,10.081000328063965,9.47700023651123,9.256999969482422,13.53600025177002,28.100000381469727,28.670000076293945,17.020000457763672,42.08000183105469,0.12999999523162842,0.3799999952316284,b'M',b'Simbad',30.597959,37.496319,30.597959,37.496319
4.0,348.3299865722656,-6.599999904632568,,,11.66100025177002,11.032999992370605,10.71399974822998,16.55900001525879,39.77000045776367,29.309999465942383,18.329999923706055,41.52000045776367,0.8600000143051147,0.12999999523162842,b'M',b'Simbad',30.869529,21.571356,30.869529,21.571356
5.0,258.3800048828125,-13.079999923706055,,,11.404999732971191,10.83899974822998,10.527999877929688,15.536999702453613,29.969999313354492,25.639999389648438,19.649999618530273,40.91999816894531,-0.10999999940395355,0.18000000715255737,b'M',b'Simbad',32.806899,20.972853,32.806899,20.972853
6.0,275.0799865722656,-11.75,8.024999618530273,7.308000087738037,6.117000102996826,5.85099983215332,5.785999774932861,,31.899999618530273,26.149999618530273,19.65999984741211,40.90999984741211,0.36000001430511475,1.090000033378601,b'M',b'Simbad',32.846452,21.377348,32.846452,21.377348
7.0,187.14999389648438,-21.90999984741211,,,12.442999839782715,11.878999710083008,11.61299991607666,16.566999435424805,21.760000228881836,26.59000015258789,19.3799991607666,41.040000915527344,0.009999999776482582,0.15000000596046448,b'M',b'Simbad',33.12056,28.995777,33.12056,28.995777
8.0,250.97999572753906,31.440000534057617,,,11.692999839782715,11.098999977111816,10.800999641418457,16.45400047302246,29.1299991607666,29.139999389648438,19.15999984741211,41.150001525878906,-1.2899999618530273,0.17000000178813934,b'M',b'Simbad',33.466903,-3.516534,33.466903,-3.516534
9.0,191.74000549316406,14.069999694824219,,,10.281000137329102,9.729000091552734,9.46500015258789,13.802000045776367,22.360000610351562,27.56999969482422,20.010000228881836,40.7400016784668,-0.9200000166893005,0.4300000071525574,b'M',b'Simbad',33.735784,3.786084,33.735784,3.786084
10.0,199.24000549316406,12.619999885559082,,,9.78600025177002,9.210000038146973,8.947999954223633,13.088000297546387,23.229999542236328,27.729999542236328,20.139999389648438,40.68000030517578,-2.2200000286102295,0.5,b'M',b'Simbad',34.197564,1.212597,34.197564,1.212597
11.0,198.72000122070312,-36.09000015258789,13.23900032043457,11.748000144958496,8.991999626159668,8.309000015258789,8.145000457763672,11.246000289916992,23.40999984741211,26.440000534057617,19.670000076293945,40.900001525878906,0.20999999344348907,0.6399999856948853,b'M',b'Simbad',34.727638,35.218231,34.727638,35.218231
12.0,209.50999450683594,-19.239999771118164,,,12.572999954223633,11.956999778747559,11.63599967956543,16.759000778198242,24.8700008392334,23.43000030517578,21.270000457763672,40.099998474121094,-0.36000001430511475,0.12999999523162842,b'M',b'Simbad',35.41484,22.851284,35.41484,22.851284
13.0,282.75,-70.12999725341797,,,9.711999893188477,9.102999687194824,8.842000007629395,13.373000144958496,34.0,27.469999313354492,20.280000686645508,40.61000061035156,-0.7799999713897705,0.3799999952316284,b'M',b'Simbad',36.410167,37.542758,36.410167,37.542758
14.0,209.66000366210938,-23.420000076293945,,,11.383999824523926,10.79800033569336,10.545000076293945,15.701000213623047,25.1200008392334,22.940000534057617,21.809999465942383,39.79999923706055,-0.17000000178813934,0.2199999988079071,b'M',b'Simbad',36.448107,24.589942,36.448107,24.589942
15.0,171.35000610351562,12.819999694824219,,,11.392000198364258,10.77400016784668,10.527000427246094,15.131999969482422,20.559999465942383,24.56999969482422,22.280000686645508,39.540000915527344,2.5399999618530273,0.2800000011920929,b'M',b'Simbad',36.541294,12.453866,36.541294,12.453866
16.0,164.5399932861328,4.71999979019165,10.307999610900879,9.48900032043457,8.071000099182129,7.686999797821045,7.558000087738037,9.225000381469727,19.729999542236328,24.8799991607666,22.34000015258789,39.5099983215332,1.8799999952316284,0.8799999952316284,b'M',b'Simbad',36.64019,15.373467,36.64019,15.373467
17.0,166.5399932861328,-9.90999984741211,,,10.321000099182129,9.746999740600586,9.413000106811523,13.8149995803833,20.049999237060547,24.200000762939453,22.469999313354492,39.439998626708984,-0.6499999761581421,0.47999998927116394,b'M',b'Simbad',36.910704,17.672415,36.910704,17.672415
18.0,176.55999755859375,-55.81999969482422,,,11.373000144958496,10.79699993133545,10.522000312805176,15.369000434875488,21.780000686645508,27.34000015258789,20.899999618530273,40.290000915527344,-0.8799999952316284,0.25999999046325684,b'M',b'Simbad',38.763451,41.07828,38.763451,41.07828
19.0,191.61000061035156,-51.63999938964844,,,11.621000289916992,11.02299976348877,10.727999687194824,15.444000244140625,23.850000381469727,23.670000076293945,22.479999542236328,39.43000030517578,-0.800000011920929,0.20999999344348907,b'M',b'Simbad',39.738113,35.201156,39.738113,35.201156
